query_id,local_test_index,source_row_index,query_class,desired_class,direction,difficulty_stratum,requested_per_direction,actual_per_direction,eligible_in_direction,query_probability,absolute_query_logit,query_group_id
0,3889,19824,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9897541403770448,4.570582866668701,2
1,6618,22553,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.6559956073760986,0.6454996466636658,2
2,7840,23775,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9382082223892212,2.7202017307281494,2
3,9100,25035,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.5143023133277893,0.0572248883545398,2
4,10301,77290,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.8833871483802795,2.0249040126800537,11
5,12592,79581,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.6016514897346497,0.4123511016368866,11
6,12615,79604,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9573712944984436,3.111663341522217,11
7,12642,79631,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.982470452785492,4.026182174682617,11
8,12888,81231,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.6568453907966614,0.6492675542831421,13
9,12936,81279,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.7651284337043762,1.1810048818588257,13
10,13067,81410,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.8009200692176819,1.392054796218872,13
11,13072,81415,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.8392509818077087,1.6526654958724976,13
12,13290,82629,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.8022082448005676,1.4001535177230835,16
13,13353,82692,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.988703429698944,4.471895217895508,16
14,13535,82874,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9578630328178406,3.123779296875,16
15,13625,82964,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.8841369152069092,2.03220272064209,16
16,14110,83449,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.5744200944900513,0.2999082803726196,16
17,15664,87014,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.5968952178955078,0.3925451040267944,20
18,15767,87117,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.8000649213790894,1.38670015335083,20
19,15866,87216,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.6496039032936096,0.6172986030578613,20
20,16083,87433,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.6583917140960693,0.6561353206634521,20
21,16085,87435,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.5689008235931396,0.2773679494857788,20
22,16316,93581,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9802375435829164,3.904011011123657,26
23,16555,93820,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9914162755012512,4.749266624450684,26
24,16567,93832,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.941002368927002,2.7694482803344727,26
25,16600,93865,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9511367678642272,2.968632698059082,26
26,16963,98440,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9900404810905457,4.599216938018799,102
27,17054,98531,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9872987866401672,4.353275299072266,102
28,17058,98535,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.99227774143219,4.85589599609375,102
29,17311,98788,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9916933178901672,4.78235387802124,102
30,19037,102195,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9848618507385254,4.175283432006836,104
31,19594,102752,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9801708459854126,3.90057373046875,104
32,20797,103955,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9912549257278442,4.730481147766113,104
33,22554,105712,1,0,disease_to_no_disease,near_boundary,100,100,13354,0.9854881167411804,4.218169212341309,104
34,2988,18923,1,0,disease_to_no_disease,medium_confidence,100,100,13354,0.999748170375824,8.286505699157715,2
35,5427,21362,1,0,disease_to_no_disease,medium_confidence,100,100,13354,0.999958038330078,10.078712463378906,2
36,5429,21364,1,0,disease_to_no_disease,medium_confidence,100,100,13354,0.9999406337738036,9.731725692749023,2
37,6255,22190,1,0,disease_to_no_disease,medium_confidence,100,100,13354,0.999974489212036,10.576383590698242,2
38,7035,22970,1,0,disease_to_no_disease,medium_confidence,100,100,13354,0.9997891783714294,8.464287757873535,2
39,10325,77314,1,0,disease_to_no_disease,medium_confidence,100,100,13354,0.9999727010726928,10.50863552093506,11
40,12327,79316,1,0,disease_to_no_disease,medium_confidence,100,100,13354,0.9999488592147828,9.880877494812012,11
41,12467,79456,1,0,disease_to_no_disease,medium_confidence,100,100,13354,0.9998867511749268,9.085809707641602,11
42,12491,79480,1,0,disease_to_no_disease,medium_confidence,100,100,13354,0.999885082244873,9.071179389953612,11
43,12986,81329,1,0,disease_to_no_disease,medium_confidence,100,100,13354,0.9999499320983888,9.902080535888672,13
