query_id,local_test_index,query_class,desired_class,direction,difficulty_stratum,baseline_seed,run_seed,method,implementation,K,margin,native_random_sample_size,native_genetic_maxiterations,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,algorithm_status,implementation_error,native_iterations
0,3889,1,0,disease_to_no_disease,near_boundary,11,9102065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,5,5,1.0,1.0,0.5,0.5,1.0,0.0,0.02667371556162834,0.888888888888889,0.04817555099725723,0.5337767226206224,0.5337767226206224,0.0,0.0,,,0,1.0,4.534409046173096,1.7509675025939941,0.9875,0.8,0.4,0.0,0.8353571428571428,2.4010356940000293,2.4010356940000293,,0.4802071388000059,,0.0,0,0.0,,0.0,,0.0,,2.4010356940000293,0.0,,0.0,,0.0,,2.4010356940000293,0.0,,0.0,,0.0,,2.4010356940000293,0.0,,0.0,,0.0,,2.4010356940000293,ok,,1
0,3889,1,0,disease_to_no_disease,near_boundary,11,9102159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.3141477704048157,0.07222222222222224,0.32611849904060364,1.4470393865171536,1.4470393865171536,0.0,0.28,,,0,1.0,20.286663055419922,3.815570116043091,1.0,1.0,1.0,1.0,0.9906075074304785,3.9188289989999703,3.9188289989999703,3.9188289989999703,0.39188289989999703,,0.0,0,0.0,,0.0,,0.0,,3.9188289989999703,0.0,,0.0,,0.0,,3.9188289989999703,0.0,,0.0,,0.0,,3.9188289989999703,0.0,,0.0,,0.0,,3.9188289989999703,ok,,300
1,6618,1,0,disease_to_no_disease,near_boundary,11,9103065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.002833785999997,20.002833785999997,,,,0.0,0,0.0,,0.0,,0.0,,20.002833785999997,0.0,,0.0,,0.0,,20.002833785999997,0.0,,0.0,,0.0,,20.002833785999997,0.0,,0.0,,0.0,,20.002833785999997,timeout,,1
1,6618,1,0,disease_to_no_disease,near_boundary,11,9103159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.3205661475658417,0.1277777777777778,0.2884517312049866,1.4605218319751292,1.4605218319751292,0.0,0.12,,,0,1.0,19.677616119384766,4.339809894561768,1.0,1.0,1.0,1.0,0.9783079395266803,4.137292951999939,4.137292951999939,4.137292951999939,0.4137292951999939,,0.0,0,0.0,,0.0,,0.0,,4.137292951999939,0.0,,0.0,,0.0,,4.137292951999939,0.0,,0.0,,0.0,,4.137292951999939,0.0,,0.0,,0.0,,4.137292951999939,ok,,300
2,7840,1,0,disease_to_no_disease,near_boundary,11,9104065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,5,5,1.0,1.0,0.5,0.5,1.0,0.0,0.02721499465405941,0.8666666666666666,0.04362782835960388,0.4597317385618692,0.4597317385618692,0.2,0.0,,,0,1.0,2.3711395263671875,0.4867873191833496,0.9,0.4,0.2,0.0,0.9019877344877345,2.3921512650000523,2.3921512650000523,,0.47843025300001046,,0.0,0,0.0,,0.0,,0.0,,2.3921512650000523,0.0,,0.0,,0.0,,2.3921512650000523,0.0,,0.0,,0.0,,2.3921512650000523,0.0,,0.0,,0.0,,2.3921512650000523,ok,,1
2,7840,1,0,disease_to_no_disease,near_boundary,11,9104159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,8,8,1.0,1.0,0.8,0.8,1.0,0.0,0.3775254487991333,0.05555555555555558,0.22055305540561676,1.499348842416128,1.499348842416128,0.0,0.22499999999999998,,,0,1.0,16.401927947998047,9.102323532104492,1.0,1.0,0.8,0.0,0.9853111521597275,4.41818186799992,4.41818186799992,,0.55227273349999,,0.0,0,0.0,,0.0,,0.0,,4.41818186799992,0.0,,0.0,,0.0,,4.41818186799992,0.0,,0.0,,0.0,,4.41818186799992,0.0,,0.0,,0.0,,4.41818186799992,ok,,300
3,9100,1,0,disease_to_no_disease,near_boundary,11,9105065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.021651707589626312,0.875,0.03254452347755432,0.47124592548440136,0.47124592548440136,0.0,0.15,,,0,1.0,1.112323522567749,0.6952862739562988,0.8125,0.25,0.1,0.0,0.8557291666666667,2.3768880029999764,2.3768880029999764,,0.5942220007499941,,0.0,0,0.0,,0.0,,0.0,,2.3768880029999764,0.0,,0.0,,0.0,,2.3768880029999764,0.0,,0.0,,0.0,,2.3768880029999764,0.0,,0.0,,0.0,,2.3768880029999764,ok,,1
3,9100,1,0,disease_to_no_disease,near_boundary,11,9105159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.3221655488014221,0.022222222222222233,0.2974969148635864,1.4923200338865608,1.4923200338865608,0.0,0.12,,,0,1.0,21.781742095947266,4.966796398162842,1.0,1.0,1.0,1.0,0.9901266356982676,4.586648323000077,4.586648323000077,4.586648323000077,0.45866483230000765,,0.0,0,0.0,,0.0,,0.0,,4.586648323000077,0.0,,0.0,,0.0,,4.586648323000077,0.0,,0.0,,0.0,,4.586648323000077,0.0,,0.0,,0.0,,4.586648323000077,ok,,300
4,10301,1,0,disease_to_no_disease,near_boundary,11,9106065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,5,5,1.0,1.0,0.5,0.5,1.0,0.0,0.04896918684244156,0.7,0.04218067228794098,0.601599829875043,0.601599829875043,0.0,0.0,,,0,1.0,5.069106101989746,1.2353386878967285,0.95,0.6,0.3,0.0,0.9495854145854145,2.335220675999949,2.335220675999949,,0.4670441351999898,,0.0,0,0.0,,0.0,,0.0,,2.335220675999949,0.0,,0.0,,0.0,,2.335220675999949,0.0,,0.0,,0.0,,2.335220675999949,0.0,,0.0,,0.0,,2.335220675999949,ok,,1
4,10301,1,0,disease_to_no_disease,near_boundary,11,9106159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.30511078238487244,0.02777777777777779,0.282233327627182,1.4373210070895532,1.4373210070895532,0.0,0.28,,,0,1.0,24.299671173095703,10.383407592773438,1.0,1.0,1.0,1.0,0.9862763599758086,4.492364563000024,4.492364563000024,4.492364563000024,0.44923645630000236,,0.0,0,0.0,,0.0,,0.0,,4.492364563000024,0.0,,0.0,,0.0,,4.492364563000024,0.0,,0.0,,0.0,,4.492364563000024,0.0,,0.0,,0.0,,4.492364563000024,ok,,300
