method,method_label,direction,n_factuals,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_yield_at_k,proximity,sparsity,diversity,plausibility,constraint_validity,runtime_seconds_mean,access_stratum,candidate_budget,native_control,same_cohort_constraints_metrics,equal_compute_budget_claimed
countergan_one_shot,CounterGAN one-shot,disease_to_no_disease,100.0,0.944,1.0,0.84,0.8529999999999999,0.0946870522946119,0.2249614197530864,0.0315070547908544,0.4383203750324024,1.0,0.0544185574099446,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
countergan_one_shot,CounterGAN one-shot,no_disease_to_disease,100.0,1.0,1.0,1.0,0.986,0.1106037553399801,0.2289444444444444,0.0369733906351029,0.4384894698141849,1.0,0.051458789509943,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,disease_to_no_disease,100.0,1.0,1.0,1.0,0.8240000000000001,0.0645465651527047,0.7979999999999999,0.062409123852849,0.6188171091007514,1.0,1.9928614254098465,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,no_disease_to_disease,100.0,1.0,1.0,1.0,0.8079999999999999,0.0762471736595034,0.7490555555555555,0.075483090057969,0.6336385071241889,1.0,2.023275329860025,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
dice_gradient_style,Custom DiCE-style gradient,disease_to_no_disease,100.0,0.1039999999999999,1.0,0.0,0.1029999999999999,0.0760761138424277,0.0416666666666666,0.001379010155797,0.5371280239201323,1.0,0.1104070070100442,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
dice_gradient_style,Custom DiCE-style gradient,no_disease_to_disease,100.0,0.0999999999999999,1.0,0.0,0.0999999999999999,0.068940222300589,0.0538888888888888,0.0,0.524478134900616,1.0,0.1093684973499785,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
genetic_cfe,Budget-matched genetic CFE,disease_to_no_disease,100.0,1.0,1.0,1.0,0.9060000000000002,0.0725022395327687,0.4258333333333333,0.0790299936011433,0.6344468893307407,1.0,0.4118345379699804,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
genetic_cfe,Budget-matched genetic CFE,no_disease_to_disease,100.0,1.0,1.0,1.0,0.8960000000000001,0.0764991581812501,0.4037777777777777,0.0822312764078378,0.6267180011960574,1.0,0.4058373678900625,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_countergan,CounterGAN + iterative black-box search,disease_to_no_disease,100.0,1.0,1.0,1.0,0.9290000000000002,0.1039680787175893,0.1762222222222222,0.0486464044824242,0.4674836781321091,1.0,0.0648087266899619,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_countergan,CounterGAN + iterative black-box search,no_disease_to_disease,100.0,1.0,1.0,1.0,0.993,0.1180687432736158,0.1662777777777777,0.0406520795449614,0.4491986397311599,1.0,0.0509329835400421,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,disease_to_no_disease,100.0,1.0,1.0,1.0,0.8150000000000003,0.0707363674044609,0.7689444444444447,0.0734005421772599,0.6610784703435375,1.0,2.0083559118399443,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,no_disease_to_disease,100.0,1.0,1.0,1.0,0.73,0.0648851013928651,0.7663888888888889,0.072521442733705,0.6046946672596624,1.0,2.0190373049799746,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,disease_to_no_disease,100.0,1.0,1.0,1.0,0.8640000000000002,0.0788547122478485,0.7644444444444445,0.0760502826236188,0.6907303761209593,1.0,2.02504488139999,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,no_disease_to_disease,100.0,1.0,1.0,1.0,0.767,0.0599743232503533,0.7646111111111111,0.0725584416463971,0.5673537990354607,1.0,2.050542488799965,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,disease_to_no_disease,100.0,1.0,1.0,1.0,0.8330000000000001,0.0723591640777885,0.7760555555555554,0.0677338950522244,0.6704126736669579,1.0,2.01213136291999,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,no_disease_to_disease,100.0,1.0,1.0,1.0,0.7360000000000001,0.0673351811803877,0.7607777777777776,0.0740167529508471,0.599360297594844,1.0,2.029264854580142,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,disease_to_no_disease,100.0,1.0,1.0,1.0,0.8160000000000001,0.0682189641706645,0.7662777777777778,0.070870019160211,0.6615979253818939,1.0,2.008085041250033,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,no_disease_to_disease,100.0,1.0,1.0,1.0,0.7010000000000001,0.0569976934418082,0.7906111111111112,0.0624265900254249,0.5541214577208458,1.0,2.015338963810118,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
uniform_random,Uniform constrained random,disease_to_no_disease,100.0,1.0,1.0,1.0,0.8520000000000002,0.0917903523892164,0.2154999999999999,0.1186967818439006,0.6809841952772182,1.0,0.3685883068000475,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
uniform_random,Uniform constrained random,no_disease_to_disease,100.0,1.0,1.0,1.0,0.8200000000000004,0.0946257591247558,0.2060555555555555,0.1223690156638622,0.6527716196250825,1.0,0.3619606985599602,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
wachter_style,Custom Wachter-style gradient,disease_to_no_disease,100.0,0.103,1.0,0.0,0.102,0.0762425585091114,0.0366666666666666,0.0008548116497695,0.5364370796273333,1.0,0.1011293693400057,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
wachter_style,Custom Wachter-style gradient,no_disease_to_disease,100.0,0.0999999999999999,1.0,0.0,0.0999999999999999,0.0693956051766872,0.0488888888888889,0.0,0.5254839925729461,1.0,0.100771527279985,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
official_dice_genetic,Official DiCE Genetic,disease_to_no_disease,100.0,0.843,1.0,0.3,0.826,0.34715212747454643,0.05857054673721342,0.20408401533961296,1.565277973110864,1.0,5.492582957739995,official dice-ml native implementation,,maxiterations=300,True,False
official_dice_genetic,Official DiCE Genetic,no_disease_to_disease,100.0,0.562,0.99,0.03,0.539,0.3523880721944751,0.038459774107922264,0.16895795666208172,1.5086121842217484,1.0,3.8908326859000204,official dice-ml native implementation,,maxiterations=300,True,False
official_dice_random,Official DiCE Random,disease_to_no_disease,100.0,0.4960000000000001,0.9,0.0,0.39000000000000007,0.04721131376508209,0.8354458161865569,0.061517663072380754,0.6596898599148558,1.0,4.089714541719982,official dice-ml native implementation,,sample_size=10000,True,False
official_dice_random,Official DiCE Random,no_disease_to_disease,100.0,0.36599999999999994,0.89,0.0,0.27499999999999997,0.0463663080728121,0.8290574282147316,0.061957640971025726,0.6461444760672499,1.0,4.26924323277,official dice-ml native implementation,,sample_size=10000,True,False
