candidate_cohort_seed,repeat,context_construction_seconds_one_time,context_peak_rss_delta_mb,public_context_mb_one_time,tenseal_version,python_version,platform,cpu_logical_count,cpu_physical_count,secret_key_location,server_context_contains_secret_key,server_context_contains_relinearization_keys,server_context_contains_galois_keys,context_reuse_policy,population,packed_slots_used,slot_utilization,feature_ciphertexts_uploaded,logit_ciphertexts_downloaded,encryption_seconds,upload_serialization_seconds,server_deserialization_seconds,server_inference_seconds_per_round,download_serialization_seconds,decryption_seconds,total_latency_seconds_per_round,time_per_candidate_seconds,throughput_candidates_per_second,server_inference_throughput_candidates_per_second,client_total_seconds_per_round,server_total_seconds_per_round,upload_ciphertext_mb,download_ciphertext_mb,total_communication_mb_per_round,peak_rss_delta_mb,baseline_rss_mb,peak_rss_mb,mean_abs_logit_error,max_abs_logit_error,mean_abs_probability_error_client_side,max_abs_probability_error_client_side,plaintext_he_label_agreement,plaintext_he_margin_state_agreement,agreement_and_error_gate_on_supplied_candidates,required_label_agreement,maximum_allowed_abs_logit_error,minimum_abs_plaintext_logit,profile_name,profile_status,poly_modulus_degree,slot_count,coeff_mod_bit_sizes,coeff_mod_total_bits,tc128_max_coeff_mod_bits,global_scale_bits,security_validation,parameter_construction_passed
101,1,0.5636354060000031,138.899456,11.16384,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,4,2,client_only,False,True,False,one context per benchmark run; reuse across queries,16,16,0.001953125,20,1,0.439532569999983,0.08388369600004353,0.0711597790000269,81.701194375,0.0010420969999813678,0.0023149669999611433,82.299127484,5.14369546775,0.19441275368454672,0.19583557036585855,0.5267733299999691,81.77235415400003,26.961201,0.246921,27.208122,12.279808,1309.10208,1321.381888,4.278965389639677e-06,5.702377050553764e-06,6.379328778614991e-07,1.3491614391236695e-06,1.0,1.0,True,0.99,0.025,0.28364935397145175,poly_n16384_scale45,paper_precision_profile,16384,8192,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,SEAL default TC128 parameter validation,True
101,2,0.5636354060000031,138.899456,11.16384,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,4,2,client_only,False,True,False,one context per benchmark run; reuse across queries,16,16,0.001953125,20,1,0.4509113860000298,0.0849293400000306,0.06714415299995835,82.45441293600004,0.0009621110000352928,0.0021944160000657575,83.06055434200016,5.19128464637501,0.19263054679505656,0.19404661837103826,0.5389972530001614,82.521557089,26.960232,0.246944,27.207176,0.012288,1321.377792,1321.39008,4.290682938185714e-06,5.731524678420641e-06,6.404615029610918e-07,1.3663563233068388e-06,1.0,1.0,True,0.99,0.025,0.28364935397145175,poly_n16384_scale45,paper_precision_profile,16384,8192,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,SEAL default TC128 parameter validation,True
101,3,0.5636354060000031,138.899456,11.16384,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,4,2,client_only,False,True,False,one context per benchmark run; reuse across queries,16,16,0.001953125,20,1,0.4652378859999544,0.10300357599999188,0.06808602399996744,81.65725776800002,0.0009939810000787475,0.0021373529999664242,82.29671658799998,5.143544786749999,0.19441844903850058,0.19594094189959568,0.5713727959999915,81.72534379199999,26.960518,0.246918,27.207436,0.004096,1321.385984,1321.39008,4.2845934489776916e-06,5.705876756634254e-06,6.395365433067949e-07,1.3644852554506315e-06,1.0,1.0,True,0.99,0.025,0.28364935397145175,poly_n16384_scale45,paper_precision_profile,16384,8192,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,SEAL default TC128 parameter validation,True
101,4,0.5636354060000031,138.899456,11.16384,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,4,2,client_only,False,True,False,one context per benchmark run; reuse across queries,16,16,0.001953125,20,1,0.44948836200001097,0.0905809319999662,0.07241374299997005,81.84677332099989,0.0012636030000976461,0.0021448200000122597,82.46266478099994,5.1539165488124965,0.19402720058212972,0.19548724220622135,0.5434777170000871,81.91918706399986,26.960815,0.246936,27.207751,0.004096,1321.385984,1321.39008,4.2782098622594356e-06,5.688303477580092e-06,6.382058351999165e-07,1.359555833357895e-06,1.0,1.0,True,0.99,0.025,0.28364935397145175,poly_n16384_scale45,paper_precision_profile,16384,8192,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,SEAL default TC128 parameter validation,True
101,5,0.5636354060000031,138.899456,11.16384,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,4,2,client_only,False,True,False,one context per benchmark run; reuse across queries,16,16,0.001953125,20,1,0.4470491290001064,0.08815878000018529,0.07098183299990524,82.23164169699999,0.0009634839998398093,0.00214236300007542,82.8409372860001,5.177558580375006,0.19314122370153286,0.19457230416188712,0.5383137560002069,82.30262352999989,26.96097,0.246932,27.207902,0.004096,1321.385984,1321.39008,4.276436338081224e-06,5.702936991980323e-06,6.379686277025127e-07,1.3547382891054838e-06,1.0,1.0,True,0.99,0.025,0.28364935397145175,poly_n16384_scale45,paper_precision_profile,16384,8192,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,SEAL default TC128 parameter validation,True
101,1,0.5636354060000031,138.899456,11.16384,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,4,2,client_only,False,True,False,one context per benchmark run; reuse across queries,32,32,0.00390625,20,1,0.4478690830001142,0.08463617400002477,0.07055384499994943,81.99136415400017,0.0010266179999689484,0.002215126000010059,82.59766500000023,2.5811770312500073,0.3874201528578309,0.3902850053805184,0.535747001000118,82.06191799900012,26.960319,0.246954,27.207273,0.753664,1321.406464,1322.160128,4.748490754881776e-06,8.101698213636155e-06,4.1019018588269534e-07,1.3550071255030716e-06,1.0,1.0,True,0.99,0.025,0.28364935397145175,poly_n16384_scale45,paper_precision_profile,16384,8192,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,SEAL default TC128 parameter validation,True
101,2,0.5636354060000031,138.899456,11.16384,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,4,2,client_only,False,True,False,one context per benchmark run; reuse across queries,32,32,0.00390625,20,1,0.4786412089999885,0.08010320300013518,0.06482882000000245,81.03015892899998,0.0010712099999636848,0.0021189159999721596,81.65692228700004,2.5517788214687513,0.39188349381488347,0.394914688838744,0.5619345380000595,81.09498774899998,26.960812,0.246944,27.207756,0.602112,1322.156032,1322.758144,4.747748886362035e-06,8.097432376175107e-06,4.099239615720407e-07,1.3662724632768075e-06,1.0,1.0,True,0.99,0.025,0.28364935397145175,poly_n16384_scale45,paper_precision_profile,16384,8192,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,SEAL default TC128 parameter validation,True
101,3,0.5636354060000031,138.899456,11.16384,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,4,2,client_only,False,True,False,one context per benchmark run; reuse across queries,32,32,0.00390625,20,1,0.45693728800006284,0.08135827799992512,0.06584550699994907,81.71299104400009,0.0011604159999478725,0.002192248999790536,82.32048478199977,2.5725151494374927,0.388724630142085,0.3916145962980222,0.5416482309997264,81.77883655100004,26.960075,0.246935,27.20701,0.008192,1322.754048,1322.76224,4.749102854039594e-06,8.100579957925902e-06,4.1020829217010636e-07,1.3648294370227632e-06,1.0,1.0,True,0.99,0.025,0.28364935397145175,poly_n16384_scale45,paper_precision_profile,16384,8192,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,SEAL default TC128 parameter validation,True
101,4,0.5636354060000031,138.899456,11.16384,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,4,2,client_only,False,True,False,one context per benchmark run; reuse across queries,32,32,0.00390625,20,1,0.4460159830000521,0.0873967029999676,0.07211940699994557,82.76630506400011,0.0011057970000365458,0.0022258830001646857,83.37516883700027,2.6054740261562586,0.3838073187301184,0.3866307668954847,0.5367443660002209,82.83842447100005,26.960673,0.246958,27.207631,0.004096,1322.758144,1322.76224,4.751974309095963e-06,8.128935878204402e-06,4.1054037054890555e-07,1.3671693895878079e-06,1.0,1.0,True,0.99,0.025,0.28364935397145175,poly_n16384_scale45,paper_precision_profile,16384,8192,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,SEAL default TC128 parameter validation,True
101,5,0.5636354060000031,138.899456,11.16384,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,4,2,client_only,False,True,False,one context per benchmark run; reuse across queries,32,32,0.00390625,20,1,0.45061188099998617,0.08657807400004458,0.07197417099996528,82.98566548399981,0.0009783819998574472,0.0022199499999260297,83.59802794199959,2.612438373187487,0.3827841491931082,0.3856087652411465,0.5403882869998142,83.05763965499978,26.960487,0.246959,27.207446,1.875968,1322.758144,1324.634112,4.747577972894629e-06,8.11354378527085e-06,4.0987938996958757e-07,1.3635569028336292e-06,1.0,1.0,True,0.99,0.025,0.28364935397145175,poly_n16384_scale45,paper_precision_profile,16384,8192,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,SEAL default TC128 parameter validation,True
