candidate_cohort_seed,population,repeats,tenseal_version,python_version,platform,secret_key_location,context_reuse_policy,profile_name,profile_status,coeff_mod_bit_sizes,security_validation,context_construction_seconds_one_time_median,context_construction_seconds_one_time_q25,context_construction_seconds_one_time_q75,context_peak_rss_delta_mb_median,context_peak_rss_delta_mb_q25,context_peak_rss_delta_mb_q75,public_context_mb_one_time_median,public_context_mb_one_time_q25,public_context_mb_one_time_q75,cpu_logical_count_median,cpu_logical_count_q25,cpu_logical_count_q75,cpu_physical_count_median,cpu_physical_count_q25,cpu_physical_count_q75,server_context_contains_secret_key_median,server_context_contains_secret_key_q25,server_context_contains_secret_key_q75,server_context_contains_relinearization_keys_median,server_context_contains_relinearization_keys_q25,server_context_contains_relinearization_keys_q75,server_context_contains_galois_keys_median,server_context_contains_galois_keys_q25,server_context_contains_galois_keys_q75,packed_slots_used_median,packed_slots_used_q25,packed_slots_used_q75,slot_utilization_median,slot_utilization_q25,slot_utilization_q75,feature_ciphertexts_uploaded_median,feature_ciphertexts_uploaded_q25,feature_ciphertexts_uploaded_q75,logit_ciphertexts_downloaded_median,logit_ciphertexts_downloaded_q25,logit_ciphertexts_downloaded_q75,encryption_seconds_median,encryption_seconds_q25,encryption_seconds_q75,upload_serialization_seconds_median,upload_serialization_seconds_q25,upload_serialization_seconds_q75,server_deserialization_seconds_median,server_deserialization_seconds_q25,server_deserialization_seconds_q75,server_inference_seconds_per_round_median,server_inference_seconds_per_round_q25,server_inference_seconds_per_round_q75,download_serialization_seconds_median,download_serialization_seconds_q25,download_serialization_seconds_q75,decryption_seconds_median,decryption_seconds_q25,decryption_seconds_q75,total_latency_seconds_per_round_median,total_latency_seconds_per_round_q25,total_latency_seconds_per_round_q75,time_per_candidate_seconds_median,time_per_candidate_seconds_q25,time_per_candidate_seconds_q75,throughput_candidates_per_second_median,throughput_candidates_per_second_q25,throughput_candidates_per_second_q75,server_inference_throughput_candidates_per_second_median,server_inference_throughput_candidates_per_second_q25,server_inference_throughput_candidates_per_second_q75,client_total_seconds_per_round_median,client_total_seconds_per_round_q25,client_total_seconds_per_round_q75,server_total_seconds_per_round_median,server_total_seconds_per_round_q25,server_total_seconds_per_round_q75,upload_ciphertext_mb_median,upload_ciphertext_mb_q25,upload_ciphertext_mb_q75,download_ciphertext_mb_median,download_ciphertext_mb_q25,download_ciphertext_mb_q75,total_communication_mb_per_round_median,total_communication_mb_per_round_q25,total_communication_mb_per_round_q75,peak_rss_delta_mb_median,peak_rss_delta_mb_q25,peak_rss_delta_mb_q75,baseline_rss_mb_median,baseline_rss_mb_q25,baseline_rss_mb_q75,peak_rss_mb_median,peak_rss_mb_q25,peak_rss_mb_q75,mean_abs_logit_error_median,mean_abs_logit_error_q25,mean_abs_logit_error_q75,max_abs_logit_error_median,max_abs_logit_error_q25,max_abs_logit_error_q75,mean_abs_probability_error_client_side_median,mean_abs_probability_error_client_side_q25,mean_abs_probability_error_client_side_q75,max_abs_probability_error_client_side_median,max_abs_probability_error_client_side_q25,max_abs_probability_error_client_side_q75,plaintext_he_label_agreement_median,plaintext_he_label_agreement_q25,plaintext_he_label_agreement_q75,plaintext_he_margin_state_agreement_median,plaintext_he_margin_state_agreement_q25,plaintext_he_margin_state_agreement_q75,agreement_and_error_gate_on_supplied_candidates_median,agreement_and_error_gate_on_supplied_candidates_q25,agreement_and_error_gate_on_supplied_candidates_q75,required_label_agreement_median,required_label_agreement_q25,required_label_agreement_q75,maximum_allowed_abs_logit_error_median,maximum_allowed_abs_logit_error_q25,maximum_allowed_abs_logit_error_q75,minimum_abs_plaintext_logit_median,minimum_abs_plaintext_logit_q25,minimum_abs_plaintext_logit_q75,poly_modulus_degree_median,poly_modulus_degree_q25,poly_modulus_degree_q75,slot_count_median,slot_count_q25,slot_count_q75,coeff_mod_total_bits_median,coeff_mod_total_bits_q25,coeff_mod_total_bits_q75,tc128_max_coeff_mod_bits_median,tc128_max_coeff_mod_bits_q25,tc128_max_coeff_mod_bits_q75,global_scale_bits_median,global_scale_bits_q25,global_scale_bits_q75,parameter_construction_passed_median,parameter_construction_passed_q25,parameter_construction_passed_q75
101,16,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,poly_n16384_scale45,paper_precision_profile,"[55, 45, 45, 45, 45, 45, 55]",SEAL default TC128 parameter validation,0.5636354060000031,0.5636354060000031,0.5636354060000031,138.899456,138.899456,138.899456,11.16384,11.16384,11.16384,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16.0,16.0,16.0,0.001953125,0.001953125,0.001953125,20.0,20.0,20.0,1.0,1.0,1.0,0.44948836200001097,0.4470491290001064,0.4509113860000298,0.08815878000018529,0.0849293400000306,0.0905809319999662,0.07098183299990524,0.06808602399996744,0.0711597790000269,81.84677332099989,81.701194375,82.23164169699999,0.0009939810000787475,0.0009634839998398093,0.0010420969999813678,0.0021448200000122597,0.00214236300007542,0.0021944160000657575,82.46266478099994,82.299127484,82.8409372860001,5.1539165488124965,5.14369546775,5.177558580375006,0.19402720058212972,0.19314122370153286,0.19441275368454672,0.19548724220622135,0.19457230416188712,0.19583557036585855,0.5389972530001614,0.5383137560002069,0.5434777170000871,81.91918706399986,81.77235415400003,82.30262352999989,26.960815,26.960518,26.96097,0.246932,0.246921,0.246936,27.207751,27.207436,27.207902,0.004096,0.004096,0.012288,1321.385984,1321.377792,1321.385984,1321.39008,1321.39008,1321.39008,4.278965389639677e-06,4.2782098622594356e-06,4.2845934489776916e-06,5.702936991980323e-06,5.702377050553764e-06,5.705876756634254e-06,6.382058351999165e-07,6.379686277025127e-07,6.395365433067949e-07,1.359555833357895e-06,1.3547382891054838e-06,1.3644852554506315e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.28364935397145175,0.28364935397145175,0.28364935397145175,16384.0,16384.0,16384.0,8192.0,8192.0,8192.0,335.0,335.0,335.0,438.0,438.0,438.0,45.0,45.0,45.0,1.0,1.0,1.0
101,32,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,poly_n16384_scale45,paper_precision_profile,"[55, 45, 45, 45, 45, 45, 55]",SEAL default TC128 parameter validation,0.5636354060000031,0.5636354060000031,0.5636354060000031,138.899456,138.899456,138.899456,11.16384,11.16384,11.16384,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32.0,32.0,32.0,0.00390625,0.00390625,0.00390625,20.0,20.0,20.0,1.0,1.0,1.0,0.45061188099998617,0.4478690830001142,0.45693728800006284,0.08463617400002477,0.08135827799992512,0.08657807400004458,0.07055384499994943,0.06584550699994907,0.07197417099996528,81.99136415400017,81.71299104400009,82.76630506400011,0.0010712099999636848,0.0010266179999689484,0.0011057970000365458,0.002215126000010059,0.002192248999790536,0.0022199499999260297,82.59766500000023,82.32048478199977,83.37516883700027,2.5811770312500073,2.5725151494374927,2.6054740261562586,0.3874201528578309,0.3838073187301184,0.388724630142085,0.3902850053805184,0.3866307668954847,0.3916145962980222,0.5403882869998142,0.5367443660002209,0.5416482309997264,82.06191799900012,81.77883655100004,82.83842447100005,26.960487,26.960319,26.960673,0.246954,0.246944,0.246958,27.207446,27.207273,27.207631,0.602112,0.008192,0.753664,1322.754048,1322.156032,1322.758144,1322.76224,1322.758144,1322.76224,4.748490754881776e-06,4.747748886362035e-06,4.749102854039594e-06,8.101698213636155e-06,8.100579957925902e-06,8.11354378527085e-06,4.1019018588269534e-07,4.099239615720407e-07,4.1020829217010636e-07,1.3648294370227632e-06,1.3635569028336292e-06,1.3662724632768075e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.28364935397145175,0.28364935397145175,0.28364935397145175,16384.0,16384.0,16384.0,8192.0,8192.0,8192.0,335.0,335.0,335.0,438.0,438.0,438.0,45.0,45.0,45.0,1.0,1.0,1.0
101,64,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,poly_n16384_scale45,paper_precision_profile,"[55, 45, 45, 45, 45, 45, 55]",SEAL default TC128 parameter validation,0.5636354060000031,0.5636354060000031,0.5636354060000031,138.899456,138.899456,138.899456,11.16384,11.16384,11.16384,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,64.0,64.0,64.0,0.0078125,0.0078125,0.0078125,20.0,20.0,20.0,1.0,1.0,1.0,0.5013590819999081,0.4960549759998685,0.5019973809999101,0.08710244600001715,0.0856331830000272,0.09194563300002301,0.07259633700004997,0.0714912490000188,0.07333379800002149,82.86139480499992,82.82060119499988,83.04658028900008,0.001036925000107658,0.0010099129999616707,0.0010654090001480654,0.002109152000002723,0.0021038419999968028,0.0022925069999928382,83.52031103199988,83.47656813199978,83.73472447000017,1.3050048598749981,1.3043213770624966,1.3083550698437527,0.7662806712427006,0.7643185118848683,0.7666822131307328,0.7723741574784376,0.770651841138811,0.772754593380854,0.5885817579999184,0.5863198899999134,0.5909884800000782,82.93399114199997,82.88798637399987,83.1199140870001,26.960468,26.960414,26.960518,0.246937,0.246937,0.246943,27.207405,27.207333,27.207455,0.004096,0.004096,0.004096,1324.929024,1324.929024,1324.929024,1324.93312,1324.93312,1324.93312,5.071397140090283e-06,5.069252290864756e-06,5.071773867675175e-06,1.2938767444126142e-05,1.2937614744856774e-05,1.2956545536013664e-05,3.660860027682216e-07,3.658128068007723e-07,3.660902354882558e-07,1.4741460937495177e-06,1.4720955064384533e-06,1.4800080598287302e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.10628730128013508,0.10628730128013508,0.10628730128013508,16384.0,16384.0,16384.0,8192.0,8192.0,8192.0,335.0,335.0,335.0,438.0,438.0,438.0,45.0,45.0,45.0,1.0,1.0,1.0
101,128,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,poly_n16384_scale45,paper_precision_profile,"[55, 45, 45, 45, 45, 45, 55]",SEAL default TC128 parameter validation,0.5636354060000031,0.5636354060000031,0.5636354060000031,138.899456,138.899456,138.899456,11.16384,11.16384,11.16384,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,128.0,128.0,128.0,0.015625,0.015625,0.015625,20.0,20.0,20.0,1.0,1.0,1.0,0.5001712479997877,0.4970473900000343,0.5069884129998172,0.08661954300009711,0.08465481600001112,0.08919713300019794,0.07378319300005387,0.06950337899979786,0.07575311900018278,82.78389890799986,82.45008991700001,83.17838055399989,0.0010429469998598506,0.0010090239998135075,0.0010904349999236729,0.002252747000056843,0.002244400000108726,0.002256770000258257,83.44028880399969,83.1120340089999,83.85354667800038,0.6518772562812476,0.6493127656953117,0.655105833421878,1.5340311237497102,1.5264709135264491,1.5400898501189293,1.5461943891075982,1.53886141023029,1.5524543409091935,0.5881608989998313,0.586886517000039,0.599413005000315,82.85340228699965,82.52387311000007,83.25413367300007,26.960093,26.959862,26.960737,0.246929,0.246924,0.246961,27.206998,27.206836,27.207666,0.004096,0.004096,0.258048,1325.981696,1325.981696,1325.981696,1325.985792,1325.985792,1326.73536,5.0126556455047785e-06,5.012487508379137e-06,5.0133186389564755e-06,1.2959170572202083e-05,1.294859177392027e-05,1.2961055805504884e-05,3.2449082313619367e-07,3.2442564806493174e-07,3.2450565789581173e-07,1.477495775115134e-06,1.4774803158146277e-06,1.4782967960313975e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.10628730128013508,0.10628730128013508,0.10628730128013508,16384.0,16384.0,16384.0,8192.0,8192.0,8192.0,335.0,335.0,335.0,438.0,438.0,438.0,45.0,45.0,45.0,1.0,1.0,1.0
101,256,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,poly_n16384_scale45,paper_precision_profile,"[55, 45, 45, 45, 45, 45, 55]",SEAL default TC128 parameter validation,0.5636354060000031,0.5636354060000031,0.5636354060000031,138.899456,138.899456,138.899456,11.16384,11.16384,11.16384,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,256.0,256.0,256.0,0.03125,0.03125,0.03125,20.0,20.0,20.0,1.0,1.0,1.0,0.4992400189998989,0.4975777190002191,0.4998379870003191,0.08677396999974007,0.08498787700000321,0.08753632700017988,0.06826781400013715,0.06826525700034836,0.07151521099967795,82.12446358499983,82.11159450100013,82.2134206869996,0.0010212619999947492,0.0010080089996336028,0.0010680310001589532,0.0021630200003528444,0.002138993000244227,0.002227831999789487,82.7743137919997,82.77112282800044,82.86883817999978,0.32333716324999884,0.32332469854687673,0.32370639914062416,3.0927468712491204,3.089219127749097,3.0928661017680237,3.117219751883516,3.1138468374237256,3.1177083036291773,0.5900707240002703,0.587152235999838,0.5905133720002596,82.19202167599997,82.17986231500026,82.28168594399995,26.960534,26.959971,26.960668,0.246955,0.246954,0.246971,27.207488,27.206932,27.207623,0.004096,0.004096,0.004096,1327.362048,1327.362048,1327.362048,1327.366144,1327.366144,1327.366144,5.0430091495247105e-06,5.042732337022537e-06,5.043323504489675e-06,1.702000206194043e-05,1.7015427111743975e-05,1.7020180976601296e-05,3.500776897959139e-07,3.500542802354579e-07,3.5013442529128387e-07,1.4755871023397482e-06,1.4726036943746301e-06,1.4762455133321417e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.10628730128013508,0.10628730128013508,0.10628730128013508,16384.0,16384.0,16384.0,8192.0,8192.0,8192.0,335.0,335.0,335.0,438.0,438.0,438.0,45.0,45.0,45.0,1.0,1.0,1.0
101,512,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,poly_n16384_scale45,paper_precision_profile,"[55, 45, 45, 45, 45, 45, 55]",SEAL default TC128 parameter validation,0.5636354060000031,0.5636354060000031,0.5636354060000031,138.899456,138.899456,138.899456,11.16384,11.16384,11.16384,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,512.0,512.0,512.0,0.0625,0.0625,0.0625,20.0,20.0,20.0,1.0,1.0,1.0,0.5062869819998923,0.49708382900007564,0.5161063129999093,0.08354513400036012,0.08304983300013191,0.0849306949999118,0.06870227600029466,0.06817437100016832,0.06872988699979032,82.3773037599999,82.18971997800008,82.74499267700003,0.0010275869999532006,0.0010134130002370512,0.0011775009998018504,0.0022713169996677607,0.002235467999980756,0.002625506000185851,83.02770390000023,82.86361743700036,83.42444361099933,0.16216348417968796,0.16184300280664132,0.16293836642773307,6.166616393687825,6.137289957694053,6.178827522093926,6.215304175184873,6.187685604114104,6.229489529068212,0.5944027980003739,0.5833967170001415,0.605195182999978,82.44430718300009,82.25842225400038,82.81760491599971,26.960525,26.960498,26.960809,0.246937,0.246936,0.246939,27.207464,27.207459,27.207745,0.004096,0.004096,0.004096,1327.73888,1327.73888,1327.73888,1327.742976,1327.742976,1327.742976,5.090516405142789e-06,5.0904291472615845e-06,5.0906012861345645e-06,1.702661984381848e-05,1.7022219054751986e-05,1.7032687438245375e-05,3.5271754273386794e-07,3.526906027832013e-07,3.5273706675105614e-07,1.473267623175456e-06,1.4709122925782303e-06,1.475185280208624e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.10628730128013508,0.10628730128013508,0.10628730128013508,16384.0,16384.0,16384.0,8192.0,8192.0,8192.0,335.0,335.0,335.0,438.0,438.0,438.0,45.0,45.0,45.0,1.0,1.0,1.0
202,16,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,poly_n16384_scale45,paper_precision_profile,"[55, 45, 45, 45, 45, 45, 55]",SEAL default TC128 parameter validation,0.47131738300004145,0.47131738300004145,0.47131738300004145,17.854464,17.854464,17.854464,11.163451,11.163451,11.163451,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16.0,16.0,16.0,0.001953125,0.001953125,0.001953125,20.0,20.0,20.0,1.0,1.0,1.0,0.4470682019996275,0.44683012500036057,0.4487799730000006,0.08460643699982029,0.08340463399963483,0.08556061099989165,0.06946623300018473,0.06919613499985644,0.07071237300033317,82.10906996899985,82.0467381919998,82.3237486500002,0.001050302000294323,0.0010249339998154028,0.0010531259999879694,0.0021491540001079557,0.002126727999893774,0.0021505830000023707,82.71577933199978,82.70630271599975,82.9442268290004,5.1697362082499865,5.169143919749985,5.184014176812525,0.19343346734097894,0.19290070703758494,0.19345563124664691,0.19486276005855108,0.1943546092394805,0.19501079936362573,0.5375132280000798,0.5336197159990661,0.5417896850003672,82.1782661039997,82.11745056500013,82.40243714400003,26.960728,26.960605,26.96143,0.246954,0.246952,0.246958,27.207682,27.207557,27.208352,0.004096,0.004096,0.004096,1345.716224,1345.716224,1345.716224,1345.72032,1345.72032,1345.72032,4.389931184636819e-06,4.388692289414298e-06,4.392208664216746e-06,1.0666314615548345e-05,1.0666298422279397e-05,1.0667099896721766e-05,2.4939865791576554e-07,2.4922857988031885e-07,2.496063946093753e-07,9.523293614810413e-07,9.517351836629828e-07,9.525991844228088e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,1.0601517090782,1.0601517090782,1.0601517090782,16384.0,16384.0,16384.0,8192.0,8192.0,8192.0,335.0,335.0,335.0,438.0,438.0,438.0,45.0,45.0,45.0,1.0,1.0,1.0
202,32,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,poly_n16384_scale45,paper_precision_profile,"[55, 45, 45, 45, 45, 45, 55]",SEAL default TC128 parameter validation,0.47131738300004145,0.47131738300004145,0.47131738300004145,17.854464,17.854464,17.854464,11.163451,11.163451,11.163451,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32.0,32.0,32.0,0.00390625,0.00390625,0.00390625,20.0,20.0,20.0,1.0,1.0,1.0,0.4548833410003681,0.449676515000192,0.4578470579999703,0.08344861900013711,0.08266173299989532,0.08407558499993684,0.06854439399967305,0.06772409899986087,0.07020075499985978,82.18825567900012,81.81970074499986,82.20227302300009,0.0009714999996504048,0.000968508999903861,0.001011192999612831,0.0021938489999229205,0.00215686999990794,0.0022198750002644374,82.80574044700006,82.42669100699959,82.81675708499915,2.587679388968752,2.575834093968737,2.5880236589062235,0.3864466379656571,0.3863952311868084,0.3882237611271159,0.3893500322598561,0.3892836392863059,0.3911038504006698,0.5382845660001294,0.5355511139996452,0.5463868750002803,82.25597977799998,81.89113989299995,82.26745588099993,26.960384,26.960327,26.960475,0.246959,0.24695,0.246971,27.207318,27.20726,27.207446,0.004096,0.004096,0.004096,1345.72032,1345.72032,1345.72032,1345.724416,1345.724416,1345.724416,4.953812264376668e-06,4.95235611880189e-06,4.954092239078944e-06,1.483698103044162e-05,1.4834744426650559e-05,1.48394132111207e-05,3.4207936531924463e-07,3.420566199338726e-07,3.4214710494815164e-07,1.3639102229290323e-06,1.3636381208659287e-06,1.3639144904598055e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.24176455727010193,0.24176455727010193,0.24176455727010193,16384.0,16384.0,16384.0,8192.0,8192.0,8192.0,335.0,335.0,335.0,438.0,438.0,438.0,45.0,45.0,45.0,1.0,1.0,1.0
202,64,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,poly_n16384_scale45,paper_precision_profile,"[55, 45, 45, 45, 45, 45, 55]",SEAL default TC128 parameter validation,0.47131738300004145,0.47131738300004145,0.47131738300004145,17.854464,17.854464,17.854464,11.163451,11.163451,11.163451,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,64.0,64.0,64.0,0.0078125,0.0078125,0.0078125,20.0,20.0,20.0,1.0,1.0,1.0,0.4609595409992835,0.4536836110000877,0.4963842119996116,0.08736811200014927,0.08547115200053668,0.08951289800006634,0.0694639109997297,0.06666564500028471,0.06955943000048137,82.22566363700025,81.86851652199948,82.432718131,0.0010134920003110892,0.0010071529995911987,0.0010657009997885325,0.0021411609995993786,0.0021395359999587527,0.0021990470004311646,82.88684563999959,82.48170438499801,83.08918291300051,1.2951069631249936,1.288776631015594,1.298268483015633,0.7721369959953553,0.7702567019706036,0.7759296498198998,0.7783458006801786,0.7763907517679183,0.7817412934653836,0.547399255999153,0.5455938330005665,0.5869053520000307,82.29232928200054,81.93430512899886,82.50227756100048,26.96034,26.959951,26.96036,0.246927,0.246919,0.246935,27.207295,27.20687,27.2073,0.004096,0.004096,0.004096,1345.72032,1345.72032,1345.72032,1345.724416,1345.724416,1345.724416,4.9048724516543435e-06,4.904094971201929e-06,4.904924693922581e-06,1.4835369270826959e-05,1.483443701744136e-05,1.4836272058005306e-05,4.280304938982574e-07,4.277956574376091e-07,4.2803608404672974e-07,1.3640463777941925e-06,1.3585517433245542e-06,1.364548076754346e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.24176455727010193,0.24176455727010193,0.24176455727010193,16384.0,16384.0,16384.0,8192.0,8192.0,8192.0,335.0,335.0,335.0,438.0,438.0,438.0,45.0,45.0,45.0,1.0,1.0,1.0
202,128,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,poly_n16384_scale45,paper_precision_profile,"[55, 45, 45, 45, 45, 45, 55]",SEAL default TC128 parameter validation,0.47131738300004145,0.47131738300004145,0.47131738300004145,17.854464,17.854464,17.854464,11.163451,11.163451,11.163451,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,128.0,128.0,128.0,0.015625,0.015625,0.015625,20.0,20.0,20.0,1.0,1.0,1.0,0.5061294350007302,0.4943222890005927,0.5107563449992085,0.08700140699966141,0.08468894500038004,0.08794645900070464,0.07351098200069828,0.06884202099990944,0.07574120999925071,82.11581246700007,82.058753884,82.16991818899987,0.0010588200002530357,0.0010562980005488498,0.0010643099994922522,0.002352419000089867,0.0022671200003969716,0.0023902080001789727,82.7659836390003,82.73412562900012,82.85107263999907,0.6466092471796898,0.6463603564765634,0.6472740049999928,1.5465290735659778,1.544940770485617,1.5471245876699422,1.558774079613953,1.5577476870012927,1.5598579547155142,0.5968921060002685,0.5813291510003182,0.6076434689985035,82.18465448799998,82.13723352299985,82.24342917100057,26.960198,26.95998,26.961005,0.246932,0.246925,0.246941,27.207123,27.206912,27.207921,0.004096,0.004096,0.004096,1345.72032,1345.72032,1345.72032,1345.724416,1345.724416,1345.724416,5.2173844250853665e-06,5.216525434168992e-06,5.2176838986135905e-06,1.5140478453190553e-05,1.5129618674336598e-05,1.514070942221224e-05,3.5016168433217e-07,3.5013354027355776e-07,3.5021439717645536e-07,1.3648803630084139e-06,1.362226338730288e-06,1.3678044231690833e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.24176455727010193,0.24176455727010193,0.24176455727010193,16384.0,16384.0,16384.0,8192.0,8192.0,8192.0,335.0,335.0,335.0,438.0,438.0,438.0,45.0,45.0,45.0,1.0,1.0,1.0
