direction,method,method_family,candidate_cohort_seed,plaintext_logit,he_logit,abs_logit_error,label_agreement
disease_to_no_disease,uniform_random,Baseline,101,-2.0652255814967866,-2.065220928725016,4.652771770530251e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-4.375400217640541,-4.3753957475774,4.470063140971092e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-14.249910930150165,-14.24990901782506,1.912325105379864e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-2.1453090618295123,-2.1453047338852067,4.327944305604348e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-0.5457163713180133,-0.5457113863700566,4.984947956754304e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,101,-9.585646937501792,-9.585644037709875,2.8997919176987352e-06,True
no_disease_to_disease,genetic_cfe,Baseline,101,0.6766217392320044,0.6766274419861587,5.702754154235379e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,0.958295321925366,0.9583010015477073,5.679622341214774e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,0.7284624684778684,0.7284680458874774,5.577409608936712e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,0.8797389333386896,0.8797438931896256,4.959850936070431e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,0.28364935397145175,0.2836549021239673,5.548152515577609e-06,True
no_disease_to_disease,countergan_one_shot,Non-DP CounterGAN,101,0.8602845899407949,0.8602895847065511,4.9947657562166015e-06,True
disease_to_no_disease,genetic_cfe,Baseline,101,-15.139138200724151,-15.139136024491197,2.1762329538432823e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-21.059255630824378,-21.05925475946654,8.713578374397457e-07,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-0.8596650067546285,-0.8596600442422361,4.96251239245904e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-5.241011558760288,-5.241006805575031,4.753185256944903e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-1.7408032266648217,-1.740798416696092,4.8099687297575855e-06,True
disease_to_no_disease,proposed_countergan,Non-DP CounterGAN,101,-5.773353191105206,-5.773349438381629,3.7527235763334943e-06,True
no_disease_to_disease,dice_gradient_style,Baseline,101,11.11090685966834,11.110914967370999,8.10770265857741e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,2.7201560995726126,2.7201616063770206,5.506804408028643e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,3.5232982692612147,3.523305031367525,6.76210631045393e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,2.0531226528639728,2.053128116542701,5.463678728112598e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,8.614870272477116,8.614877097649238,6.825172121693868e-06,True
no_disease_to_disease,countergan_one_shot,Non-DP CounterGAN,101,6.992727923348715,6.992735027426465,7.104077750064164e-06,True
disease_to_no_disease,uniform_random,Baseline,101,-3.7572175116114233,-3.757213445442828,4.0661685951626225e-06,True
