direction,method,method_family,cfe_logit,plaintext_logit_recomputed,he_logit,abs_logit_error,label_agreement
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1002755165100097,0.10027532443306697,0.10028038066400796,5.056230940991835e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1005611419677734,0.10056051839345415,0.10056527421262634,4.755819172197473e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1006512641906738,0.10065110846805947,0.1006563398965954,5.231428535937277e-06,True
no_disease_to_disease,genetic_cfe,Baseline,0.1006579399108886,0.10065825858152344,0.10066311444083552,4.8558593120778815e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1009535789489746,-0.10095282374019288,-0.10094756819957149,5.255540621390553e-06,True
no_disease_to_disease,uniform_random,Baseline,0.1012701988220214,0.10126995563786512,0.10127553956768723,5.583929822111644e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.1017675399780273,-0.10176814328506634,-0.10176261992444992,5.523360616419004e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1019043922424316,0.10190411853988302,0.1019094428331814,5.324293298386573e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1019682884216308,-0.10196896137692946,-0.10196377557158037,5.185805349083861e-06,True
no_disease_to_disease,uniform_random,Baseline,0.1021857261657714,0.10218635471989668,0.10219183809350249,5.483373605813524e-06,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,0.1026897430419921,0.10268927102749448,0.10269413774099106,4.866713496587405e-06,True
no_disease_to_disease,uniform_random,Baseline,0.1032509803771972,0.10325132049489305,0.10325644104818195,5.120553288898155e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1033987998962402,0.1033989054569675,0.1034039993935152,5.093936547698186e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1037707328796386,0.10377065878149683,0.10377550087934731,4.8420978504826184e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1039624214172363,-0.10396182337611926,-0.10395609678572948,5.726590389776298e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.104288101196289,0.10428792179993618,0.10429275888169703,4.837081760855622e-06,True
disease_to_no_disease,countergan_one_shot,Non-DP CounterGAN,-0.104372501373291,-0.104372218306791,-0.10436636836777811,5.849939012883554e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1047892570495605,-0.10478921379425543,-0.10478435070534178,4.8630889136480615e-06,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,0.1050982475280761,0.10509835841077475,0.10510396749181457,5.609081039817387e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1053357124328613,0.10533462903883795,0.10533997558924525,5.346550407306361e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1055169105529785,0.10551656604935733,0.10552213394589768,5.567896540353834e-06,True
disease_to_no_disease,uniform_random,Baseline,-0.1055798530578613,-0.10557974827023209,-0.10557445331402122,5.2949562108634e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1058621406555175,0.10586199278987074,0.10586745726184757,5.46447197682931e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.1059632301330566,-0.10596321858054125,-0.10595800329577648,5.215284764770178e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.1062874794006347,-0.10628730128013508,-0.10628221523087485,5.086049260236147e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1065387725830078,-0.10653868619396079,-0.10653334918993834,5.3370040224431925e-06,True
no_disease_to_disease,uniform_random,Baseline,0.1082258224487304,0.10822567830333263,0.10823065262246681,4.974319134182226e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.1082453727722168,-0.10824540725407061,-0.10823996559630666,5.441657763949337e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1084427833557128,-0.10844220818188255,-0.10843674513519054,5.4630466920085885e-06,True
