population,direction,inner_queries,valid_cfe_yield_at_k,robust_validity,sparsity,diversity,mean_rounds_to_k10_or_cap,mean_candidates_to_k10_or_cap,maximum_rounds,candidate_budget,total_latency_seconds_per_round_median,time_per_candidate_seconds_median,throughput_candidates_per_second_median,total_communication_mb_per_round_median,peak_rss_mb_median,max_abs_logit_error_median,plaintext_he_label_agreement_median,all_repetitions_pass_gate,composed_he_time_to_k10_or_cap_seconds,composed_he_time_to_candidate_cap_seconds,composed_communication_to_k10_or_cap_mb,selected_for_v55_outer
16,disease_to_no_disease,4,1.0,0.925,0.7666666666666667,0.06240487471222875,2.75,44.0,32,512,82.46266478099994,5.1539165488124965,0.19402720058212972,27.207749,1345.72032,1.0666314615548345e-05,1.0,True,226.77232814774985,2638.805272991998,74.82130975,False
16,no_disease_to_disease,4,1.0,0.9375,0.7111111111111111,0.0773644391447305,3.25,52.0,32,512,82.46266478099994,5.1539165488124965,0.19402720058212972,27.207749,1345.72032,1.0666314615548345e-05,1.0,True,268.00366053824985,2638.805272991998,88.42518425,False
32,disease_to_no_disease,4,1.0,0.9666666666666666,0.7569444444444445,0.08862168900668618,1.75,56.0,16,512,82.33699006099869,2.573030939406209,0.38864670637453547,27.207446,1345.724416,1.219449761080682e-05,1.0,True,144.0897326067477,1317.391840975979,47.6130305,False
32,no_disease_to_disease,4,1.0,0.9791666666666667,0.6916666666666667,0.09041465446352955,1.75,56.0,16,512,82.33699006099869,2.573030939406209,0.38864670637453547,27.207446,1345.724416,1.219449761080682e-05,1.0,True,144.0897326067477,1317.391840975979,47.6130305,False
64,disease_to_no_disease,4,1.0,0.9416666666666667,0.7791666666666668,0.0759032806381583,1.25,80.0,8,512,83.08918291300051,1.298268483015633,0.7702567019706036,27.207333,1345.724416,1.2938767444126142e-05,1.0,True,103.86147864125064,664.7134633040041,34.00916625,True
64,no_disease_to_disease,4,1.0,0.9666666666666667,0.7208333333333333,0.08649868890643114,1.25,80.0,8,512,83.08918291300051,1.298268483015633,0.7702567019706036,27.207333,1345.724416,1.2938767444126142e-05,1.0,True,103.86147864125064,664.7134633040041,34.00916625,True
128,disease_to_no_disease,4,1.0,0.9666666666666667,0.6763888888888889,0.08536793850362295,1.25,160.0,4,512,82.7659836390003,0.6466092471796898,1.5465290735659778,27.207123,1345.724416,1.5140478453190553e-05,1.0,True,103.45747954875037,331.0639345560012,34.00890375,False
128,no_disease_to_disease,4,1.0,0.9708333333333333,0.6152777777777778,0.10437006689608093,1.0,128.0,4,512,82.7659836390003,0.6466092471796898,1.5465290735659778,27.207123,1345.724416,1.5140478453190553e-05,1.0,True,82.7659836390003,331.0639345560012,27.207123,False
256,disease_to_no_disease,4,1.0,0.9249999999999999,0.6319444444444444,0.07922463770955795,1.25,320.0,2,512,83.02224077299888,0.3243056280195269,3.0835110883113894,27.207326,1345.724416,1.646587973880287e-05,1.0,True,103.7778009662486,166.04448154599777,34.0091575,False
256,no_disease_to_disease,4,1.0,0.9958333333333333,0.5888888888888889,0.08661931287497278,1.0,256.0,2,512,83.02224077299888,0.3243056280195269,3.0835110883113894,27.207326,1345.724416,1.646587973880287e-05,1.0,True,83.02224077299888,166.04448154599777,27.207326,False
512,disease_to_no_disease,4,1.0,0.9208333333333333,0.5777777777777777,0.0516195902600884,1.0,512.0,1,512,83.34135911299836,0.16277609201757492,6.143408332299992,27.207487,1345.724416,1.671402943514977e-05,1.0,True,83.34135911299836,83.34135911299836,27.207487,False
512,no_disease_to_disease,4,1.0,0.9500000000000001,0.5069444444444444,0.0577111970633268,1.0,512.0,1,512,83.34135911299836,0.16277609201757492,6.143408332299992,27.207487,1345.724416,1.671402943514977e-05,1.0,True,83.34135911299836,83.34135911299836,27.207487,False
