metric,mean,std
accuracy,0.9046321525885559,0.0
precision,0.9913146759706035,0.0
recall,0.8667488803790485,0.0
f1,0.9248562919869797,0.0
roc_auc,0.9832851126614179,0.0
f2,0.889093063822421,0.0
pr_auc,0.9923237238940958,0.0
specificity,0.9840751327072275,0.0
negative_predictive_value,0.7788430464289562,0.0
false_positive_rate,0.015924867292772562,0.0
false_negative_rate,0.1332511196209515,0.0
gmean_sensitivity_specificity,0.9235507671389013,0.0
balanced_accuracy,0.9254120065431379,0.0
mcc,0.8094866793724153,0.0
prevalence,0.6771117166212534,0.0
predicted_positive_rate,0.5920277753362047,0.0
subject_balanced_f1,0.88068332677757,0.0
subject_balanced_roc_auc,0.9655278855208733,0.0
subject_balanced_pr_auc,0.9853757248379558,0.0
