attack_seed,stage,membership,rows,class_0,class_1
101,calibration,member,1000,332,668
101,calibration,nonmember,1000,332,668
101,evaluation,member,1000,323,677
101,evaluation,nonmember,1000,323,677
202,calibration,member,1000,332,668
202,calibration,nonmember,1000,332,668
202,evaluation,member,1000,323,677
202,evaluation,nonmember,1000,323,677
303,calibration,member,1000,332,668
303,calibration,nonmember,1000,332,668
303,evaluation,member,1000,323,677
303,evaluation,nonmember,1000,323,677
404,calibration,member,1000,332,668
404,calibration,nonmember,1000,332,668
404,evaluation,member,1000,323,677
404,evaluation,nonmember,1000,323,677
505,calibration,member,1000,332,668
505,calibration,nonmember,1000,332,668
505,evaluation,member,1000,323,677
505,evaluation,nonmember,1000,323,677
606,calibration,member,1000,332,668
606,calibration,nonmember,1000,332,668
606,evaluation,member,1000,323,677
606,evaluation,nonmember,1000,323,677
707,calibration,member,1000,332,668
707,calibration,nonmember,1000,332,668
707,evaluation,member,1000,323,677
707,evaluation,nonmember,1000,323,677
808,calibration,member,1000,332,668
808,calibration,nonmember,1000,332,668
808,evaluation,member,1000,323,677
808,evaluation,nonmember,1000,323,677
909,calibration,member,1000,332,668
909,calibration,nonmember,1000,332,668
909,evaluation,member,1000,323,677
909,evaluation,nonmember,1000,323,677
1010,calibration,member,1000,332,668
1010,calibration,nonmember,1000,332,668
1010,evaluation,member,1000,323,677
1010,evaluation,nonmember,1000,323,677
