dataset,variant,attack_seed,sensitive_feature,attribute_kind,attack_metric,attack_value,trivial_baseline_value
ecg,countergan,101,total_power,continuous,normalized_mae,0.06478384292134945,0.09506844176257435
ecg,dp_eps16,101,total_power,continuous,normalized_mae,0.06820166088262797,0.09506844176257435
ecg,dp_eps8,101,total_power,continuous,normalized_mae,0.07367980456185395,0.09506844176257435
ecg,dp_eps4,101,total_power,continuous,normalized_mae,0.06523408997760026,0.09506844176257435
ecg,dp_eps2,101,total_power,continuous,normalized_mae,0.06555054346601431,0.09506844176257435
ecg,countergan,202,total_power,continuous,normalized_mae,0.06739142565236676,0.1075610827353136
ecg,dp_eps16,202,total_power,continuous,normalized_mae,0.06495506494884178,0.1075610827353136
ecg,dp_eps8,202,total_power,continuous,normalized_mae,0.07472295384985278,0.1075610827353136
ecg,dp_eps4,202,total_power,continuous,normalized_mae,0.06400676616273092,0.1075610827353136
ecg,dp_eps2,202,total_power,continuous,normalized_mae,0.06570428188164172,0.1075610827353136
ecg,countergan,303,total_power,continuous,normalized_mae,0.060954221414741855,0.09633250297666197
ecg,dp_eps16,303,total_power,continuous,normalized_mae,0.06498553077995303,0.09633250297666197
ecg,dp_eps8,303,total_power,continuous,normalized_mae,0.07113485911529915,0.09633250297666197
ecg,dp_eps4,303,total_power,continuous,normalized_mae,0.06097195930505518,0.09633250297666197
ecg,dp_eps2,303,total_power,continuous,normalized_mae,0.06642031108718677,0.09633250297666197
ecg,countergan,404,total_power,continuous,normalized_mae,0.06583449689192157,0.10300679758625297
ecg,dp_eps16,404,total_power,continuous,normalized_mae,0.06959089440585402,0.10300679758625297
ecg,dp_eps8,404,total_power,continuous,normalized_mae,0.07717336298442054,0.10300679758625297
ecg,dp_eps4,404,total_power,continuous,normalized_mae,0.06643418856639126,0.10300679758625297
ecg,dp_eps2,404,total_power,continuous,normalized_mae,0.0632506990613892,0.10300679758625297
ecg,countergan,505,total_power,continuous,normalized_mae,0.05922062698794201,0.109225057957465
ecg,dp_eps16,505,total_power,continuous,normalized_mae,0.06470551028464472,0.109225057957465
ecg,dp_eps8,505,total_power,continuous,normalized_mae,0.07145638007820757,0.109225057957465
ecg,dp_eps4,505,total_power,continuous,normalized_mae,0.06019467301554906,0.109225057957465
ecg,dp_eps2,505,total_power,continuous,normalized_mae,0.0639021860600548,0.109225057957465
ecg,countergan,606,total_power,continuous,normalized_mae,0.06576791990258898,0.10088051718466581
ecg,dp_eps16,606,total_power,continuous,normalized_mae,0.06632859493988544,0.10088051718466581
ecg,dp_eps8,606,total_power,continuous,normalized_mae,0.07556130693053427,0.10088051718466581
ecg,dp_eps4,606,total_power,continuous,normalized_mae,0.061043987277384894,0.10088051718466581
ecg,dp_eps2,606,total_power,continuous,normalized_mae,0.06777248081560337,0.10088051718466581
ecg,countergan,707,total_power,continuous,normalized_mae,0.05955785234543505,0.09798166846987756
ecg,dp_eps16,707,total_power,continuous,normalized_mae,0.06399485538005519,0.09798166846987756
ecg,dp_eps8,707,total_power,continuous,normalized_mae,0.07083576299671472,0.09798166846987756
ecg,dp_eps4,707,total_power,continuous,normalized_mae,0.061117266131749545,0.09798166846987756
ecg,dp_eps2,707,total_power,continuous,normalized_mae,0.06222775712010053,0.09798166846987756
ecg,countergan,808,total_power,continuous,normalized_mae,0.06400108290573303,0.10312271630010669
ecg,dp_eps16,808,total_power,continuous,normalized_mae,0.06741775252579113,0.10312271630010669
ecg,dp_eps8,808,total_power,continuous,normalized_mae,0.0718520943447392,0.10312271630010669
ecg,dp_eps4,808,total_power,continuous,normalized_mae,0.06212243530028133,0.10312271630010669
ecg,dp_eps2,808,total_power,continuous,normalized_mae,0.06383902891527893,0.10312271630010669
ecg,countergan,909,total_power,continuous,normalized_mae,0.06489077784331698,0.10390280373802693
ecg,dp_eps16,909,total_power,continuous,normalized_mae,0.06300489421469678,0.10390280373802693
ecg,dp_eps8,909,total_power,continuous,normalized_mae,0.07406657463863152,0.10390280373802693
ecg,dp_eps4,909,total_power,continuous,normalized_mae,0.062492594748707296,0.10390280373802693
ecg,dp_eps2,909,total_power,continuous,normalized_mae,0.06546775048556666,0.10390280373802693
ecg,countergan,1010,total_power,continuous,normalized_mae,0.06040291807772409,0.10525174104349865
ecg,dp_eps16,1010,total_power,continuous,normalized_mae,0.06367404270644303,0.10525174104349865
ecg,dp_eps8,1010,total_power,continuous,normalized_mae,0.07160102134439929,0.10525174104349865
ecg,dp_eps4,1010,total_power,continuous,normalized_mae,0.06093880277334839,0.10525174104349865
ecg,dp_eps2,1010,total_power,continuous,normalized_mae,0.06485376752332955,0.10525174104349865
