dataset,variant,attribute_kind,attack_metric,metric,mean,sd,ci95_low,ci95_high,attack_seeds
ecg,countergan,continuous,normalized_mae,attack_value,0.06328051649431199,0.00296301022269031,0.06150644988945683,0.06497308996144907,10
ecg,countergan,continuous,normalized_mae,trivial_baseline_value,0.10223333297544435,0.00467402429772176,0.09940467357715699,0.10481288311904438,10
ecg,dp_eps16,continuous,normalized_mae,attack_value,0.06568588010687931,0.0021362271697934966,0.0644945958081411,0.06703123042035916,10
ecg,dp_eps16,continuous,normalized_mae,trivial_baseline_value,0.10223333297544435,0.00467402429772176,0.09945987228742449,0.1048975947445313,10
ecg,dp_eps2,continuous,normalized_mae,attack_value,0.06489888064161657,0.0016309302528485902,0.0639413070711851,0.06584415384404739,10
ecg,dp_eps2,continuous,normalized_mae,trivial_baseline_value,0.10223333297544435,0.00467402429772176,0.09944199211971144,0.10496071324973527,10
ecg,dp_eps4,continuous,normalized_mae,attack_value,0.06245567632587982,0.002094041803148683,0.06133573663122679,0.06380967853051397,10
ecg,dp_eps4,continuous,normalized_mae,trivial_baseline_value,0.10223333297544435,0.00467402429772176,0.09945344871290088,0.10493948926143504,10
ecg,dp_eps8,continuous,normalized_mae,attack_value,0.0732084120844653,0.0021584831339203385,0.07198446647162608,0.07446251060827973,10
ecg,dp_eps8,continuous,normalized_mae,trivial_baseline_value,0.10223333297544435,0.00467402429772176,0.09947797793561039,0.10497121239328273,10
