dataset,variant,attack,attack_seed,calibration_rows_per_group,evaluation_rows_per_group,latent_draws,calibration_raw_auc,orientation_selected_on_calibration,calibration_threshold,evaluation_auc,evaluation_accuracy,evaluation_balanced_accuracy,evaluation_tpr_at_calibrated_threshold,evaluation_fpr_at_calibrated_threshold,evaluation_membership_advantage,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05
ecg,countergan,single_draw_loss_threshold,101,1000,1000,16,0.527561,1,-0.0690411627292633,0.402909,0.508,0.508,0.116,0.1,0.016,0.006,0.024,0.057
ecg,countergan,multi_draw_reconstruction,101,1000,1000,16,0.513485,1,-0.0618772991001606,0.362381,0.462,0.462,0.134,0.21,-0.07599999999999998,0.019,0.035,0.058
ecg,countergan,multi_draw_mean_objective,101,1000,1000,16,0.530675,1,-0.07201023399829865,0.434313,0.5295,0.5295000000000001,0.126,0.067,0.059,0.01,0.057,0.106
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.47128000000000003,-1,1.5003951819160897,0.525367,0.5105,0.5105,0.516,0.495,0.02100000000000002,0.003,0.01,0.045
ecg,countergan,released_discriminator_score,101,1000,1000,0,0.7757860000000001,1,1.0668257474899292,0.726033,0.709,0.709,0.709,0.291,0.418,0.019,0.155,0.196
ecg,dp_eps16,single_draw_loss_threshold,101,1000,1000,16,0.6118410000000001,1,-0.13575579226016998,0.42270599999999997,0.4555,0.4555,0.515,0.604,-0.08899999999999997,0.026,0.046,0.075
ecg,dp_eps16,multi_draw_reconstruction,101,1000,1000,16,0.573112,1,-0.11066063493490219,0.382434,0.4325,0.4325,0.576,0.711,-0.135,0.038,0.056,0.074
ecg,dp_eps16,multi_draw_mean_objective,101,1000,1000,16,0.6162860000000001,1,-0.32493355870246887,0.439874,0.4955,0.4955,0.896,0.905,-0.009000000000000008,0.043,0.053,0.086
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.584151,1,-0.7160903843180881,0.42560000000000003,0.4555,0.4555,0.657,0.746,-0.08899999999999997,0.011,0.067,0.087
ecg,dp_eps16,released_discriminator_score,101,1000,1000,0,0.7913100000000001,1,0.89517742395401,0.722303,0.688,0.688,0.68,0.304,0.37600000000000006,0.03,0.135,0.208
ecg,dp_eps8,single_draw_loss_threshold,101,1000,1000,16,0.560671,1,-0.10123646259307861,0.438225,0.4925,0.4925,0.266,0.281,-0.015000000000000013,0.025,0.04,0.091
ecg,dp_eps8,multi_draw_reconstruction,101,1000,1000,16,0.5501320000000001,1,-0.09036789834499359,0.37893800000000005,0.4165,0.4165,0.361,0.528,-0.16700000000000004,0.019,0.047,0.079
ecg,dp_eps8,multi_draw_mean_objective,101,1000,1000,16,0.56374,1,-0.30296164751052856,0.445395,0.4865,0.4865,0.87,0.897,-0.027000000000000024,0.049,0.071,0.113
ecg,dp_eps8,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.562128,1,-0.8420705212849909,0.419605,0.4245,0.4245,0.376,0.527,-0.15100000000000002,0.018,0.056,0.089
