dataset,variant,attack,metric,mean,sd,ci95_low,ci95_high,attack_seeds
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_auc,0.5155168,0.014189820872724218,0.5068585999999999,0.5237352625,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_accuracy,0.5067,0.01023935761873979,0.50029875,0.5122000000000001,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.5067,0.01023935761873979,0.5003,0.5124000000000001,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,0.013400000000000006,0.020478715237479565,0.0011000000000000118,0.02430000000000001,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.47619999999999996,0.08464015332899365,0.42730000000000007,0.5256,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.4628,0.07509075989908627,0.41979749999999993,0.509505,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.001,0.0026000000000000003,0.0009660917830792959,0.0020000000000000005,0.0032,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.01,0.011099999999999999,0.0043320510923425945,0.0086,0.013800000000000002,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.05,0.0507,0.013266917920568859,0.043199999999999995,0.05860249999999997,10
ecg,countergan,multi_draw_mean_objective,evaluation_auc,0.4329877,0.0085996027821703,0.428295625,0.438321645,10
ecg,countergan,multi_draw_mean_objective,evaluation_accuracy,0.49874999999999997,0.030323487413041535,0.4810475,0.51635,10
ecg,countergan,multi_draw_mean_objective,evaluation_balanced_accuracy,0.49874999999999997,0.03032348741304156,0.48114874999999996,0.51675,10
ecg,countergan,multi_draw_mean_objective,evaluation_membership_advantage,-0.0025000000000000274,0.06064697482608311,-0.037802500000000044,0.03299999999999999,10
ecg,countergan,multi_draw_mean_objective,evaluation_tpr_at_calibrated_threshold,0.49659999999999993,0.37650326839366366,0.2811975,0.7122999999999999,10
