epoch,d_loss,g_loss,classification_weight,proximity_weight,sparsity_weight,group_sparsity_weight,diversity_weight,margin_validity,margin_validity_disease_to_no_disease,margin_validity_no_disease_to_disease,proximity,constraint_validity,selection_score
1,0.6391309082508088,24.79470624923706,8.0,0.04,0.01,0.0,0.0,0.6484375,0.6328125,0.6640625,0.14281687140464783,1.0,0.8412966564297676
2,0.538938795030117,3.5682284355163576,8.0,0.04,0.01,0.0,0.0,0.78515625,0.6796875,0.890625,0.13596254587173462,1.0,0.9783581227064132
3,0.49748657941818236,2.0494033217430117,8.0,0.04,0.01,0.0,0.0,0.8359375,0.7890625,0.8828125,0.12619460374116898,1.0,1.0296277698129415
4,0.5854843705892563,1.3736001431941987,8.0,0.04,0.01,0.0,0.0,0.83984375,0.8828125,0.796875,0.12279634922742844,1.0,1.0337039325386286
5,0.6636042922735215,1.2762202501296998,8.0,0.04,0.01,0.0,0.0,0.875,0.8515625,0.8984375,0.1350262686610222,1.0,1.068248686566949
6,0.6005155831575394,1.1982652217149734,8.0,0.04,0.01,0.0,0.0,0.8984375,0.890625,0.90625,0.1406954675912857,1.0,1.0914027266204356
7,0.5414463624358177,1.16412613093853,8.0,0.04,0.01,0.0,0.0,0.93359375,0.890625,0.9765625,0.14537352323532104,1.0,1.126325073838234
8,0.5543489024043083,1.2902436345815658,8.0,0.04,0.01,0.0,0.0,0.80078125,1.0,0.6015625,0.14130452275276184,1.0,0.9937160238623619
9,0.5527570813894271,1.2282604634761811,8.0,0.04,0.01,0.0,0.0,0.85546875,0.9609375,0.75,0.15392575412988663,1.0,1.0477724622935056
10,0.48774503916502,1.155538210272789,8.0,0.04,0.01,0.0,0.0,0.8203125,0.953125,0.6875,0.17017468810081482,1.0,1.0118037655949592
11,0.5134762898087502,1.2115168392658233,8.0,0.04,0.01,0.0,0.0,0.82421875,0.984375,0.6640625,0.16088251769542694,1.0,1.0161746241152285
12,0.5025679022073746,1.2393213272094727,8.0,0.04,0.01,0.0,0.0,0.81640625,0.9921875,0.640625,0.14133873581886292,1.0,1.009339313209057
13,0.48363934010267257,1.0883722811937333,8.0,0.04,0.01,0.0,0.0,0.93359375,0.9921875,0.875,0.1778196543455124,1.0,1.1247027672827243
14,0.5408010020852089,1.0621973991394043,8.0,0.04,0.01,0.0,0.0,0.921875,0.8671875,0.9765625,0.1806740164756775,1.0,1.112841299176216
15,0.5592088773846626,1.1817637175321578,8.0,0.04,0.01,0.0,0.0,0.890625,0.984375,0.796875,0.19393575191497803,1.0,1.080928212404251
16,0.5420539900660515,1.1464955031871795,8.0,0.04,0.01,0.0,0.0,0.88671875,0.9765625,0.796875,0.1873922049999237,1.0,1.0773491397500037
17,0.5612347334623337,1.116858294606209,8.0,0.04,0.01,0.0,0.0,0.87890625,0.7578125,1.0,0.21414756774902344,1.0,1.0681988716125488
18,0.5558327347040176,1.2181171536445619,8.0,0.04,0.01,0.0,0.0,0.98046875,0.984375,0.9765625,0.2028539925813675,1.0,1.1703260503709316
19,0.5443107157945632,1.230744206905365,8.0,0.04,0.01,0.0,0.0,0.93359375,1.0,0.8671875,0.20363016426563263,1.0,1.1234122417867183
20,0.5141071602702141,1.1571629345417023,8.0,0.04,0.01,0.0,0.0,0.8828125,1.0,0.765625,0.1883721649646759,1.0,1.0733938917517662
21,0.5128853514790535,1.1274801731109618,8.0,0.04,0.01,0.0,0.0,0.8984375,1.0,0.796875,0.20551838725805283,1.0,1.0881615806370972
22,0.4949355944991112,1.0910995244979858,8.0,0.04,0.01,0.0,0.0,0.95703125,1.0,0.9140625,0.2079825922846794,1.0,1.146632120385766
23,0.4969881266355515,1.2193201512098313,8.0,0.04,0.01,0.0,0.0,0.94921875,1.0,0.8984375,0.20488473027944565,1.0,1.1389745134860276
