epoch,d_loss,g_loss,classification_weight,proximity_weight,sparsity_weight,group_sparsity_weight,diversity_weight,margin_validity,proximity,margin_validity_disease_to_no_disease,margin_validity_no_disease_to_disease,constraint_validity,selection_score
1,0.662044444680214,68.36229419708252,8.0,0.04,0.01,0.0,0.0,,,,,,
2,0.6715929746627808,34.0418119430542,8.0,0.04,0.01,0.0,0.0,,,,,,
3,0.6726657807826996,21.11110634803772,8.0,0.04,0.01,0.0,0.0,,,,,,
4,0.6771714717149735,15.873226594924926,8.0,0.04,0.01,0.0,0.0,,,,,,
5,0.6757827073335647,12.22023696899414,8.0,0.04,0.01,0.0,0.0,,,,,,
6,0.667599019408226,9.769220423698425,8.0,0.04,0.01,0.0,0.0,,,,,,
7,0.6753364980220795,8.399059438705445,8.0,0.04,0.01,0.0,0.0,,,,,,
8,0.6691504061222077,6.327697598934174,8.0,0.04,0.01,0.0,0.0,,,,,,
9,0.667621710896492,6.0288758993148805,8.0,0.04,0.01,0.0,0.0,,,,,,
10,0.662732458114624,5.797945773601532,8.0,0.04,0.01,0.0,0.0,,,,,,
11,0.66017587184906,4.979915988445282,8.0,0.04,0.01,0.0,0.0,,,,,,
12,0.6563836067914963,4.4802997469902035,8.0,0.04,0.01,0.0,0.0,,,,,,
13,0.6576588928699494,4.499112057685852,8.0,0.04,0.01,0.0,0.0,,,,,,
14,0.6569412350654602,4.400901126861572,8.0,0.04,0.01,0.0,0.0,,,,,,
15,0.6605786353349685,4.127566993236542,8.0,0.04,0.01,0.0,0.0,,,,,,
16,0.6628662407398224,4.538258647918701,8.0,0.04,0.01,0.0,0.0,,,,,,
17,0.6703303635120392,4.2765905380249025,8.0,0.04,0.01,0.0,0.0,,,,,,
18,0.6724196285009384,4.6855406880378725,8.0,0.04,0.01,0.0,0.0,,,,,,
19,0.6814789146184921,5.225290071964264,8.0,0.04,0.01,0.0,0.0,,,,,,
20,0.6782320618629456,5.145270311832428,8.0,0.04,0.01,0.0,0.0,,,,,,
21,0.6803936541080475,5.191452264785767,8.0,0.04,0.01,0.0,0.0,,,,,,
22,0.670828890800476,4.792636275291443,8.0,0.04,0.01,0.0,0.0,,,,,,
23,0.6700066775083542,4.839494276046753,8.0,0.04,0.01,0.0,0.0,,,,,,
24,0.6623973220586776,4.709635829925537,8.0,0.04,0.01,0.0,0.0,,,,,,
25,0.6620970636606216,4.036391699314118,8.0,0.04,0.01,0.0,0.0,,,,,,
26,0.6559070587158203,4.312103140354156,8.0,0.04,0.01,0.0,0.0,,,,,,
27,0.6514577180147171,3.695007687807083,8.0,0.04,0.01,0.0,0.0,,,,,,
28,0.6479581832885742,3.614423930644989,8.0,0.04,0.01,0.0,0.0,,,,,,
29,0.6494370996952057,3.447833001613617,8.0,0.04,0.01,0.0,0.0,,,,,,
30,0.6461340487003326,3.3187430620193483,8.0,0.04,0.01,0.0,0.0,,,,,,
31,0.6415621489286423,2.9945906341075896,8.022222222222222,0.04088888888888889,0.0105,0.0008333333333333334,0.00044444444444444447,,,,,,
32,0.6385368853807449,2.93823247551918,8.044444444444444,0.04177777777777778,0.011000000000000001,0.0016666666666666668,0.0008888888888888889,,,,,,
33,0.6400639116764069,2.9703880727291105,8.066666666666666,0.042666666666666665,0.0115,0.0025,0.0013333333333333333,,,,,,
34,0.6384650468826294,2.967955446243286,8.088888888888889,0.043555555555555556,0.012,0.0033333333333333335,0.0017777777777777779,,,,,,
35,0.638905155658722,3.062680971622467,8.11111111111111,0.044444444444444446,0.0125,0.004166666666666667,0.0022222222222222222,,,,,,
36,0.6368048578500748,2.683766609430313,8.133333333333333,0.04533333333333334,0.013000000000000001,0.005,0.0026666666666666666,,,,,,
37,0.6402631968259811,2.8526882112026213,8.155555555555555,0.04622222222222222,0.013500000000000002,0.005833333333333334,0.0031111111111111114,,,,,,
38,0.6360649436712265,2.8786870777606963,8.177777777777777,0.04711111111111111,0.014000000000000002,0.006666666666666667,0.0035555555555555557,,,,,,
39,0.6372078448534012,2.738024580478668,8.2,0.048,0.0145,0.0075,0.004,,,,,,
40,0.6296794921159744,2.687326669692993,8.222222222222221,0.04888888888888889,0.015,0.008333333333333333,0.0044444444444444444,,,,,,
41,0.6332119822502136,2.9363149464130402,8.244444444444444,0.04977777777777778,0.0155,0.009166666666666667,0.004888888888888889,,,,,,
