processed_feature,immutable,generation_low,generation_high
age,True,-5.0,5.0
pre_rr,False,-2.5754833,2.5761237
post_rr,False,-2.5754833,2.5760827
power_lf,False,-2.5758011,2.5761745
power_vlf,False,-2.5756946,2.5756643
var,False,-2.5759118,2.5770123
std,False,-2.575908,2.5770304
hjorth_comp,False,-2.5755873,2.5755246
peak_freq,False,-1.6844637,2.5754833
mad,False,-2.5764437,2.575833
rms,False,-2.5755503,2.575517
spectral_entropy,False,-2.575798,2.5758324
power_vhf,False,-2.575853,2.5756202
total_power,False,-2.575864,2.5755672
max,False,-2.5754833,2.5754833
hjorth_mob,False,-2.5756297,2.575541
iqr,False,-2.542349,2.576002
energy,False,-2.5755513,2.5755157
p2p,False,-2.5754833,2.5754833
gender_M,True,0.0,1.0
