method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
countergan_one_shot,disease_to_no_disease,64,1.0,1.0,0.04562209118993451,64.0,1
countergan_one_shot,disease_to_no_disease,128,1.0,1.0,0.046978520429984204,128.0,1
countergan_one_shot,disease_to_no_disease,256,1.0,1.0,0.04957538697998643,256.0,1
countergan_one_shot,disease_to_no_disease,512,1.0,1.0,0.05437952401000075,512.0,1
countergan_one_shot,no_disease_to_disease,64,1.0,1.0,0.0451370498999313,64.0,1
countergan_one_shot,no_disease_to_disease,128,1.0,1.0,0.04624302526013707,128.0,1
countergan_one_shot,no_disease_to_disease,256,1.0,1.0,0.047871537889950556,256.0,1
countergan_one_shot,no_disease_to_disease,512,1.0,1.0,0.051421627379895654,512.0,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,64,0.88,1.0,0.23174160297004165,64.0,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,1.0,1.13,0.2620016031900104,72.32,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,1.0,1.13,0.26346530095996057,72.32,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,1.0,1.13,0.25983213866991717,72.32,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,64,1.0,1.0,0.24570052371005657,64.0,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,1.0,1.0,0.24461323060000723,64.0,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,1.0,1.0,0.24484582743993089,64.0,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,1.0,1.0,0.24481455188999462,64.0,1
dice_gradient_style,disease_to_no_disease,64,0.3,1.0,0.05035570695001297,64.0,1
dice_gradient_style,disease_to_no_disease,128,0.62,1.0,0.058735134980033764,128.0,1
dice_gradient_style,disease_to_no_disease,256,0.98,1.0,0.07726250462994358,256.0,1
dice_gradient_style,disease_to_no_disease,512,1.0,1.0,0.11040700701004426,512.0,1
dice_gradient_style,no_disease_to_disease,64,0.31,1.0,0.05039886246995593,64.0,1
dice_gradient_style,no_disease_to_disease,128,0.9,1.0,0.059741111220018864,128.0,1
dice_gradient_style,no_disease_to_disease,256,1.0,1.0,0.07633411901002546,256.0,1
dice_gradient_style,no_disease_to_disease,512,1.0,1.0,0.1093684973499785,512.0,1
genetic_cfe,disease_to_no_disease,64,0.98,1.0,0.04424766527995416,64.0,1
genetic_cfe,disease_to_no_disease,128,0.99,1.01,0.044525373239994226,64.64,1
genetic_cfe,disease_to_no_disease,256,1.0,1.01,0.04434911014998761,64.64,1
genetic_cfe,disease_to_no_disease,512,1.0,1.0,0.044368282370023736,64.0,1
genetic_cfe,no_disease_to_disease,64,1.0,1.0,0.04428551519999928,64.0,1
genetic_cfe,no_disease_to_disease,128,1.0,1.0,0.04398579662002703,64.0,1
genetic_cfe,no_disease_to_disease,256,1.0,1.0,0.04363265780002621,64.0,1
genetic_cfe,no_disease_to_disease,512,1.0,1.0,0.044300825880045525,64.0,1
proposed_countergan,disease_to_no_disease,64,1.0,1.0,0.04578103011999701,64.0,1
proposed_countergan,disease_to_no_disease,128,1.0,1.0,0.04542475310985537,64.0,1
proposed_countergan,disease_to_no_disease,256,1.0,1.0,0.04526742721000119,64.0,1
proposed_countergan,disease_to_no_disease,512,1.0,1.0,0.04531155349992332,64.0,1
proposed_countergan,no_disease_to_disease,64,1.0,1.0,0.045179540469980566,64.0,1
proposed_countergan,no_disease_to_disease,128,1.0,1.0,0.04512382908995278,64.0,1
proposed_countergan,no_disease_to_disease,256,1.0,1.0,0.04516649779990985,64.0,1
proposed_countergan,no_disease_to_disease,512,1.0,1.0,0.045181260920071506,64.0,1
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,64,0.92,1.0,0.23244750914000178,64.0,1
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,128,1.0,1.09,0.25771385779009504,69.76,1
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,256,1.0,1.08,0.2520616458700715,69.12,1
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,512,1.0,1.1,0.2556158450999919,70.4,1
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,64,0.99,1.0,0.24478749144993345,64.0,1
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,128,1.0,1.0,0.24538154889009092,64.0,1
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,256,1.0,1.0,0.24312668613993083,64.0,1
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,512,1.0,1.0,0.24534595787996294,64.0,1
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,64,1.0,1.0,0.23735910889008666,64.0,1
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,128,1.0,1.0,0.24293103397001686,64.0,1
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,256,1.0,1.0,0.24174569000017074,64.0,1
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,512,1.0,1.0,0.24045190650000223,64.0,1
