method,method_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
countergan_one_shot,11,64,disease_to_no_disease,0.805,1.0,0.52,0.731,0.38,0.10048964254558086,0.1680132275132275,0.031113794315606357,0.4388814696550894,0.04565186005987016,64.0
countergan_one_shot,11,64,no_disease_to_disease,0.975,1.0,0.88,0.973,0.86,0.11762344293296337,0.16366115520282187,0.038090627137571574,0.4458934624521895,0.04516679892001776,64.0
countergan_one_shot,11,128,disease_to_no_disease,0.8640000000000001,1.0,0.66,0.794,0.49,0.09842472203075886,0.19096626984126985,0.03181725205853581,0.43837087556386334,0.04701201471001695,128.0
countergan_one_shot,11,128,no_disease_to_disease,0.988,1.0,0.93,0.9840000000000001,0.9,0.11558263041079045,0.18535802469135804,0.038528767209500075,0.4427613505253504,0.0462771031300872,128.0
countergan_one_shot,11,256,disease_to_no_disease,0.925,1.0,0.78,0.84,0.54,0.09697743657976389,0.20617746913580248,0.03144458882510662,0.43817990970544485,0.04960558037996634,256.0
countergan_one_shot,11,256,no_disease_to_disease,0.998,1.0,0.98,0.993,0.95,0.1130067066848278,0.20814814814814814,0.037016552295535805,0.4414851851040576,0.0479024131699407,256.0
countergan_one_shot,11,512,disease_to_no_disease,0.9440000000000001,1.0,0.84,0.853,0.58,0.09468705229461193,0.22496141975308642,0.03150705479085445,0.4383203750324025,0.054418557409944696,512.0
countergan_one_shot,11,512,no_disease_to_disease,1.0,1.0,1.0,0.986,0.92,0.11060375533998013,0.22894444444444442,0.036973390635102986,0.43848946981418485,0.051458789509943016,512.0
countergan_sparse_diverse_no_dp,11,64,disease_to_no_disease,0.568,0.88,0.38,0.456,0.14,0.06983735649423166,0.6474203843995511,0.03190682239999825,0.4722846548322331,0.23177993891002188,64.0
countergan_sparse_diverse_no_dp,11,64,no_disease_to_disease,0.968,1.0,0.84,0.763,0.05,0.08428494755178689,0.5937993827160494,0.04369129680097103,0.48815096028321553,0.24573761268011368,64.0
