population,maximum_rounds,candidate_budget,query_number,direction,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
16,32,512,0,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08466804027557373,0.8166666666666667,0.06787585467100143,0.85997346857443,0.85997346857443,0.0,0.08,0.7878787878787878,0.7878787878787878,81,1.0,5.814017295837402,0.1780843734741211,0.8666666666666666,0.7,0.7,0.0,0.8355002405002405,7.089210440999523,7.089210440999523,7.089210440999523,0.7089210440999523,512,72.22242931863256,32,1.0,1.0,1.0,16.0,16.0,0.2406188969998766,0.2406188969998766,1.0,1.0,1.0,16.0,16.0,0.2406188969998766,0.2406188969998766,1.0,1.0,1.0,16.0,16.0,0.2406188969998766,0.2406188969998766,1.0,2.0,2.0,32.0,32.0,0.4764382690000275,0.4764382690000275,0.8166666666666667
16,32,512,1,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0861099362373352,0.7722222222222223,0.0553755983710289,0.7762779819455706,0.7762779819455706,0.3,0.04,0.9696969696969697,0.9696969696969697,81,1.0,3.433795928955078,0.14377927780151367,0.9166666666666666,0.8,0.8,0.0,0.9149074074074074,7.7934630300005665,7.7934630300005665,7.7934630300005665,0.7793463030000567,512,65.69608376007947,32,1.0,1.0,1.0,16.0,16.0,0.16895781400035048,0.16895781400035048,1.0,2.0,2.0,32.0,32.0,0.41255608500068774,0.41255608500068774,1.0,2.0,2.0,32.0,32.0,0.41255608500068774,0.41255608500068774,1.0,3.0,3.0,48.0,48.0,0.5781667280007241,0.5781667280007241,0.7722222222222223
16,32,512,2,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07153494656085968,0.7277777777777779,0.05152882635593414,0.7000036866740983,0.7000036866740983,0.0,0.8800000000000001,0.8484848484848485,0.8484848484848485,81,1.0,1.9256198406219482,0.27416467666625977,0.9166666666666667,0.6,0.6,0.0,0.9166163466163466,7.739113292000184,7.739113292000184,7.739113292000184,0.7739113292000184,512,66.1574499147399,32,1.0,1.0,1.0,16.0,16.0,0.24895551200006594,0.24895551200006594,1.0,2.0,2.0,32.0,32.0,0.4945815549999679,0.4945815549999679,1.0,2.0,2.0,32.0,32.0,0.4945815549999679,0.4945815549999679,1.0,4.0,4.0,64.0,64.0,0.9110225270005685,0.9110225270005685,0.7277777777777779
16,32,512,3,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07454578578472137,0.75,0.07483921945095062,0.5643675742589787,0.5643675742589787,0.0,0.72,0.9696969696969697,0.9696969696969697,81,1.0,8.723989486694336,0.7056574821472168,1.0,1.0,1.0,1.0,0.9466426166426165,8.12256761199933,8.12256761199933,8.12256761199933,0.812256761199933,512,63.034255232745764,32,1.0,1.0,1.0,16.0,16.0,0.16575801499948284,0.16575801499948284,1.0,1.0,1.0,16.0,16.0,0.16575801499948284,0.16575801499948284,1.0,1.0,1.0,16.0,16.0,0.16575801499948284,0.16575801499948284,1.0,2.0,2.0,32.0,32.0,0.4070838529996763,0.4070838529996763,0.75
16,32,512,4,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08881236612796783,0.6166666666666667,0.09007389098405838,0.7923487801099058,0.7923487801099058,0.0,0.7999999999999999,0.8787878787878788,0.8787878787878788,81,1.0,4.4092326164245605,0.3892350196838379,0.8500000000000002,0.7,0.7,0.0,0.9475329270259613,8.245802915999775,8.245802915999775,8.245802915999775,0.8245802915999775,512,62.09219468567929,32,1.0,1.0,1.0,16.0,16.0,0.2579382510002688,0.2579382510002688,1.0,1.0,1.0,16.0,16.0,0.2579382510002688,0.2579382510002688,1.0,1.0,1.0,16.0,16.0,0.2579382510002688,0.2579382510002688,1.0,2.0,2.0,32.0,32.0,0.508194743999411,0.508194743999411,0.6166666666666667
16,32,512,5,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.1204466000199318,0.7444444444444445,0.07281490415334702,0.9086554907400247,0.9086554907400247,0.0,0.9400000000000001,0.7878787878787878,0.7878787878787878,81,1.0,4.218156814575195,0.7155880928039551,0.9166666666666666,0.8,0.8,0.0,0.9311430236430237,6.702673673999925,6.702673673999925,6.702673673999925,0.6702673673999925,512,76.38742760013498,32,1.0,1.0,1.0,16.0,16.0,0.1642909239999426,0.1642909239999426,1.0,1.0,1.0,16.0,16.0,0.1642909239999426,0.1642909239999426,1.0,2.0,2.0,32.0,32.0,0.3294826470000771,0.3294826470000771,1.0,4.0,4.0,64.0,64.0,0.6631879859996843,0.6631879859996843,0.7444444444444445
16,32,512,6,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07504862546920776,0.8222222222222223,0.07221698015928268,0.8788186837086659,0.8788186837086659,0.0,0.82,0.8787878787878788,0.8787878787878788,81,1.0,4.639199256896973,1.244764804840088,1.0,1.0,1.0,1.0,0.8833597883597882,6.685583693000808,6.685583693000808,6.685583693000808,0.6685583693000808,512,76.58269247844686,32,1.0,2.0,2.0,32.0,32.0,0.32349302800048463,0.32349302800048463,1.0,2.0,2.0,32.0,32.0,0.32349302800048463,0.32349302800048463,1.0,4.0,4.0,64.0,64.0,0.8312766520002697,0.8312766520002697,1.0,5.0,5.0,80.0,80.0,1.0763574640004663,1.0763574640004663,0.8222222222222223
16,32,512,7,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08288752287626266,0.6611111111111111,0.07435198128223419,0.786086376578013,0.786086376578013,0.0,0.72,0.7878787878787878,0.7878787878787878,81,1.0,2.801842212677002,0.468228816986084,0.9833333333333334,0.9,0.9,0.0,0.9508888333888335,8.16544347099989,8.16544347099989,8.16544347099989,0.8165443470999889,512,62.70326918781591,32,1.0,1.0,1.0,16.0,16.0,0.23542630199972336,0.23542630199972336,1.0,1.0,1.0,16.0,16.0,0.23542630199972336,0.23542630199972336,1.0,1.0,1.0,16.0,16.0,0.23542630199972336,0.23542630199972336,1.0,2.0,2.0,32.0,32.0,0.4752867899997,0.4752867899997,0.6611111111111111
32,16,512,0,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.09857138246297836,0.7833333333333334,0.08372386544942856,0.907603711857273,0.907603711857273,0.0,0.0,0.9696969696969697,0.9696969696969697,81,1.0,12.798748016357422,0.33861207962036133,0.95,0.9,0.9,0.0,0.8495509120509122,4.053126005999729,4.053126005999729,4.053126005999729,0.4053126005999729,512,126.32225083604622,16,1.0,1.0,1.0,32.0,32.0,0.24161800799993216,0.24161800799993216,1.0,1.0,1.0,32.0,32.0,0.24161800799993216,0.24161800799993216,1.0,1.0,1.0,32.0,32.0,0.24161800799993216,0.24161800799993216,1.0,1.0,1.0,32.0,32.0,0.24161800799993216,0.24161800799993216,0.7833333333333334
32,16,512,1,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10384650528430939,0.7333333333333334,0.10599002987146378,0.8738149139426744,0.8738149139426744,0.1,0.26000000000000006,0.9696969696969697,0.9696969696969697,81,1.0,6.67706823348999,0.38027238845825195,0.9666666666666666,0.9,0.9,0.0,0.9307910607910609,3.9313938770001187,3.9313938770001187,3.9313938770001187,0.3931393877000119,512,130.2337074378021,16,1.0,1.0,1.0,32.0,32.0,0.23468258299999434,0.23468258299999434,1.0,1.0,1.0,32.0,32.0,0.23468258299999434,0.23468258299999434,1.0,1.0,1.0,32.0,32.0,0.23468258299999434,0.23468258299999434,1.0,2.0,2.0,64.0,64.0,0.47945062599956145,0.47945062599956145,0.7333333333333334
