method,epsilon,search_seed,query_number,direction,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
proposed_dp_eps16_sparse_diverse,16,11,0,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08455266058444977,0.7666666666666667,0.0823991447687149,0.8196667906208714,0.8196667906208714,0.0,0.08,0.9393939393939394,0.9393939393939394,81,1.0,10.133039474487305,0.2795219421386719,1.0,1.0,1.0,1.0,0.8888282088282088,2.0814665349998904,2.0814665349998904,2.0814665349998904,0.20814665349998904,512,245.98041399691633,8,1.0,1.0,1.0,64.0,64.0,0.250862629999574,0.250862629999574,1.0,1.0,1.0,64.0,64.0,0.250862629999574,0.250862629999574,1.0,1.0,1.0,64.0,64.0,0.250862629999574,0.250862629999574,1.0,1.0,1.0,64.0,64.0,0.250862629999574,0.250862629999574,0.7666666666666667
proposed_dp_eps16_sparse_diverse,16,11,1,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08696688711643219,0.8,0.05945969745516777,0.7572855702054474,0.7572855702054474,0.0,0.0,0.9393939393939394,0.9393939393939394,81,1.0,5.220067977905273,0.9195094108581543,1.0,1.0,1.0,1.0,0.9140442890442891,1.9878712199997608,1.9878712199997608,1.9878712199997608,0.19878712199997609,512,257.56195615129513,8,1.0,2.0,2.0,128.0,128.0,0.41274072999931377,0.41274072999931377,1.0,2.0,2.0,128.0,128.0,0.41274072999931377,0.41274072999931377,1.0,2.0,2.0,128.0,128.0,0.41274072999931377,0.41274072999931377,1.0,2.0,2.0,128.0,128.0,0.41274072999931377,0.41274072999931377,0.8
proposed_dp_eps16_sparse_diverse,16,11,2,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07747707515954971,0.7777777777777779,0.05742635577917099,0.6744427794017366,0.6744427794017366,0.0,0.74,0.9090909090909091,0.9090909090909091,81,1.0,3.6548142433166504,0.2206120491027832,0.95,0.7,0.7,0.0,0.8971657046657047,2.033848040000521,2.033848040000521,2.033848040000521,0.2033848040000521,512,251.73955474071153,8,1.0,1.0,1.0,64.0,64.0,0.2558820880003623,0.2558820880003623,1.0,1.0,1.0,64.0,64.0,0.2558820880003623,0.2558820880003623,1.0,1.0,1.0,64.0,64.0,0.2558820880003623,0.2558820880003623,1.0,2.0,2.0,128.0,128.0,0.5076923300002818,0.5076923300002818,0.7777777777777779
proposed_dp_eps16_sparse_diverse,16,11,3,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.06844518333673477,0.7944444444444445,0.08479896187782288,0.6072244633708874,0.6072244633708874,0.0,0.8,0.8484848484848485,0.8484848484848485,81,1.0,11.39371395111084,1.8101563453674316,1.0,1.0,1.0,1.0,0.9419757094757093,2.135611696999149,2.135611696999149,2.135611696999149,0.2135611696999149,512,239.74395753658584,8,1.0,1.0,1.0,64.0,64.0,0.24524672999996255,0.24524672999996255,1.0,1.0,1.0,64.0,64.0,0.24524672999996255,0.24524672999996255,1.0,1.0,1.0,64.0,64.0,0.24524672999996255,0.24524672999996255,1.0,1.0,1.0,64.0,64.0,0.24524672999996255,0.24524672999996255,0.7944444444444445
proposed_dp_eps16_sparse_diverse,16,11,4,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.102769635617733,0.6444444444444445,0.06973223388195038,0.6297115752550515,0.6297115752550515,0.0,0.9800000000000001,0.9393939393939394,0.9393939393939394,81,1.0,6.250996112823486,0.5270342826843262,0.9,0.8,0.8,0.0,0.9373536838978016,2.1287068870005896,2.1287068870005896,2.1287068870005896,0.21287068870005896,512,240.52160639242493,8,1.0,1.0,1.0,64.0,64.0,0.24550534300033178,0.24550534300033178,1.0,1.0,1.0,64.0,64.0,0.24550534300033178,0.24550534300033178,1.0,1.0,1.0,64.0,64.0,0.24550534300033178,0.24550534300033178,1.0,2.0,2.0,128.0,128.0,0.4958658530003959,0.4958658530003959,0.6444444444444445
proposed_dp_eps16_sparse_diverse,16,11,5,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.11071059852838516,0.6777777777777777,0.13309575617313385,0.800226353236636,0.800226353236636,0.0,0.8,0.8181818181818182,0.8181818181818182,81,1.0,7.300408840179443,0.3700566291809082,0.9,0.8,0.8,0.0,0.9651393867570338,2.047638353000366,2.047638353000366,2.047638353000366,0.20476383530003658,512,250.04415415924205,8,1.0,1.0,1.0,64.0,64.0,0.24574003900033858,0.24574003900033858,1.0,1.0,1.0,64.0,64.0,0.24574003900033858,0.24574003900033858,1.0,1.0,1.0,64.0,64.0,0.24574003900033858,0.24574003900033858,1.0,1.0,1.0,64.0,64.0,0.24574003900033858,0.24574003900033858,0.6777777777777777
proposed_dp_eps16_sparse_diverse,16,11,6,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.15201117098331451,0.6611111111111112,0.1250022053718567,1.0393619600141653,1.0393619600141653,0.0,0.9200000000000002,0.9090909090909091,0.9090909090909091,81,1.0,17.738210678100586,4.279857158660889,1.0,1.0,1.0,1.0,0.961961741961742,2.0383662499998536,2.0383662499998536,2.0383662499998536,0.20383662499998537,512,251.18155287355094,8,1.0,1.0,1.0,64.0,64.0,0.25075956499949825,0.25075956499949825,1.0,1.0,1.0,64.0,64.0,0.25075956499949825,0.25075956499949825,1.0,1.0,1.0,64.0,64.0,0.25075956499949825,0.25075956499949825,1.0,1.0,1.0,64.0,64.0,0.25075956499949825,0.25075956499949825,0.6611111111111112
proposed_dp_eps16_sparse_diverse,16,11,7,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08960580825805664,0.6944444444444445,0.08600755780935287,0.7647418845845549,0.7647418845845549,0.0,0.9400000000000001,0.9090909090909091,0.9090909090909091,81,1.0,10.265626907348633,0.9223904609680176,1.0,1.0,1.0,1.0,0.9405268805268806,2.069324303999565,2.069324303999565,2.069324303999565,0.2069324303999565,512,247.42376002176778,8,1.0,1.0,1.0,64.0,64.0,0.2486701850002646,0.2486701850002646,1.0,1.0,1.0,64.0,64.0,0.2486701850002646,0.2486701850002646,1.0,1.0,1.0,64.0,64.0,0.2486701850002646,0.2486701850002646,1.0,1.0,1.0,64.0,64.0,0.2486701850002646,0.2486701850002646,0.6944444444444445
proposed_dp_eps8_sparse_diverse,8,11,0,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.06405846029520035,0.8055555555555556,0.0895938128232956,0.7713610190673584,0.7713610190673584,0.2,0.06000000000000001,0.9393939393939394,0.9393939393939394,81,1.0,8.006406784057617,1.2832369804382324,1.0,1.0,1.0,1.0,0.8604996854996856,2.0487788030004594,2.0487788030004594,2.0487788030004594,0.20487788030004594,512,249.9049674128658,8,1.0,1.0,1.0,64.0,64.0,0.24833008499990683,0.24833008499990683,1.0,1.0,1.0,64.0,64.0,0.24833008499990683,0.24833008499990683,1.0,1.0,1.0,64.0,64.0,0.24833008499990683,0.24833008499990683,1.0,1.0,1.0,64.0,64.0,0.24833008499990683,0.24833008499990683,0.8055555555555556
proposed_dp_eps8_sparse_diverse,8,11,1,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08886419981718063,0.8111111111111111,0.05947469174861908,0.899256125078965,0.899256125078965,0.0,0.08,0.9393939393939394,0.9393939393939394,81,1.0,11.252374649047852,0.6443476676940918,1.0,1.0,1.0,1.0,0.920401912901913,2.0601621790001445,2.0601621790001445,2.0601621790001445,0.20601621790001445,512,248.5241235952056,8,1.0,1.0,1.0,64.0,64.0,0.24182686999938596,0.24182686999938596,1.0,1.0,1.0,64.0,64.0,0.24182686999938596,0.24182686999938596,1.0,2.0,2.0,128.0,128.0,0.4962274379995506,0.4962274379995506,1.0,2.0,2.0,128.0,128.0,0.4962274379995506,0.4962274379995506,0.8111111111111111
