method,method_label,candidate_budget,direction,n_factuals,valid_cfe_yield_at_k_mean,valid_cfe_yield_at_k_std,valid_cfe_yield_at_k_median,valid_cfe_yield_at_k_q25,valid_cfe_yield_at_k_q75,coverage_at_1_mean,coverage_at_1_std,coverage_at_1_median,coverage_at_1_q25,coverage_at_1_q75,full_k_success_mean,full_k_success_std,full_k_success_median,full_k_success_q25,full_k_success_q75,robust_completeness_at_k_mean,robust_completeness_at_k_std,robust_completeness_at_k_median,robust_completeness_at_k_q25,robust_completeness_at_k_q75,robust_full_k_success_mean,robust_full_k_success_std,robust_full_k_success_median,robust_full_k_success_q25,robust_full_k_success_q75,proximity_mean,proximity_std,proximity_median,proximity_q25,proximity_q75,sparsity_mean,sparsity_std,sparsity_median,sparsity_q25,sparsity_q75,group_sparsity_mean,group_sparsity_std,group_sparsity_median,group_sparsity_q25,group_sparsity_q75,diversity_mean,diversity_std,diversity_median,diversity_q25,diversity_q75,plausibility_mean,plausibility_std,plausibility_median,plausibility_q25,plausibility_q75,plausibility_distance_mean,plausibility_distance_std,plausibility_distance_median,plausibility_distance_q25,plausibility_distance_q75,plausibility_inlier_rate_mean,plausibility_inlier_rate_std,plausibility_inlier_rate_median,plausibility_inlier_rate_q25,plausibility_inlier_rate_q75,target_data_support_mean,target_data_support_std,target_data_support_median,target_data_support_q25,target_data_support_q75,local_surrogate_fidelity_mean,local_surrogate_fidelity_std,local_surrogate_fidelity_median,local_surrogate_fidelity_q25,local_surrogate_fidelity_q75,fidelity_mean,fidelity_std,fidelity_median,fidelity_q25,fidelity_q75,changed_set_dice_mean,changed_set_dice_std,changed_set_dice_median,changed_set_dice_q25,changed_set_dice_q75,constraint_validity_mean,constraint_validity_std,constraint_validity_median,constraint_validity_q25,constraint_validity_q75,mean_target_logit_margin_mean,mean_target_logit_margin_std,mean_target_logit_margin_median,mean_target_logit_margin_q25,mean_target_logit_margin_q75,generation_time_to_k_or_cap_seconds_mean,generation_time_to_k_or_cap_seconds_std,generation_time_to_k_or_cap_seconds_median,generation_time_to_k_or_cap_seconds_q25,generation_time_to_k_or_cap_seconds_q75,candidate_evaluations_mean,candidate_evaluations_std,candidate_evaluations_median,candidate_evaluations_q25,candidate_evaluations_q75,rounds_used_mean,rounds_used_std,rounds_used_median,rounds_used_q25,rounds_used_q75
countergan_one_shot,CounterGAN one-shot,64,disease_to_no_disease,100.0,0.805,0.2536102951738786,1.0,0.6,1.0,1.0,0.0,1.0,1.0,1.0,0.52,0.502116731568678,1.0,0.0,1.0,0.7310000000000002,0.28344739237189015,0.8,0.5,1.0,0.38,0.4878317312145633,0.0,0.0,1.0,0.10048964254558086,0.031329530611723964,0.09752916544675827,0.07218747772276402,0.1260765939950943,0.16801322751322753,0.0665866250460726,0.16666666666666669,0.11111111111111113,0.2222222222222222,0.16801322751322753,0.0665866250460726,0.16666666666666669,0.11111111111111113,0.2222222222222222,0.031113794315606357,0.0068174651515305815,0.030154799111187458,0.026478541549295187,0.03633431810885668,0.43888146965508945,0.09088547261111066,0.4247767383348197,0.3699386831538858,0.4746572517678686,0.43888146965508945,0.09088547261111066,0.4247767383348197,0.3699386831538858,0.4746572517678686,0.2711031746031746,0.3639715984585219,0.0,0.0,0.5714285714285714,0.17342777777777776,0.292818170034038,0.0,0.0,0.29,0.8603805785529923,0.06913348660804815,0.8653198653198653,0.8076923076923077,0.9090909090909091,0.8603805785529923,0.06913348660804815,0.8653198653198653,0.8076923076923077,0.9090909090909091,0.96719205762407,0.01589837839979981,0.9690028444080689,0.957877989170545,0.9802094429349479,1.0,0.0,1.0,1.0,1.0,5.011235238313675,2.6874324623679104,4.674353361129761,3.3128106594085693,6.342413902282715,0.04565186005987016,0.0034347072141369594,0.045492002500395756,0.04408184425028594,0.04648881824982709,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,64,no_disease_to_disease,100.0,0.975,0.07436600722307887,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.88,0.32659863237109066,1.0,1.0,1.0,0.973,0.07501514998500448,1.0,1.0,1.0,0.86,0.34873508801977704,1.0,1.0,1.0,0.11762344293296337,0.020230663491144003,0.1169312410056591,0.10300253517925739,0.1334485560655594,0.1636611552028219,0.058855700792964614,0.15555555555555556,0.12118055555555557,0.2125,0.1636611552028219,0.058855700792964614,0.15555555555555556,0.12118055555555557,0.2125,0.038090627137571574,0.006660111994776281,0.03884386830031872,0.03259968012571335,0.0419205641373992,0.44589346245218964,0.0714683420645317,0.45114842071404865,0.3911829111074589,0.4902838670514524,0.44589346245218964,0.0714683420645317,0.45114842071404865,0.3911829111074589,0.4902838670514524,0.04,0.10917505172516265,0.0,0.0,0.0,0.9972,0.009436657514740305,1.0,1.0,1.0,0.8604676830194069,0.07098479214933162,0.8575757575757577,0.8181818181818182,0.9090909090909091,0.8604676830194069,0.07098479214933162,0.8575757575757577,0.8181818181818182,0.9090909090909091,0.9721443327632647,0.011962061760783179,0.9744547855943229,0.9644001834937257,0.9805843822077636,1.0,0.0,1.0,1.0,1.0,7.941422536373138,2.4804480967103237,8.486200332641602,6.690468788146973,9.754504442214966,0.04516679892001776,0.0032839721326544604,0.04453229350019683,0.04329834999907689,0.04594498300048144,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,128,disease_to_no_disease,100.0,0.8640000000000001,0.2285306601448974,1.0,0.7,1.0,1.0,0.0,1.0,1.0,1.0,0.66,0.4760952285695237,1.0,0.0,1.0,0.7940000000000002,0.2631664219777396,0.9,0.6,1.0,0.49,0.502418393795691,0.0,0.0,1.0,0.09842472203075886,0.03140251565556713,0.0943242609500885,0.06865453906357288,0.12297815084457397,0.19096626984126988,0.08101979731982781,0.18968253968253967,0.12777777777777782,0.24722222222222218,0.19096626984126988,0.08101979731982781,0.18968253968253967,0.12777777777777782,0.24722222222222218,0.03181725205853581,0.00706030729441502,0.030615653842687607,0.02746775234118104,0.036903697066009045,0.43837087556386345,0.08924418095019514,0.42772322464812906,0.37727528413715716,0.4768288701840383,0.43837087556386345,0.08924418095019514,0.42772322464812906,0.37727528413715716,0.4768288701840383,0.2651984126984127,0.3612362882903199,0.0,0.0,0.4464285714285714,0.16854126984126985,0.29874551413955447,0.0,0.0,0.2525,0.8702933937071866,0.07521000775079566,0.8787878787878788,0.8391608391608392,0.9272030651340997,0.8702933937071866,0.07521000775079566,0.8787878787878788,0.8391608391608392,0.9272030651340997,0.9645245726848762,0.017818199750315317,0.9671590378231438,0.9532172745344446,0.9763890790098525,1.0,0.0,1.0,1.0,1.0,4.84052410364151,2.5991590185542615,4.386471271514893,3.116439700126648,5.963627338409424,0.04701201471001695,0.002652538803593891,0.04669036050017894,0.044890159249916906,0.04844208250028714,128.0,0.0,128.0,128.0,128.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,128,no_disease_to_disease,100.0,0.9880000000000001,0.051796025743567224,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.93,0.25643239997624295,1.0,1.0,1.0,0.9839999999999999,0.05635386034476761,1.0,1.0,1.0,0.9,0.30151134457776346,1.0,1.0,1.0,0.11558263041079045,0.020086609351260484,0.11430785432457924,0.10052982158958912,0.13265125080943108,0.18535802469135804,0.06650817831396952,0.16666666666666666,0.1388888888888889,0.23472222222222222,0.18535802469135804,0.06650817831396952,0.16666666666666666,0.1388888888888889,0.23472222222222222,0.038528767209500075,0.007325109600874332,0.037753673270344734,0.03270917385816574,0.04173726588487625,0.4427613505253505,0.07123452933081717,0.44984993168541565,0.3919101397709128,0.4905422286381711,0.4427613505253505,0.07123452933081717,0.44984993168541565,0.3919101397709128,0.4905422286381711,0.04,0.10824588545146527,0.0,0.0,0.0,0.9986000000000002,0.008647998542314768,1.0,1.0,1.0,0.8635394975394973,0.0628966458997367,0.8787878787878788,0.8391608391608392,0.9090909090909091,0.8635394975394973,0.0628966458997367,0.8787878787878788,0.8391608391608392,0.9090909090909091,0.9693895960189274,0.01362010588595954,0.97265315361214,0.9627080987294594,0.9791414830486456,1.0,0.0,1.0,1.0,1.0,7.771611685752869,2.3821291362695476,8.246898651123047,6.398118019104004,9.439819097518921,0.0462771031300872,0.003687884325975554,0.045732580000731105,0.04472817225087056,0.04703951524970762,128.0,0.0,128.0,128.0,128.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,256,disease_to_no_disease,100.0,0.925,0.17254775360093016,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.78,0.41633319989322637,1.0,1.0,1.0,0.84,0.2265240192852212,1.0,0.7,1.0,0.54,0.5009082659620332,1.0,0.0,1.0,0.09697743657976389,0.0317559445004566,0.09161479771137238,0.06784485280513763,0.12119756639003754,0.20617746913580248,0.08558314702122143,0.1972222222222222,0.14444444444444446,0.2680555555555556,0.20617746913580248,0.08558314702122143,0.1972222222222222,0.14444444444444446,0.2680555555555556,0.03144458882510662,0.006570972921769905,0.02964100893586874,0.026997865177690983,0.03792049456387758,0.43817990970544485,0.08851971086267704,0.4293808149814061,0.3736851904722816,0.4752678786578818,0.43817990970544485,0.08851971086267704,0.4293808149814061,0.3736851904722816,0.4752678786578818,0.27501190476190474,0.3549112778348083,0.05,0.0,0.5,0.1665753968253968,0.29443146046745755,0.0,0.0,0.25999999999999995,0.869118148773321,0.07132037316593072,0.8787878787878788,0.8252351097178683,0.9090909090909091,0.869118148773321,0.07132037316593072,0.8787878787878788,0.8252351097178683,0.9090909090909091,0.9611005301756965,0.020589054359297643,0.9644047810568297,0.9499626362296879,0.9758394717561408,1.0,0.0,1.0,1.0,1.0,4.7873584282398225,2.6112540783676272,4.710332155227661,2.9239836931228638,5.763879656791687,0.04960558037996634,0.003790533916920273,0.049555495000277006,0.04640749774989672,0.05218015099990225,256.0,0.0,256.0,256.0,256.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,256,no_disease_to_disease,100.0,0.998,0.014070529413628984,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.98,0.14070529413628952,1.0,1.0,1.0,0.9930000000000001,0.032582451743479325,1.0,1.0,1.0,0.95,0.2190429135575903,1.0,1.0,1.0,0.1130067066848278,0.01977682827917693,0.11213480308651924,0.09855515509843826,0.12799536064267159,0.20814814814814817,0.06958881917632323,0.19290123456790123,0.15555555555555553,0.2569444444444444,0.20814814814814817,0.06958881917632323,0.19290123456790123,0.15555555555555553,0.2569444444444444,0.037016552295535805,0.0064954939582877,0.036525724455714226,0.03192553482949734,0.040808675810694695,0.4414851851040576,0.07325509693432598,0.44633799283476544,0.39060891063798897,0.49365373241425636,0.4414851851040576,0.07325509693432598,0.44633799283476544,0.39060891063798897,0.49365373241425636,0.034,0.09869860253019873,0.0,0.0,0.0,0.998,0.008761716542303604,1.0,1.0,1.0,0.8649696969696968,0.06725168365732473,0.8787878787878788,0.8181818181818182,0.9090909090909091,0.8649696969696968,0.06725168365732473,0.8787878787878788,0.8181818181818182,0.9090909090909091,0.9670451461009917,0.014935479932234225,0.9700804010136641,0.9606732907510855,0.9780210620581977,1.0,0.0,1.0,1.0,1.0,7.607991302013398,2.3866526626345954,7.906039476394653,5.729058861732483,9.565868377685547,0.0479024131699407,0.002698997864314484,0.047497066999312665,0.045966292000684916,0.04930452474945923,256.0,0.0,256.0,256.0,256.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,512,disease_to_no_disease,100.0,0.9440000000000001,0.1513040954268235,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.84,0.3684529491774709,1.0,1.0,1.0,0.8529999999999999,0.22403778541337457,1.0,0.775,1.0,0.58,0.49604496374885837,1.0,0.0,1.0,0.09468705229461193,0.03236703936133578,0.09081767126917839,0.06550290994346142,0.12070205993950367,0.22496141975308642,0.09053358849924932,0.21666666666666667,0.15555555555555559,0.2888888888888889,0.22496141975308642,0.09053358849924932,0.21666666666666667,0.15555555555555559,0.2888888888888889,0.03150705479085445,0.006325284013956149,0.030388968996703625,0.027162783779203892,0.035828955471515656,0.43832037503240245,0.08976533752081887,0.4331246461699292,0.3721681573680907,0.47791759122774236,0.43832037503240245,0.08976533752081887,0.4331246461699292,0.3721681573680907,0.47791759122774236,0.26186507936507936,0.36267092121601524,0.0,0.0,0.4,0.16419999999999998,0.29291009411135543,0.0,0.0,0.21000000000000002,0.8638745367021227,0.07746743783280427,0.8787878787878788,0.8181818181818182,0.9090909090909091,0.8638745367021227,0.07746743783280427,0.8787878787878788,0.8181818181818182,0.9090909090909091,0.9608545856209716,0.019318110457174235,0.9621496321898927,0.9509454010420558,0.9746696374774882,1.0,0.0,1.0,1.0,1.0,4.667041590213776,2.5986230979009526,4.364953279495239,2.983463764190674,5.711250901222229,0.054418557409944696,0.0052942210812415656,0.05320329450023564,0.05029228599960334,0.057270995499948185,512.0,0.0,512.0,512.0,512.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,512,no_disease_to_disease,100.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.986,0.05508487482370669,1.0,1.0,1.0,0.92,0.2726599243442909,1.0,1.0,1.0,0.11060375533998013,0.019783626173414278,0.11103078722953796,0.09656156599521637,0.1253908835351467,0.22894444444444445,0.06982910302217413,0.21111111111111108,0.1819444444444444,0.2833333333333333,0.22894444444444445,0.06982910302217413,0.21111111111111108,0.1819444444444444,0.2833333333333333,0.036973390635102986,0.006202386608612296,0.036897026002407074,0.0315822996199131,0.04145109932869673,0.4384894698141849,0.07393833781622336,0.4445986683534827,0.38197393651307726,0.4975516727778112,0.4384894698141849,0.07393833781622336,0.4445986683534827,0.38197393651307726,0.4975516727778112,0.040999999999999995,0.11379140937911286,0.0,0.0,0.0,0.9966000000000002,0.01065719276243783,1.0,1.0,1.0,0.8654545454545454,0.0706834540121081,0.8787878787878788,0.8181818181818182,0.9090909090909091,0.8654545454545454,0.0706834540121081,0.8787878787878788,0.8181818181818182,0.9090909090909091,0.9638846265083716,0.0157910371047218,0.9681865808491401,0.9572184883643864,0.9749880494755007,1.0,0.0,1.0,1.0,1.0,7.462096606492996,2.3496169344676305,7.891992568969727,5.994597673416138,9.281076431274414,0.051458789509943016,0.003467121666644832,0.05077751350017934,0.049278762499852746,0.052650015499693836,512.0,0.0,512.0,512.0,512.0,1.0,0.0,1.0,1.0,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,disease_to_no_disease,100.0,0.5680000000000001,0.3997170716566122,0.5,0.2,1.0,0.88,0.3265986323710906,1.0,1.0,1.0,0.38,0.4878317312145633,0.0,0.0,1.0,0.45600000000000007,0.37533015769150124,0.4,0.1,0.8,0.14,0.3487350880197771,0.0,0.0,0.0,0.06983735649423166,0.030262360920107232,0.06781132146716118,0.044755750335752964,0.0877084732055664,0.6474203843995511,0.13327361819700417,0.6462962962962964,0.5750000000000001,0.7444444444444445,0.6474203843995511,0.13327361819700417,0.6462962962962964,0.5750000000000001,0.7444444444444445,0.03190682239999825,0.01393571939227624,0.03680207394063473,0.02955341711640358,0.039833979681134224,0.4722846548322331,0.09049743201389636,0.4656561908332544,0.417330568417677,0.516493422110083,0.4722846548322331,0.09049743201389636,0.4656561908332544,0.417330568417677,0.516493422110083,0.2115981240981241,0.2712700412215929,0.0,0.0,0.4,0.11448863636363636,0.20961850888628394,0.0,0.0,0.1,0.8340743765116806,0.08633979106699459,0.8461538461538461,0.7777777777777778,0.8916666666666666,0.8340743765116806,0.08633979106699459,0.8461538461538461,0.7777777777777778,0.8916666666666666,0.9533201367038532,0.02997670876137983,0.9640970140970141,0.945319133991009,0.9732957207427505,1.0,0.0,1.0,1.0,1.0,3.128152160481973,2.1942392184197352,2.5870444774627686,1.624354749917984,4.218478679656982,0.23177993891002188,0.030901149122056343,0.24158352599988575,0.23319802399964829,0.2477557522497591,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,no_disease_to_disease,100.0,0.9680000000000001,0.09731755787475911,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.84,0.368452949177471,1.0,1.0,1.0,0.763,0.14609738000540748,0.8,0.7,0.9,0.05,0.21904291355759084,0.0,0.0,0.0,0.08428494755178689,0.019333904858228262,0.08594506978988647,0.06778701953589916,0.09660165384411812,0.5937993827160494,0.08320349741547267,0.5944444444444444,0.5333333333333334,0.6666666666666666,0.5937993827160494,0.08320349741547267,0.5944444444444444,0.5333333333333334,0.6666666666666666,0.04369129680097103,0.007389017312436994,0.04377106390893459,0.03824879880994558,0.048154971562325954,0.48815096028321564,0.07550022706876344,0.48902252566826926,0.42300532769151544,0.5432204901411417,0.48815096028321564,0.07550022706876344,0.48902252566826926,0.42300532769151544,0.5432204901411417,0.021333333333333333,0.09190559956729737,0.0,0.0,0.0,0.9776166666666667,0.046192091143398416,1.0,0.9800000000000001,1.0,0.8288168421616695,0.0780741785475891,0.8397435897435898,0.7878787878787878,0.8787878787878788,0.8288168421616695,0.0780741785475891,0.8397435897435898,0.7878787878787878,0.8787878787878788,0.9624966590208317,0.016741050437276864,0.9662110029120157,0.9550467696970213,0.9745720871083681,1.0,0.0,1.0,1.0,1.0,3.6672415107488634,1.3158795818878473,3.6213934421539307,2.7348285913467407,4.5201274156570435,0.24573761268011368,0.012097152031020856,0.24425112349945266,0.2398552575004942,0.24963911675058625,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
