method_label,direction,n_factuals,valid_cfe_yield_at_k_mean,full_k_success_mean,robust_completeness_at_k_mean,proximity_mean,sparsity_mean,diversity_mean,plausibility_distance_mean,plausibility_inlier_rate_mean,target_data_support_mean,local_surrogate_fidelity_mean,changed_set_dice_mean,generation_time_to_k_or_cap_seconds_mean
Budget-matched genetic CFE,disease_to_no_disease,100.0,1.0,1.0,0.9060000000000002,0.07250223953276873,0.42583333333333334,0.07902999360114336,0.6344468893307407,0.032,0.028000000000000004,0.8733333333333332,0.9225033921026532,0.4118345379699804
CounterGAN + iterative black-box search,disease_to_no_disease,100.0,1.0,1.0,0.9290000000000002,0.10396807871758938,0.1762222222222222,0.04864640448242426,0.4674836781321091,0.24600000000000005,0.16539999999999996,0.8615151515151515,0.9664491030082475,0.06480872668996199
CounterGAN non-DP + identical counted sparse-diverse search,disease_to_no_disease,100.0,1.0,1.0,0.8240000000000001,0.06454656515270471,0.7979999999999999,0.062409123852849004,0.6188171091007514,0.063,0.0818,0.8603030303030303,0.9153579614047522,1.9928614254098465
CounterGAN one-shot,disease_to_no_disease,100.0,0.9440000000000001,0.84,0.8529999999999999,0.09468705229461193,0.22496141975308642,0.03150705479085445,0.43832037503240245,0.26186507936507936,0.16419999999999998,0.8638745367021227,0.9608545856209716,0.054418557409944696
Custom DiCE-style gradient,disease_to_no_disease,100.0,0.10399999999999998,0.0,0.10299999999999997,0.07607611384242773,0.04166666666666666,0.0013790101557970046,0.5371280239201323,0.1,0.015,0.9257692307692308,0.9955991651917871,0.11040700701004426
Custom Wachter-style gradient,disease_to_no_disease,100.0,0.103,0.0,0.102,0.07624255850911141,0.03666666666666667,0.0008548116497695446,0.5364370796273333,0.1,0.015,0.9238461538461539,0.9972097643568754,0.10112936934000573
DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,disease_to_no_disease,100.0,1.0,1.0,0.8330000000000001,0.07235916407778858,0.7760555555555554,0.0677338950522244,0.6704126736669579,0.081,0.1548,0.8672727272727272,0.9221746599463078,2.01213136291999
Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,disease_to_no_disease,100.0,1.0,1.0,0.8150000000000003,0.0707363674044609,0.7689444444444447,0.07340054217725993,0.6610784703435375,0.066,0.1206,0.8584848484848483,0.9244891211554755,2.0083559118399443
Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,disease_to_no_disease,100.0,1.0,1.0,0.8640000000000002,0.07885471224784851,0.7644444444444445,0.07605028262361885,0.6907303761209593,0.064,0.19879999999999998,0.8618181818181817,0.9257694337200991,2.02504488139999
Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,disease_to_no_disease,100.0,1.0,1.0,0.8160000000000001,0.06821896417066454,0.7662777777777778,0.07087001916021109,0.6615979253818939,0.055999999999999994,0.10679999999999999,0.8596969696969695,0.9241539317238618,2.008085041250033
