method_label,candidate_budget,valid_cfe_yield_at_k,full_k_success,robust_completeness_at_k,proximity,sparsity,diversity,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,changed_set_dice,generation_time_to_k_or_cap_seconds
Budget-matched genetic CFE,512,1.0,1.0,0.901,0.07450069885700941,0.41480555555555554,0.08063063500449061,0.630582445263399,0.021,0.3973,0.8737878787878788,0.9237901149990866,0.40883595293002145
CounterGAN + iterative black-box search,512,1.0,1.0,0.9610000000000001,0.11101841099560261,0.17125,0.04464924201369286,0.4583411589316345,0.1395,0.5811,0.8643939393939395,0.9688576058433889,0.05787085511500209
CounterGAN non-DP + identical counted sparse-diverse search,512,1.0,1.0,0.8160000000000001,0.07039686940610408,0.7735277777777778,0.06894610695540905,0.6262278081124701,0.0385,0.5137,0.8471212121212122,0.9199783716080605,2.008068377634936
CounterGAN one-shot,512,0.972,0.9199999999999999,0.9195,0.10264540381729603,0.22695293209876544,0.03424022271297872,0.43840492242329365,0.15143253968253967,0.5804,0.8646645410783342,0.9623696060646716,0.05293867345994385
Custom DiCE-style gradient,512,0.10200000000000001,0.0,0.1015,0.07250816807150841,0.04777777777777779,0.0006895050778985023,0.5308030794103742,0.055,0.3255,0.9253846153846155,0.9942997344848941,0.10988775218001137
Custom Wachter-style gradient,512,0.1015,0.0,0.101,0.07281908184289933,0.04277777777777778,0.0004274058248847723,0.5309605361001397,0.055,0.3235,0.9253846153846155,0.9951506644628096,0.10095044830999542
DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,512,1.0,1.0,0.7845,0.06984717262908816,0.7684166666666666,0.07087532400153576,0.634886485630901,0.051000000000000004,0.5098,0.8512121212121213,0.9199589922870182,2.020698108750066
Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,512,1.0,1.0,0.7725,0.06781073439866304,0.7676666666666667,0.07296099245548249,0.6328865688016,0.04,0.4958000000000001,0.8472727272727272,0.9188851813239507,2.0136966084099592
Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,512,1.0,1.0,0.8155000000000001,0.06941451774910093,0.7645277777777778,0.07430436213500799,0.62904208757821,0.043000000000000003,0.5206,0.8431818181818183,0.9213743427140717,2.0377936850999774
Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,512,1.0,1.0,0.7585,0.06260832880623639,0.7784444444444445,0.06664830459281802,0.6078596915513699,0.044000000000000004,0.4872,0.843939393939394,0.9149733761595797,2.0117120025300754
Uniform constrained random,512,1.0,1.0,0.836,0.09320805575698615,0.21077777777777779,0.12053289875388146,0.6668779074511504,0.017,0.3957,0.8336363636363637,0.9618960566464749,0.36527450268000394
