method,candidate_budget,direction,n_query_seed_runs,mean_valid_cfe_yield_at_k,mean_full_k_success,mean_robust_yield_at_k,mean_rounds_to_k10_or_cap,median_rounds_to_k10_or_cap,mean_candidates_to_k10_or_cap,mean_time_to_k10_or_cap_seconds
countergan_one_shot,64,disease_to_no_disease,100,0.805,0.52,0.731,1.0,1.0,64.0,0.04562209118993451
countergan_one_shot,64,no_disease_to_disease,100,0.975,0.88,0.973,1.0,1.0,64.0,0.0451370498999313
countergan_one_shot,128,disease_to_no_disease,100,0.8640000000000001,0.66,0.794,1.0,1.0,128.0,0.046978520429984204
countergan_one_shot,128,no_disease_to_disease,100,0.988,0.93,0.9840000000000001,1.0,1.0,128.0,0.04624302526013707
countergan_one_shot,256,disease_to_no_disease,100,0.925,0.78,0.84,1.0,1.0,256.0,0.04957538697998643
countergan_one_shot,256,no_disease_to_disease,100,0.998,0.98,0.993,1.0,1.0,256.0,0.047871537889950556
countergan_one_shot,512,disease_to_no_disease,100,0.9440000000000001,0.84,0.853,1.0,1.0,512.0,0.05437952401000075
countergan_one_shot,512,no_disease_to_disease,100,1.0,1.0,0.986,1.0,1.0,512.0,0.051421627379895654
countergan_sparse_diverse_no_dp,64,disease_to_no_disease,100,0.568,0.38,0.456,1.0,1.0,64.0,0.23174160297004165
countergan_sparse_diverse_no_dp,64,no_disease_to_disease,100,0.968,0.84,0.763,1.0,1.0,64.0,0.24570052371005657
countergan_sparse_diverse_no_dp,128,disease_to_no_disease,100,0.9890000000000001,0.95,0.8190000000000001,1.6,2.0,102.4,0.37789163366004686
countergan_sparse_diverse_no_dp,128,no_disease_to_disease,100,1.0,1.0,0.733,1.14,1.0,72.96,0.27895020762996864
countergan_sparse_diverse_no_dp,256,disease_to_no_disease,100,1.0,1.0,0.8079999999999999,1.64,2.0,104.96,0.3892131304899249
countergan_sparse_diverse_no_dp,256,no_disease_to_disease,100,1.0,1.0,0.762,1.19,1.0,76.16,0.29160017486996365
countergan_sparse_diverse_no_dp,512,disease_to_no_disease,100,1.0,1.0,0.8240000000000001,1.65,2.0,105.6,0.38804973864991554
countergan_sparse_diverse_no_dp,512,no_disease_to_disease,100,1.0,1.0,0.8079999999999999,1.13,1.0,72.32,0.2769385009699181
dice_gradient_style,64,disease_to_no_disease,100,0.03,0.0,0.015,1.0,1.0,64.0,0.05035570695001297
dice_gradient_style,64,no_disease_to_disease,100,0.031,0.0,0.007000000000000001,1.0,1.0,64.0,0.05039886246995593
dice_gradient_style,128,disease_to_no_disease,100,0.062,0.0,0.047,1.0,1.0,128.0,0.058735134980033764
dice_gradient_style,128,no_disease_to_disease,100,0.09,0.0,0.062,1.0,1.0,128.0,0.059741111220018864
dice_gradient_style,256,disease_to_no_disease,100,0.10300000000000001,0.0,0.10200000000000001,1.0,1.0,256.0,0.07726250462994358
dice_gradient_style,256,no_disease_to_disease,100,0.1,0.0,0.1,1.0,1.0,256.0,0.07633411901002546
dice_gradient_style,512,disease_to_no_disease,100,0.10400000000000001,0.0,0.10300000000000001,1.0,1.0,512.0,0.11040700701004426
dice_gradient_style,512,no_disease_to_disease,100,0.1,0.0,0.1,1.0,1.0,512.0,0.1093684973499785
genetic_cfe,64,disease_to_no_disease,100,0.861,0.69,0.754,1.0,1.0,64.0,0.04424766527995416
genetic_cfe,64,no_disease_to_disease,100,0.929,0.82,0.75,1.0,1.0,64.0,0.04428551519999928
genetic_cfe,128,disease_to_no_disease,100,0.99,0.99,0.8490000000000001,1.27,1.0,81.28,0.05613613565995365
genetic_cfe,128,no_disease_to_disease,100,0.997,0.99,0.802,1.19,1.0,76.16,0.05226073985001676
genetic_cfe,256,disease_to_no_disease,100,1.0,1.0,0.9010000000000001,1.3,1.0,83.2,0.057131943919985134
genetic_cfe,256,no_disease_to_disease,100,1.0,1.0,0.8640000000000001,1.2,1.0,76.8,0.052229875170032754
genetic_cfe,512,disease_to_no_disease,100,1.0,1.0,0.9059999999999999,1.3,1.0,83.2,0.05735807166000086
genetic_cfe,512,no_disease_to_disease,100,1.0,1.0,0.8960000000000001,1.26,1.0,80.64,0.05595568196005843
proposed_countergan,64,disease_to_no_disease,100,0.805,0.52,0.731,1.0,1.0,64.0,0.04578103011999701
proposed_countergan,64,no_disease_to_disease,100,0.975,0.88,0.973,1.0,1.0,64.0,0.045179540469980566
proposed_countergan,128,disease_to_no_disease,100,1.0,1.0,0.9209999999999999,1.48,1.0,94.72,0.06704880389979735
proposed_countergan,128,no_disease_to_disease,100,1.0,1.0,0.9940000000000001,1.14,1.0,72.96,0.05120802530998844
proposed_countergan,256,disease_to_no_disease,100,1.0,1.0,0.924,1.45,1.0,92.8,0.06517107700004089
proposed_countergan,256,no_disease_to_disease,100,1.0,1.0,0.996,1.16,1.0,74.24,0.05221135341993431
proposed_countergan,512,disease_to_no_disease,100,1.0,1.0,0.929,1.44,1.0,92.16,0.06477774136996231
proposed_countergan,512,no_disease_to_disease,100,1.0,1.0,0.993,1.13,1.0,72.32,0.050903338200041615
proposed_dp_eps16_sparse_diverse,64,disease_to_no_disease,100,0.757,0.57,0.64,1.0,1.0,64.0,0.23244750914000178
proposed_dp_eps16_sparse_diverse,64,no_disease_to_disease,100,0.9309999999999999,0.84,0.6729999999999999,1.0,1.0,64.0,0.24478749144993345
proposed_dp_eps16_sparse_diverse,128,disease_to_no_disease,100,0.997,0.99,0.831,1.43,1.0,91.52,0.34091280540003027
proposed_dp_eps16_sparse_diverse,128,no_disease_to_disease,100,1.0,1.0,0.721,1.13,1.0,72.32,0.27720364777003853
proposed_dp_eps16_sparse_diverse,256,disease_to_no_disease,100,1.0,1.0,0.836,1.38,1.0,88.32,0.32542605470002856
proposed_dp_eps16_sparse_diverse,256,no_disease_to_disease,100,1.0,1.0,0.746,1.12,1.0,71.68,0.27241886659992814
proposed_dp_eps16_sparse_diverse,512,disease_to_no_disease,100,1.0,1.0,0.815,1.42,1.0,90.88,0.3336090975299521
proposed_dp_eps16_sparse_diverse,512,no_disease_to_disease,100,1.0,1.0,0.73,1.14,1.0,72.96,0.28048301592993086
proposed_dp_eps2_sparse_diverse,64,disease_to_no_disease,100,0.988,0.97,0.88,1.0,1.0,64.0,0.23735910889008666
proposed_dp_eps2_sparse_diverse,64,no_disease_to_disease,100,0.978,0.95,0.762,1.0,1.0,64.0,0.24714361795000514
proposed_dp_eps2_sparse_diverse,128,disease_to_no_disease,100,1.0,1.0,0.907,1.02,1.0,65.28,0.24822865984002418
proposed_dp_eps2_sparse_diverse,128,no_disease_to_disease,100,1.0,1.0,0.759,1.04,1.0,66.56,0.2552547312999559
proposed_dp_eps2_sparse_diverse,256,disease_to_no_disease,100,1.0,1.0,0.897,1.04,1.0,66.56,0.2517142564801725
proposed_dp_eps2_sparse_diverse,256,no_disease_to_disease,100,1.0,1.0,0.76,1.04,1.0,66.56,0.2554512436700315
proposed_dp_eps2_sparse_diverse,512,disease_to_no_disease,100,1.0,1.0,0.8640000000000001,1.03,1.0,65.92,0.24786632814997575
proposed_dp_eps2_sparse_diverse,512,no_disease_to_disease,100,1.0,1.0,0.767,1.05,1.0,67.2,0.25846298890995967
proposed_dp_eps4_sparse_diverse,64,disease_to_no_disease,100,0.945,0.81,0.774,1.0,1.0,64.0,0.23746020016999864
proposed_dp_eps4_sparse_diverse,64,no_disease_to_disease,100,0.9670000000000001,0.95,0.7490000000000001,1.0,1.0,64.0,0.24406508678996033
proposed_dp_eps4_sparse_diverse,128,disease_to_no_disease,100,1.0,1.0,0.794,1.17,1.0,74.88,0.27917114944996685
proposed_dp_eps4_sparse_diverse,128,no_disease_to_disease,100,1.0,1.0,0.733,1.07,1.0,68.48,0.26194463141995583
proposed_dp_eps4_sparse_diverse,256,disease_to_no_disease,100,1.0,1.0,0.8140000000000001,1.15,1.0,73.6,0.27382517586012
proposed_dp_eps4_sparse_diverse,256,no_disease_to_disease,100,1.0,1.0,0.7390000000000001,1.07,1.0,68.48,0.26256095335000285
proposed_dp_eps4_sparse_diverse,512,disease_to_no_disease,100,1.0,1.0,0.833,1.16,1.0,74.24,0.274390489970001
proposed_dp_eps4_sparse_diverse,512,no_disease_to_disease,100,1.0,1.0,0.736,1.07,1.0,68.48,0.2616863557801116
proposed_dp_eps8_sparse_diverse,64,disease_to_no_disease,100,0.823,0.69,0.6709999999999999,1.0,1.0,64.0,0.23351758579002307
proposed_dp_eps8_sparse_diverse,64,no_disease_to_disease,100,0.92,0.83,0.679,1.0,1.0,64.0,0.2445662025699312
proposed_dp_eps8_sparse_diverse,128,disease_to_no_disease,100,0.995,0.98,0.8059999999999999,1.33,1.0,85.12,0.31437478473996633
proposed_dp_eps8_sparse_diverse,128,no_disease_to_disease,100,1.0,1.0,0.732,1.14,1.0,72.96,0.28014026199010916
proposed_dp_eps8_sparse_diverse,256,disease_to_no_disease,100,1.0,1.0,0.807,1.32,1.0,84.48,0.31209505417006767
proposed_dp_eps8_sparse_diverse,256,no_disease_to_disease,100,1.0,1.0,0.7240000000000001,1.16,1.0,74.24,0.2845896494302178
proposed_dp_eps8_sparse_diverse,512,disease_to_no_disease,100,1.0,1.0,0.816,1.33,1.0,85.12,0.31559188223995077
proposed_dp_eps8_sparse_diverse,512,no_disease_to_disease,100,1.0,1.0,0.701,1.18,1.0,75.52,0.288722699150112
uniform_random,64,disease_to_no_disease,100,0.861,0.69,0.754,1.0,1.0,64.0,0.04647119031991678
uniform_random,64,no_disease_to_disease,100,0.929,0.82,0.75,1.0,1.0,64.0,0.0437786508499903
uniform_random,128,disease_to_no_disease,100,0.992,0.99,0.848,1.27,1.0,81.28,0.05553447391995178
uniform_random,128,no_disease_to_disease,100,0.995,0.99,0.807,1.19,1.0,76.16,0.05181064045999847
uniform_random,256,disease_to_no_disease,100,0.998,0.99,0.855,1.3,1.0,83.2,0.0567442881900206
uniform_random,256,no_disease_to_disease,100,1.0,1.0,0.8210000000000001,1.21,1.0,77.44,0.052913150819931615
uniform_random,512,disease_to_no_disease,100,1.0,1.0,0.852,1.32,1.0,84.48,0.05766432478997558
uniform_random,512,no_disease_to_disease,100,1.0,1.0,0.82,1.26,1.0,80.64,0.05487421350000659
wachter_style,64,disease_to_no_disease,100,0.03,0.0,0.015,1.0,1.0,64.0,0.0488326015700386
wachter_style,64,no_disease_to_disease,100,0.031,0.0,0.007000000000000001,1.0,1.0,64.0,0.04846842423001362
wachter_style,128,disease_to_no_disease,100,0.062,0.0,0.047,1.0,1.0,128.0,0.05638753828998233
wachter_style,128,no_disease_to_disease,100,0.09,0.0,0.062,1.0,1.0,128.0,0.056363540409993224
