method,candidate_budget,direction,outcome,size
countergan_one_shot,64,disease_to_no_disease,full_k,52
countergan_one_shot,64,disease_to_no_disease,partial_lt_k,48
countergan_one_shot,64,no_disease_to_disease,full_k,88
countergan_one_shot,64,no_disease_to_disease,partial_lt_k,12
countergan_one_shot,128,disease_to_no_disease,full_k,66
countergan_one_shot,128,disease_to_no_disease,partial_lt_k,34
countergan_one_shot,128,no_disease_to_disease,full_k,93
countergan_one_shot,128,no_disease_to_disease,partial_lt_k,7
countergan_one_shot,256,disease_to_no_disease,full_k,78
countergan_one_shot,256,disease_to_no_disease,partial_lt_k,22
countergan_one_shot,256,no_disease_to_disease,full_k,98
countergan_one_shot,256,no_disease_to_disease,partial_lt_k,2
countergan_one_shot,512,disease_to_no_disease,full_k,84
countergan_one_shot,512,disease_to_no_disease,partial_lt_k,16
countergan_one_shot,512,no_disease_to_disease,full_k,100
countergan_sparse_diverse_no_dp,64,disease_to_no_disease,full_k,38
countergan_sparse_diverse_no_dp,64,disease_to_no_disease,no_valid_cfe,12
countergan_sparse_diverse_no_dp,64,disease_to_no_disease,partial_lt_k,50
countergan_sparse_diverse_no_dp,64,no_disease_to_disease,full_k,84
countergan_sparse_diverse_no_dp,64,no_disease_to_disease,partial_lt_k,16
countergan_sparse_diverse_no_dp,128,disease_to_no_disease,full_k,95
countergan_sparse_diverse_no_dp,128,disease_to_no_disease,partial_lt_k,5
countergan_sparse_diverse_no_dp,128,no_disease_to_disease,full_k,100
countergan_sparse_diverse_no_dp,256,disease_to_no_disease,full_k,100
countergan_sparse_diverse_no_dp,256,no_disease_to_disease,full_k,100
countergan_sparse_diverse_no_dp,512,disease_to_no_disease,full_k,100
countergan_sparse_diverse_no_dp,512,no_disease_to_disease,full_k,100
dice_gradient_style,64,disease_to_no_disease,no_valid_cfe,70
dice_gradient_style,64,disease_to_no_disease,partial_lt_k,30
dice_gradient_style,64,no_disease_to_disease,no_valid_cfe,69
dice_gradient_style,64,no_disease_to_disease,partial_lt_k,31
dice_gradient_style,128,disease_to_no_disease,no_valid_cfe,38
dice_gradient_style,128,disease_to_no_disease,partial_lt_k,62
dice_gradient_style,128,no_disease_to_disease,no_valid_cfe,10
dice_gradient_style,128,no_disease_to_disease,partial_lt_k,90
dice_gradient_style,256,disease_to_no_disease,no_valid_cfe,2
dice_gradient_style,256,disease_to_no_disease,partial_lt_k,98
dice_gradient_style,256,no_disease_to_disease,partial_lt_k,100
dice_gradient_style,512,disease_to_no_disease,partial_lt_k,100
dice_gradient_style,512,no_disease_to_disease,partial_lt_k,100
genetic_cfe,64,disease_to_no_disease,full_k,69
genetic_cfe,64,disease_to_no_disease,no_valid_cfe,2
genetic_cfe,64,disease_to_no_disease,partial_lt_k,29
genetic_cfe,64,no_disease_to_disease,full_k,82
genetic_cfe,64,no_disease_to_disease,partial_lt_k,18
genetic_cfe,128,disease_to_no_disease,full_k,99
genetic_cfe,128,disease_to_no_disease,no_valid_cfe,1
genetic_cfe,128,no_disease_to_disease,full_k,99
genetic_cfe,128,no_disease_to_disease,partial_lt_k,1
genetic_cfe,256,disease_to_no_disease,full_k,100
genetic_cfe,256,no_disease_to_disease,full_k,100
genetic_cfe,512,disease_to_no_disease,full_k,100
genetic_cfe,512,no_disease_to_disease,full_k,100
proposed_countergan,64,disease_to_no_disease,full_k,52
proposed_countergan,64,disease_to_no_disease,partial_lt_k,48
proposed_countergan,64,no_disease_to_disease,full_k,88
proposed_countergan,64,no_disease_to_disease,partial_lt_k,12
proposed_countergan,128,disease_to_no_disease,full_k,100
proposed_countergan,128,no_disease_to_disease,full_k,100
proposed_countergan,256,disease_to_no_disease,full_k,100
proposed_countergan,256,no_disease_to_disease,full_k,100
proposed_countergan,512,disease_to_no_disease,full_k,100
proposed_countergan,512,no_disease_to_disease,full_k,100
proposed_dp_eps16_sparse_diverse,64,disease_to_no_disease,full_k,57
proposed_dp_eps16_sparse_diverse,64,disease_to_no_disease,no_valid_cfe,8
proposed_dp_eps16_sparse_diverse,64,disease_to_no_disease,partial_lt_k,35
proposed_dp_eps16_sparse_diverse,64,no_disease_to_disease,full_k,84
proposed_dp_eps16_sparse_diverse,64,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps16_sparse_diverse,64,no_disease_to_disease,partial_lt_k,15
proposed_dp_eps16_sparse_diverse,128,disease_to_no_disease,full_k,99
proposed_dp_eps16_sparse_diverse,128,disease_to_no_disease,partial_lt_k,1
proposed_dp_eps16_sparse_diverse,128,no_disease_to_disease,full_k,100
proposed_dp_eps16_sparse_diverse,256,disease_to_no_disease,full_k,100
proposed_dp_eps16_sparse_diverse,256,no_disease_to_disease,full_k,100
proposed_dp_eps16_sparse_diverse,512,disease_to_no_disease,full_k,100
proposed_dp_eps16_sparse_diverse,512,no_disease_to_disease,full_k,100
proposed_dp_eps2_sparse_diverse,64,disease_to_no_disease,full_k,97
proposed_dp_eps2_sparse_diverse,64,disease_to_no_disease,partial_lt_k,3
proposed_dp_eps2_sparse_diverse,64,no_disease_to_disease,full_k,95
proposed_dp_eps2_sparse_diverse,64,no_disease_to_disease,partial_lt_k,5
proposed_dp_eps2_sparse_diverse,128,disease_to_no_disease,full_k,100
proposed_dp_eps2_sparse_diverse,128,no_disease_to_disease,full_k,100
proposed_dp_eps2_sparse_diverse,256,disease_to_no_disease,full_k,100
proposed_dp_eps2_sparse_diverse,256,no_disease_to_disease,full_k,100
proposed_dp_eps2_sparse_diverse,512,disease_to_no_disease,full_k,100
proposed_dp_eps2_sparse_diverse,512,no_disease_to_disease,full_k,100
proposed_dp_eps4_sparse_diverse,64,disease_to_no_disease,full_k,81
proposed_dp_eps4_sparse_diverse,64,disease_to_no_disease,no_valid_cfe,2
proposed_dp_eps4_sparse_diverse,64,disease_to_no_disease,partial_lt_k,17
proposed_dp_eps4_sparse_diverse,64,no_disease_to_disease,full_k,95
proposed_dp_eps4_sparse_diverse,64,no_disease_to_disease,partial_lt_k,5
proposed_dp_eps4_sparse_diverse,128,disease_to_no_disease,full_k,100
proposed_dp_eps4_sparse_diverse,128,no_disease_to_disease,full_k,100
proposed_dp_eps4_sparse_diverse,256,disease_to_no_disease,full_k,100
