query_id,direction,difficulty_stratum,baseline_seed,method,implementation,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,algorithm_status,implementation_error,native_iterations
3,disease_to_no_disease,near_boundary,11,official_dice_random,official dice-ml==0.12,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.021651707589626312,0.875,0.03254452347755432,0.47124592548440136,0.47124592548440136,0.0,0.15,,,0,1.0,1.11232328414917,0.6952872276306152,0.8125,0.25,0.1,0.0,0.8557291666666667,1.756747217999873,1.756747217999873,,0.4391868044999683,,0.0,0,0.0,,0.0,,0.0,,1.756747217999873,0.0,,0.0,,0.0,,1.756747217999873,0.0,,0.0,,0.0,,1.756747217999873,0.0,,0.0,,0.0,,1.756747217999873,ok,,1
3,disease_to_no_disease,near_boundary,11,official_dice_genetic,official dice-ml==0.12,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.3221655488014221,0.022222222222222233,0.2974969148635864,1.4923200338865608,1.4923200338865608,0.0,0.12,,,0,1.0,21.781742095947266,4.966795921325684,1.0,1.0,1.0,1.0,0.9901266356982676,3.4738770079984533,3.4738770079984533,3.4738770079984533,0.3473877007998453,,0.0,0,0.0,,0.0,,0.0,,3.4738770079984533,0.0,,0.0,,0.0,,3.4738770079984533,0.0,,0.0,,0.0,,3.4738770079984533,0.0,,0.0,,0.0,,3.4738770079984533,ok,,300
3,disease_to_no_disease,near_boundary,11,wachter_style_native_350_steps,custom native configuration; not official package,1,1,1.0,1.0,0.1,0.1,1.0,0.0,0.0194806307554245,0.5555555555555556,0.0,0.36356132892165655,0.36356132892165655,0.0,0.0,,,0,1.0,6.86419153213501,6.86419153213501,1.0,1.0,0.1,0.0,0.9013786764705882,0.6916333709996252,0.6916333709996252,,0.6916333709996252,5616.0,8119.908951014227,1,1.0,1.0,1.0,5616.0,5616.0,0.6916333709996252,0.6916333709996252,0.0,,1.0,,5616.0,,0.6916333709996252,0.0,,1.0,,5616.0,,0.6916333709996252,0.0,,1.0,,5616.0,,0.6916333709996252,ok,,350
98,disease_to_no_disease,high_confidence,11,official_dice_random,official dice-ml==0.12,2,2,1.0,1.0,0.2,0.2,1.0,0.0,0.06801137328147888,0.7777777777777778,0.05134003609418869,0.9290475870428481,0.9290475870428481,0.0,0.0,,,0,1.0,11.48634147644043,3.7724509239196777,1.0,1.0,0.2,0.0,0.91875,1.7419998019995546,1.7419998019995546,,0.8709999009997773,,0.0,0,0.0,,0.0,,0.0,,1.7419998019995546,0.0,,0.0,,0.0,,1.7419998019995546,0.0,,0.0,,0.0,,1.7419998019995546,0.0,,0.0,,0.0,,1.7419998019995546,ok,,1
98,disease_to_no_disease,high_confidence,11,official_dice_genetic,official dice-ml==0.12,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.2834166884422302,0.013888888888888895,0.08911886066198349,1.552862270205787,1.552862270205787,0.0,0.0,,,0,1.0,4.515519618988037,0.4299635887145996,0.984375,0.75,0.3,0.0,0.9982142857142857,5.352099609999641,5.352099609999641,,1.3380249024999102,,0.0,0,0.0,,0.0,,0.0,,5.352099609999641,0.0,,0.0,,0.0,,5.352099609999641,0.0,,0.0,,0.0,,5.352099609999641,0.0,,0.0,,0.0,,5.352099609999641,ok,,300
98,disease_to_no_disease,high_confidence,11,wachter_style_native_350_steps,custom native configuration; not official package,1,1,1.0,1.0,0.1,0.1,1.0,0.0,0.11073268949985504,0.05555555555555558,0.0,0.8763458986559362,0.8763458986559362,0.0,0.0,,,0,1.0,5.542153358459473,5.542153358459473,1.0,1.0,0.1,0.0,0.9946428571428572,0.691162641000119,0.691162641000119,,0.691162641000119,5616.0,8125.439175754051,1,1.0,1.0,1.0,5616.0,5616.0,0.691162641000119,0.691162641000119,0.0,,1.0,,5616.0,,0.691162641000119,0.0,,1.0,,5616.0,,0.691162641000119,0.0,,1.0,,5616.0,,0.691162641000119,ok,,350
192,no_disease_to_disease,high_confidence,11,official_dice_random,official dice-ml==0.12,1,1,1.0,1.0,0.1,0.1,1.0,0.0,0.05175431817770004,0.8333333333333334,0.0,0.8155670988000828,0.8155670988000828,0.0,0.4,,,0,1.0,9.57049560546875,9.57049560546875,1.0,1.0,0.1,0.0,0.8526785714285714,1.7256121590016846,1.7256121590016846,,1.7256121590016846,,0.0,0,0.0,,0.0,,0.0,,1.7256121590016846,0.0,,0.0,,0.0,,1.7256121590016846,0.0,,0.0,,0.0,,1.7256121590016846,0.0,,0.0,,0.0,,1.7256121590016846,ok,,1
192,no_disease_to_disease,high_confidence,11,official_dice_genetic,official dice-ml==0.12,7,7,1.0,1.0,0.7,0.7,1.0,0.0,0.3433223366737366,0.0,0.13284675776958466,1.5494874650516337,1.5494874650516337,0.0,0.9142857142857143,,,0,1.0,13.725553512573242,1.9542393684387207,1.0,1.0,0.7,0.0,1.0,3.8376040080001985,3.8376040080001985,,0.5482291440000283,,0.0,0,0.0,,0.0,,0.0,,3.8376040080001985,0.0,,0.0,,0.0,,3.8376040080001985,0.0,,0.0,,0.0,,3.8376040080001985,0.0,,0.0,,0.0,,3.8376040080001985,ok,,300
192,no_disease_to_disease,high_confidence,11,wachter_style_native_350_steps,custom native configuration; not official package,1,1,1.0,1.0,0.1,0.1,1.0,0.0,0.07632996886968613,0.11111111111111116,0.0,0.675136384710452,0.675136384710452,0.0,0.8,,,0,1.0,4.500208377838135,4.500208377838135,1.0,1.0,0.1,0.0,0.9906417112299466,0.7037022179993073,0.7037022179993073,,0.7037022179993073,5616.0,7980.648428204227,1,1.0,1.0,1.0,5616.0,5616.0,0.7037022179993073,0.7037022179993073,0.0,,1.0,,5616.0,,0.7037022179993073,0.0,,1.0,,5616.0,,0.7037022179993073,0.0,,1.0,,5616.0,,0.7037022179993073,ok,,350
112,no_disease_to_disease,near_boundary,11,official_dice_random,official dice-ml==0.12,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.03259145841002464,0.861111111111111,0.052503231912851334,0.7099163462798709,0.7099163462798709,0.0,0.8999999999999999,,,0,1.0,6.517899036407471,0.18255281448364258,0.921875,0.5,0.2,0.0,0.9083829365079364,1.7669544710006448,1.7669544710006448,,0.4417386177501612,,0.0,0,0.0,,0.0,,0.0,,1.7669544710006448,0.0,,0.0,,0.0,,1.7669544710006448,0.0,,0.0,,0.0,,1.7669544710006448,0.0,,0.0,,0.0,,1.7669544710006448,ok,,1
