round,candidates,candidates_cumulative,feasible_candidates,margin_valid_candidates,archive_size,round_elapsed_seconds,cumulative_elapsed_seconds,proposal_adapts_to_oracle,acceptance_denominator_kind,query_id,method,method_seed,run_seed,robustness_seed,generator_training_seed,candidate_budget,direction,optimization_steps,gradient_restarts,final_unique_candidate_pool,backward_steps
1,64,64,64,23,23,0.0467345099987142,0.0467345099987142,False,all independently sampled candidates,0,uniform_random,11,5125795,12125795,,512,disease_to_no_disease,,,,
2,64,128,64,33,56,0.045561812999949325,0.09229632299866353,False,all independently sampled candidates,0,uniform_random,11,5125795,12125795,,512,disease_to_no_disease,,,,
3,64,192,64,30,86,0.04628087899982347,0.138577201998487,False,all independently sampled candidates,0,uniform_random,11,5125795,12125795,,512,disease_to_no_disease,,,,
4,64,256,64,27,113,0.04549595700154896,0.18407315900003596,False,all independently sampled candidates,0,uniform_random,11,5125795,12125795,,512,disease_to_no_disease,,,,
5,64,320,64,26,139,0.04730083699905663,0.23137399599909259,False,all independently sampled candidates,0,uniform_random,11,5125795,12125795,,512,disease_to_no_disease,,,,
6,64,384,64,20,159,0.04604391300017596,0.27741790899926855,False,all independently sampled candidates,0,uniform_random,11,5125795,12125795,,512,disease_to_no_disease,,,,
7,64,448,64,31,190,0.04936369700044452,0.32678160599971307,False,all independently sampled candidates,0,uniform_random,11,5125795,12125795,,512,disease_to_no_disease,,,,
8,64,512,64,32,222,0.050339224999333965,0.37712083099904703,False,all independently sampled candidates,0,uniform_random,11,5125795,12125795,,512,disease_to_no_disease,,,,
1,64,64,64,23,23,0.046556452000004356,0.046556452000004356,True,all genetic population candidates,0,genetic_cfe,11,5125795,12125795,,512,disease_to_no_disease,,,,
2,64,128,64,45,65,0.0464751220006292,0.09303157400063355,True,all genetic population candidates,0,genetic_cfe,11,5125795,12125795,,512,disease_to_no_disease,,,,
3,64,192,64,59,122,0.0497647619995405,0.14279633600017405,True,all genetic population candidates,0,genetic_cfe,11,5125795,12125795,,512,disease_to_no_disease,,,,
4,64,256,64,58,179,0.05377790900092805,0.1965742450011021,True,all genetic population candidates,0,genetic_cfe,11,5125795,12125795,,512,disease_to_no_disease,,,,
5,64,320,64,58,235,0.05393087199990987,0.25050511700101197,True,all genetic population candidates,0,genetic_cfe,11,5125795,12125795,,512,disease_to_no_disease,,,,
6,64,384,64,55,288,0.056053155998597504,0.30655827299960947,True,all genetic population candidates,0,genetic_cfe,11,5125795,12125795,,512,disease_to_no_disease,,,,
7,64,448,64,53,335,0.05863471100019524,0.3651929839998047,True,all genetic population candidates,0,genetic_cfe,11,5125795,12125795,,512,disease_to_no_disease,,,,
8,64,512,64,56,388,0.06326470200110634,0.42845768600091105,True,all genetic population candidates,0,genetic_cfe,11,5125795,12125795,,512,disease_to_no_disease,,,,
1,512,512,16,16,1,0.11423509900123463,0.11423509900123463,True,final restart pool only,0,dice_gradient_style,11,5125795,12125795,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,512,512,16,16,1,0.11130834199866513,0.11130834199866513,True,final restart pool only,0,wachter_style,11,5125795,12125795,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,64,64,64,38,38,0.04684357600126532,0.04684357600126532,False,all independently sampled candidates,1,uniform_random,11,6125798,13125798,,512,disease_to_no_disease,,,,
2,64,128,64,40,78,0.048502124000151525,0.09534570000141684,False,all independently sampled candidates,1,uniform_random,11,6125798,13125798,,512,disease_to_no_disease,,,,
3,64,192,64,32,110,0.04672841199862887,0.14207411200004572,False,all independently sampled candidates,1,uniform_random,11,6125798,13125798,,512,disease_to_no_disease,,,,
4,64,256,64,30,140,0.046742184000322595,0.1888162960003683,False,all independently sampled candidates,1,uniform_random,11,6125798,13125798,,512,disease_to_no_disease,,,,
5,64,320,64,37,177,0.04883961100131273,0.23765590700168104,False,all independently sampled candidates,1,uniform_random,11,6125798,13125798,,512,disease_to_no_disease,,,,
6,64,384,64,37,214,0.060375210998245166,0.2980311179999262,False,all independently sampled candidates,1,uniform_random,11,6125798,13125798,,512,disease_to_no_disease,,,,
7,64,448,63,24,238,0.05239049200099544,0.35042161000092165,False,all independently sampled candidates,1,uniform_random,11,6125798,13125798,,512,disease_to_no_disease,,,,
8,64,512,62,31,269,0.05367856200064125,0.4041001720015629,False,all independently sampled candidates,1,uniform_random,11,6125798,13125798,,512,disease_to_no_disease,,,,
1,64,64,64,38,38,0.04602148300000408,0.04602148300000408,True,all genetic population candidates,1,genetic_cfe,11,6125798,13125798,,512,disease_to_no_disease,,,,
2,64,128,64,44,80,0.04703715200048464,0.09305863500048872,True,all genetic population candidates,1,genetic_cfe,11,6125798,13125798,,512,disease_to_no_disease,,,,
3,64,192,64,57,136,0.05143166500056395,0.14449030000105267,True,all genetic population candidates,1,genetic_cfe,11,6125798,13125798,,512,disease_to_no_disease,,,,
4,64,256,64,53,186,0.05249017399910372,0.1969804740001564,True,all genetic population candidates,1,genetic_cfe,11,6125798,13125798,,512,disease_to_no_disease,,,,
5,64,320,64,56,240,0.05602971900043485,0.25301019300059124,True,all genetic population candidates,1,genetic_cfe,11,6125798,13125798,,512,disease_to_no_disease,,,,
6,64,384,64,54,293,0.055879673000163166,0.3088898660007544,True,all genetic population candidates,1,genetic_cfe,11,6125798,13125798,,512,disease_to_no_disease,,,,
7,64,448,64,58,349,0.058440388000235544,0.36733025400098995,True,all genetic population candidates,1,genetic_cfe,11,6125798,13125798,,512,disease_to_no_disease,,,,
8,64,512,64,61,405,0.06377314199926332,0.43110339600025327,True,all genetic population candidates,1,genetic_cfe,11,6125798,13125798,,512,disease_to_no_disease,,,,
