round,candidates,candidates_cumulative,feasible_candidates,margin_valid_candidates,archive_size,round_elapsed_seconds,cumulative_elapsed_seconds,query_id,method,method_seed,run_seed,robustness_seed,generator_training_seed,candidate_budget,direction,base_candidates,prune_candidates,fill_candidates,prune_valid_candidates,proposal_adapts_to_oracle,acceptance_denominator_kind
1,512,512,512,512,10,0.054299873001582455,0.054299873001582455,0,countergan_one_shot,11,5125795,12125795,11,512,disease_to_no_disease,,,,,,
1,64,64,64,64,7,0.044733630998962326,0.044733630998962326,0,proposed_countergan,11,5125795,12125795,11,512,disease_to_no_disease,,,,,,
2,64,128,64,53,10,0.04084508000050846,0.08557871099947079,0,proposed_countergan,11,5125795,12125795,11,512,disease_to_no_disease,,,,,,
1,64,64,64,0,0,0.1558441369998036,0.1558441369998036,0,countergan_sparse_diverse_no_dp,11,5125795,12125795,11,512,disease_to_no_disease,32.0,0.0,32.0,0.0,True,all scored base+prune/fill candidates
2,64,128,64,29,11,0.23959891099912056,0.39544304799892416,0,countergan_sparse_diverse_no_dp,11,5125795,12125795,11,512,disease_to_no_disease,32.0,28.0,4.0,23.0,True,all scored base+prune/fill candidates
3,64,192,64,36,27,0.26673258200025884,0.662175629999183,0,countergan_sparse_diverse_no_dp,11,5125795,12125795,11,512,disease_to_no_disease,32.0,24.0,8.0,20.0,True,all scored base+prune/fill candidates
4,64,256,64,41,46,0.2529283840012795,0.9151040140004625,0,countergan_sparse_diverse_no_dp,11,5125795,12125795,11,512,disease_to_no_disease,32.0,23.0,9.0,22.0,True,all scored base+prune/fill candidates
5,64,320,64,40,68,0.24631413599854568,1.1614181499990082,0,countergan_sparse_diverse_no_dp,11,5125795,12125795,11,512,disease_to_no_disease,32.0,24.0,8.0,20.0,True,all scored base+prune/fill candidates
6,64,384,64,37,88,0.24598322000019834,1.4074013699992065,0,countergan_sparse_diverse_no_dp,11,5125795,12125795,11,512,disease_to_no_disease,32.0,24.0,8.0,17.0,True,all scored base+prune/fill candidates
7,64,448,64,32,110,0.25460524300069665,1.6620066129999032,0,countergan_sparse_diverse_no_dp,11,5125795,12125795,11,512,disease_to_no_disease,32.0,23.0,9.0,12.0,True,all scored base+prune/fill candidates
8,64,512,64,34,129,0.3032017759996961,1.9652083889995993,0,countergan_sparse_diverse_no_dp,11,5125795,12125795,11,512,disease_to_no_disease,32.0,25.0,7.0,15.0,True,all scored base+prune/fill candidates
1,64,64,64,57,26,0.2451508960002684,0.2451508960002684,0,proposed_dp_eps16_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,18.0,14.0,17.0,True,all scored base+prune/fill candidates
2,64,128,64,52,55,0.24343672199938737,0.4885876179996558,0,proposed_dp_eps16_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,12.0,20.0,9.0,True,all scored base+prune/fill candidates
3,64,192,64,57,88,0.24064114800057723,0.729228766000233,0,proposed_dp_eps16_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,13.0,19.0,10.0,True,all scored base+prune/fill candidates
4,64,256,64,55,116,0.24863596099930874,0.9778647269995417,0,proposed_dp_eps16_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,14.0,18.0,9.0,True,all scored base+prune/fill candidates
5,64,320,64,53,146,0.2525110130009125,1.2303757400004542,0,proposed_dp_eps16_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,13.0,19.0,5.0,True,all scored base+prune/fill candidates
6,64,384,64,50,175,0.25447804699979315,1.4848537870002474,0,proposed_dp_eps16_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,13.0,19.0,5.0,True,all scored base+prune/fill candidates
7,64,448,64,55,206,0.25016676199993526,1.7350205490001827,0,proposed_dp_eps16_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,12.0,20.0,4.0,True,all scored base+prune/fill candidates
8,64,512,64,53,239,0.2679708319992642,2.002991380999447,0,proposed_dp_eps16_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,13.0,19.0,4.0,True,all scored base+prune/fill candidates
1,64,64,64,62,28,0.24016455499986478,0.24016455499986478,0,proposed_dp_eps8_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,23.0,9.0,21.0,True,all scored base+prune/fill candidates
2,64,128,64,61,65,0.24047133800013398,0.48063589299999876,0,proposed_dp_eps8_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,18.0,14.0,16.0,True,all scored base+prune/fill candidates
3,64,192,64,61,97,0.2488283170005161,0.7294642100005149,0,proposed_dp_eps8_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,21.0,11.0,19.0,True,all scored base+prune/fill candidates
4,64,256,64,58,129,0.25915626200003317,0.988620472000548,0,proposed_dp_eps8_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,20.0,12.0,15.0,True,all scored base+prune/fill candidates
5,64,320,64,58,156,0.26696510600049805,1.255585578001046,0,proposed_dp_eps8_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,22.0,10.0,16.0,True,all scored base+prune/fill candidates
6,64,384,64,53,185,0.25242025399893464,1.5080058319999807,0,proposed_dp_eps8_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,23.0,9.0,12.0,True,all scored base+prune/fill candidates
7,64,448,64,49,210,0.28705388300113555,1.7950597150011163,0,proposed_dp_eps8_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,24.0,8.0,10.0,True,all scored base+prune/fill candidates
8,64,512,64,45,233,0.2657847929986019,2.060844507999718,0,proposed_dp_eps8_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,24.0,8.0,5.0,True,all scored base+prune/fill candidates
1,64,64,64,59,22,0.24204306799947517,0.24204306799947517,0,proposed_dp_eps4_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,27.0,5.0,25.0,True,all scored base+prune/fill candidates
2,64,128,64,60,45,0.24577733499972965,0.4878204029992048,0,proposed_dp_eps4_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,31.0,1.0,28.0,True,all scored base+prune/fill candidates
3,64,192,64,54,69,0.24826456700066046,0.7360849699998653,0,proposed_dp_eps4_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,29.0,3.0,20.0,True,all scored base+prune/fill candidates
4,64,256,64,54,95,0.24858504499934497,0.9846700149992103,0,proposed_dp_eps4_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,27.0,5.0,17.0,True,all scored base+prune/fill candidates
5,64,320,64,54,117,0.2546290299997054,1.2392990449989156,0,proposed_dp_eps4_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,27.0,5.0,18.0,True,all scored base+prune/fill candidates
6,64,384,64,51,140,0.25273697700140474,1.4920360220003204,0,proposed_dp_eps4_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,27.0,5.0,15.0,True,all scored base+prune/fill candidates
7,64,448,64,48,162,0.25622641399968415,1.7482624360000045,0,proposed_dp_eps4_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,27.0,5.0,14.0,True,all scored base+prune/fill candidates
8,64,512,64,49,188,0.25654086400027154,2.004803300000276,0,proposed_dp_eps4_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,26.0,6.0,13.0,True,all scored base+prune/fill candidates
1,64,64,64,63,30,0.24164842299978773,0.24164842299978773,0,proposed_dp_eps2_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,26.0,6.0,25.0,True,all scored base+prune/fill candidates
2,64,128,64,61,61,0.24989735700000892,0.49154577999979665,0,proposed_dp_eps2_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,26.0,6.0,24.0,True,all scored base+prune/fill candidates
3,64,192,64,62,85,0.2514676850005344,0.743013465000331,0,proposed_dp_eps2_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,29.0,3.0,27.0,True,all scored base+prune/fill candidates
4,64,256,64,62,113,0.2573961549987871,1.0004096199991181,0,proposed_dp_eps2_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,27.0,5.0,25.0,True,all scored base+prune/fill candidates
5,64,320,64,60,140,0.2605434580000292,1.2609530779991474,0,proposed_dp_eps2_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,23.0,9.0,19.0,True,all scored base+prune/fill candidates
6,64,384,64,58,166,0.25242147500102874,1.513374553000176,0,proposed_dp_eps2_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,24.0,8.0,18.0,True,all scored base+prune/fill candidates
7,64,448,64,56,200,0.2618700530001661,1.7752446060003422,0,proposed_dp_eps2_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,24.0,8.0,16.0,True,all scored base+prune/fill candidates
8,64,512,64,56,227,0.26610920899838675,2.041353814998729,0,proposed_dp_eps2_sparse_diverse,11,5125795,12125795,11,512,disease_to_no_disease,32.0,23.0,9.0,15.0,True,all scored base+prune/fill candidates
1,512,512,512,512,10,0.05141399100102717,0.05141399100102717,1,countergan_one_shot,11,6125798,13125798,11,512,disease_to_no_disease,,,,,,
1,64,64,64,64,8,0.04409671399844228,0.04409671399844228,1,proposed_countergan,11,6125798,13125798,11,512,disease_to_no_disease,,,,,,
2,64,128,64,61,10,0.04332929300107935,0.08742600699952163,1,proposed_countergan,11,6125798,13125798,11,512,disease_to_no_disease,,,,,,
1,64,64,64,28,4,0.23133515199879184,0.23133515199879184,1,countergan_sparse_diverse_no_dp,11,6125798,13125798,11,512,disease_to_no_disease,32.0,7.0,25.0,6.0,True,all scored base+prune/fill candidates
2,64,128,64,40,15,0.23530215699975088,0.4666373089985427,1,countergan_sparse_diverse_no_dp,11,6125798,13125798,11,512,disease_to_no_disease,32.0,25.0,7.0,21.0,True,all scored base+prune/fill candidates
3,64,192,64,50,32,0.4592318390004948,0.9258691479990375,1,countergan_sparse_diverse_no_dp,11,6125798,13125798,11,512,disease_to_no_disease,32.0,24.0,8.0,21.0,True,all scored base+prune/fill candidates
4,64,256,64,49,52,0.24770635300046706,1.1735755009995046,1,countergan_sparse_diverse_no_dp,11,6125798,13125798,11,512,disease_to_no_disease,32.0,24.0,8.0,22.0,True,all scored base+prune/fill candidates
5,64,320,64,46,74,0.2533979220006586,1.4269734230001632,1,countergan_sparse_diverse_no_dp,11,6125798,13125798,11,512,disease_to_no_disease,32.0,20.0,12.0,17.0,True,all scored base+prune/fill candidates
6,64,384,64,45,97,0.2456584079991444,1.6726318309993076,1,countergan_sparse_diverse_no_dp,11,6125798,13125798,11,512,disease_to_no_disease,32.0,20.0,12.0,15.0,True,all scored base+prune/fill candidates
7,64,448,64,42,120,0.24445041400031187,1.9170822449996194,1,countergan_sparse_diverse_no_dp,11,6125798,13125798,11,512,disease_to_no_disease,32.0,22.0,10.0,13.0,True,all scored base+prune/fill candidates
8,64,512,64,45,143,0.2494920329991146,2.166574277998734,1,countergan_sparse_diverse_no_dp,11,6125798,13125798,11,512,disease_to_no_disease,32.0,21.0,11.0,12.0,True,all scored base+prune/fill candidates
1,64,64,64,47,8,0.23092283899859467,0.23092283899859467,1,proposed_dp_eps16_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,16.0,16.0,14.0,True,all scored base+prune/fill candidates
2,64,128,64,43,23,0.24234141099987028,0.47326424999846495,1,proposed_dp_eps16_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,25.0,7.0,17.0,True,all scored base+prune/fill candidates
3,64,192,64,53,44,0.2495401150008547,0.7228043649993197,1,proposed_dp_eps16_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,22.0,10.0,18.0,True,all scored base+prune/fill candidates
4,64,256,64,52,66,0.24871212499965623,0.9715164899989759,1,proposed_dp_eps16_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,22.0,10.0,16.0,True,all scored base+prune/fill candidates
5,64,320,64,48,90,0.2777023990001908,1.2492188889991667,1,proposed_dp_eps16_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,18.0,14.0,12.0,True,all scored base+prune/fill candidates
6,64,384,64,54,114,0.2561191629993118,1.5053380519984785,1,proposed_dp_eps16_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,19.0,13.0,12.0,True,all scored base+prune/fill candidates
7,64,448,64,51,138,0.250506475000293,1.7558445269987715,1,proposed_dp_eps16_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,19.0,13.0,12.0,True,all scored base+prune/fill candidates
8,64,512,64,42,161,0.24807941200015193,2.0039239389989234,1,proposed_dp_eps16_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,17.0,15.0,9.0,True,all scored base+prune/fill candidates
1,64,64,64,44,12,0.23828117699849827,0.23828117699849827,1,proposed_dp_eps8_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,23.0,9.0,18.0,True,all scored base+prune/fill candidates
2,64,128,64,47,35,0.23782286200003,0.47610403899852827,1,proposed_dp_eps8_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,19.0,13.0,16.0,True,all scored base+prune/fill candidates
3,64,192,64,48,57,0.23844407700016745,0.7145481159986957,1,proposed_dp_eps8_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,20.0,12.0,16.0,True,all scored base+prune/fill candidates
4,64,256,64,49,79,0.2400893960002577,0.9546375119989534,1,proposed_dp_eps8_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,20.0,12.0,15.0,True,all scored base+prune/fill candidates
5,64,320,64,52,103,0.2507501290001528,1.2053876409991062,1,proposed_dp_eps8_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,20.0,12.0,14.0,True,all scored base+prune/fill candidates
6,64,384,64,46,128,0.2473003270006302,1.4526879679997364,1,proposed_dp_eps8_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,18.0,14.0,10.0,True,all scored base+prune/fill candidates
7,64,448,64,48,155,0.25992851599949063,1.712616483999227,1,proposed_dp_eps8_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,16.0,16.0,9.0,True,all scored base+prune/fill candidates
8,64,512,64,43,180,0.25011297300079605,1.962729457000023,1,proposed_dp_eps8_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,13.0,19.0,5.0,True,all scored base+prune/fill candidates
1,64,64,64,57,13,0.24271509800018976,0.24271509800018976,1,proposed_dp_eps4_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,31.0,1.0,26.0,True,all scored base+prune/fill candidates
2,64,128,64,49,30,0.238959917000102,0.48167501500029175,1,proposed_dp_eps4_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,24.0,8.0,19.0,True,all scored base+prune/fill candidates
3,64,192,64,47,52,0.25987979299861763,0.7415548079989094,1,proposed_dp_eps4_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,22.0,10.0,14.0,True,all scored base+prune/fill candidates
4,64,256,64,56,75,0.2589941040005215,1.0005489119994309,1,proposed_dp_eps4_sparse_diverse,11,6125798,13125798,11,512,disease_to_no_disease,32.0,24.0,8.0,16.0,True,all scored base+prune/fill candidates
