query_id,local_test_index,query_class,desired_class,direction,difficulty_stratum,baseline_seed,run_seed,method,implementation,K,margin,native_random_sample_size,native_genetic_maxiterations,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,algorithm_status,implementation_error,native_iterations
0,3705,1,0,disease_to_no_disease,near_boundary,11,9102065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,3,3,1.0,1.0,0.3,0.3,1.0,0.0,0.04085051268339157,0.8518518518518517,0.0307298693805933,0.3800510080999904,0.3800510080999904,0.3333333333333333,0.7333333333333334,,,0,1.0,0.7414931654930115,0.4631139934062958,1.0,1.0,0.3,0.0,0.9597222222222221,1.3264804879999872,1.3264804879999872,,0.4421601626666624,,0.0,0,0.0,,0.0,,0.0,,1.3264804879999872,0.0,,0.0,,0.0,,1.3264804879999872,0.0,,0.0,,0.0,,1.3264804879999872,0.0,,0.0,,0.0,,1.3264804879999872,ok,,1
0,3705,1,0,disease_to_no_disease,near_boundary,11,9102159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.001540476000002,20.001540476000002,,,,0.0,0,0.0,,0.0,,0.0,,20.001540476000002,0.0,,0.0,,0.0,,20.001540476000002,0.0,,0.0,,0.0,,20.001540476000002,0.0,,0.0,,0.0,,20.001540476000002,timeout,,300
1,7725,1,0,disease_to_no_disease,near_boundary,11,9103065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,5,5,1.0,1.0,0.5,0.5,1.0,0.0,0.04225040227174759,0.7777777777777778,0.03842455893754959,0.40106953496611586,0.40106953496611586,0.0,0.8800000000000001,,,0,1.0,0.4187566339969635,0.337358295917511,1.0,1.0,0.5,0.0,0.9875,1.1163751629999865,1.1163751629999865,,0.22327503259999731,,0.0,0,0.0,,0.0,,0.0,,1.1163751629999865,0.0,,0.0,,0.0,,1.1163751629999865,0.0,,0.0,,0.0,,1.1163751629999865,0.0,,0.0,,0.0,,1.1163751629999865,ok,,1
1,7725,1,0,disease_to_no_disease,near_boundary,11,9103159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.001184866000017,20.001184866000017,,,,0.0,0,0.0,,0.0,,0.0,,20.001184866000017,0.0,,0.0,,0.0,,20.001184866000017,0.0,,0.0,,0.0,,20.001184866000017,0.0,,0.0,,0.0,,20.001184866000017,timeout,,300
2,11922,1,0,disease_to_no_disease,near_boundary,11,9104065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,5,5,1.0,1.0,0.5,0.5,1.0,0.0,0.06662838160991669,0.6222222222222221,0.06998265534639359,0.36566813040918733,0.36566813040918733,1.0,0.8,,,0,1.0,0.3529340624809265,0.17168113589286804,1.0,1.0,0.5,0.0,0.9964285714285716,1.1178563039999858,1.1178563039999858,,0.22357126079999717,,0.0,0,0.0,,0.0,,0.0,,1.1178563039999858,0.0,,0.0,,0.0,,1.1178563039999858,0.0,,0.0,,0.0,,1.1178563039999858,0.0,,0.0,,0.0,,1.1178563039999858,ok,,1
2,11922,1,0,disease_to_no_disease,near_boundary,11,9104159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.001262963000016,20.001262963000016,,,,0.0,0,0.0,,0.0,,0.0,,20.001262963000016,0.0,,0.0,,0.0,,20.001262963000016,0.0,,0.0,,0.0,,20.001262963000016,0.0,,0.0,,0.0,,20.001262963000016,timeout,,300
3,15125,1,0,disease_to_no_disease,near_boundary,11,9105065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.031577806919813156,0.861111111111111,0.05078233405947685,0.2097229857367745,0.2097229857367745,0.5,0.95,,,0,1.0,0.6614635586738586,0.10885712504386902,1.0,1.0,0.4,0.0,0.9947916666666666,1.1406646739999928,1.1406646739999928,,0.2851661684999982,,0.0,0,0.0,,0.0,,0.0,,1.1406646739999928,0.0,,0.0,,0.0,,1.1406646739999928,0.0,,0.0,,0.0,,1.1406646739999928,0.0,,0.0,,0.0,,1.1406646739999928,ok,,1
3,15125,1,0,disease_to_no_disease,near_boundary,11,9105159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.001495248999987,20.001495248999987,,,,0.0,0,0.0,,0.0,,0.0,,20.001495248999987,0.0,,0.0,,0.0,,20.001495248999987,0.0,,0.0,,0.0,,20.001495248999987,0.0,,0.0,,0.0,,20.001495248999987,timeout,,300
4,26762,1,0,disease_to_no_disease,near_boundary,11,9106065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,5,5,1.0,1.0,0.5,0.5,1.0,0.0,0.04274968057870865,0.7777777777777778,0.06041193753480911,0.275186085430943,0.275186085430943,1.0,0.8,,,0,1.0,0.37279415130615234,0.11780241131782532,1.0,1.0,0.5,0.0,1.0,1.1264745969999694,1.1264745969999694,,0.22529491939999388,,0.0,0,0.0,,0.0,,0.0,,1.1264745969999694,0.0,,0.0,,0.0,,1.1264745969999694,0.0,,0.0,,0.0,,1.1264745969999694,0.0,,0.0,,0.0,,1.1264745969999694,ok,,1
4,26762,1,0,disease_to_no_disease,near_boundary,11,9106159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.00093830899999,20.00093830899999,,,,0.0,0,0.0,,0.0,,0.0,,20.00093830899999,0.0,,0.0,,0.0,,20.00093830899999,0.0,,0.0,,0.0,,20.00093830899999,0.0,,0.0,,0.0,,20.00093830899999,timeout,,300
5,29535,1,0,disease_to_no_disease,near_boundary,11,9107065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,3,3,1.0,1.0,0.3,0.3,1.0,0.0,0.03826630488038063,0.8148148148148148,0.062039852142333984,0.40544390797087004,0.40544390797087004,0.0,0.9333333333333332,,,0,1.0,0.2829359769821167,0.17011430859565735,1.0,1.0,0.3,0.0,1.0,1.1078774579999617,1.1078774579999617,,0.36929248599998726,,0.0,0,0.0,,0.0,,0.0,,1.1078774579999617,0.0,,0.0,,0.0,,1.1078774579999617,0.0,,0.0,,0.0,,1.1078774579999617,0.0,,0.0,,0.0,,1.1078774579999617,ok,,1
5,29535,1,0,disease_to_no_disease,near_boundary,11,9107159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.001137818000018,20.001137818000018,,,,0.0,0,0.0,,0.0,,0.0,,20.001137818000018,0.0,,0.0,,0.0,,20.001137818000018,0.0,,0.0,,0.0,,20.001137818000018,0.0,,0.0,,0.0,,20.001137818000018,timeout,,300
