candidate_cohort_seed,cohort_position,query_id,method,method_family,direction,candidate_budget,rank,cfe_logit
101,0,5,dice_gradient_style,Baseline,disease_to_no_disease,1024,1,-0.9737162590026855
101,1,64,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,8,-0.5150011777877808
101,2,28,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,1,-0.3622641861438751
101,3,93,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,7,-0.1715539991855621
101,4,44,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,9,-0.3028022050857544
101,5,12,proposed_countergan,Non-DP CounterGAN,disease_to_no_disease,1024,9,-0.8344135284423828
101,6,100,uniform_random,Baseline,no_disease_to_disease,1024,2,0.5589702725410461
101,7,115,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,9,0.2456432580947876
101,8,136,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,3,0.3767499625682831
101,9,139,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,4,0.204046368598938
101,10,134,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,4,0.2438446581363678
101,11,103,proposed_countergan,Non-DP CounterGAN,no_disease_to_disease,1024,4,0.5435733795166016
101,12,39,genetic_cfe,Baseline,disease_to_no_disease,1024,2,-0.2654752135276794
101,13,7,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,7,-1.2738192081451416
101,14,95,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,9,-0.3883099257946014
101,15,74,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,8,-0.573357105255127
101,16,93,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,4,-0.1071300655603408
101,17,96,proposed_countergan,Non-DP CounterGAN,disease_to_no_disease,1024,2,-0.1077480465173721
101,18,118,genetic_cfe,Baseline,no_disease_to_disease,1024,3,0.1582772433757782
101,19,132,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,3,0.2763301432132721
101,20,157,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,4,0.2131914049386978
101,21,144,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,4,0.2333543002605438
101,22,116,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,10,0.3256378173828125
101,23,148,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,no_disease_to_disease,1024,1,0.1106303259730339
101,24,47,dice_gradient_style,Baseline,disease_to_no_disease,1024,7,-0.5674394369125366
101,25,1,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,5,-0.3855569660663605
101,26,47,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,8,-0.4539084136486053
101,27,67,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,4,-0.1429307460784912
101,28,80,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,5,-0.1051599383354187
101,29,33,proposed_countergan,Non-DP CounterGAN,disease_to_no_disease,1024,9,-1.917011022567749
101,30,137,wachter_style,Baseline,no_disease_to_disease,1024,1,0.161090463399887
101,31,137,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,10,0.2350475937128067
101,32,125,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,5,0.2868705987930298
101,33,128,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,6,0.1498485803604126
101,34,122,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,7,0.1452945172786712
101,35,106,proposed_countergan,Non-DP CounterGAN,no_disease_to_disease,1024,8,0.8073164224624634
101,36,27,uniform_random,Baseline,disease_to_no_disease,1024,2,-0.8297824859619141
101,37,29,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,9,-0.2962420284748077
101,38,79,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,10,-0.2866975665092468
101,39,98,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,10,-0.2829901278018951
101,40,62,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,7,-0.8999794721603394
101,41,22,proposed_countergan,Non-DP CounterGAN,disease_to_no_disease,1024,8,-1.7407160997390747
101,42,130,uniform_random,Baseline,no_disease_to_disease,1024,8,0.4244062304496765
101,43,155,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,10,0.3607203066349029
101,44,111,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,2,0.4277306497097015
101,45,121,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,2,0.1779132783412933
101,46,121,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,5,0.3331542909145355
101,47,134,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,no_disease_to_disease,1024,2,0.1035709381103515
101,48,18,genetic_cfe,Baseline,disease_to_no_disease,1024,5,-0.1082464754581451
101,49,27,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,3,-0.3726467192173004
101,50,10,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,2,-0.1487985849380493
101,51,68,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,4,-0.1177299916744232
101,52,67,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,10,-0.4135065376758575
101,53,13,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,disease_to_no_disease,1024,2,-0.4162662923336029
101,54,116,dice_gradient_style,Baseline,no_disease_to_disease,1024,1,0.2004846781492233
101,55,121,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,9,0.4735360443592071
101,56,118,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,1,0.1379352360963821
101,57,135,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,7,0.2406691908836364
101,58,149,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,3,0.2544405460357666
101,59,163,countergan_one_shot,Non-DP CounterGAN,no_disease_to_disease,1024,1,0.4230047762393951
101,60,46,uniform_random,Baseline,disease_to_no_disease,1024,8,-0.2339505851268768
101,61,24,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,10,-1.430267572402954
101,62,26,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,5,-0.2468308508396148
101,63,15,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,1,-0.203349769115448
101,64,67,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,1,-0.1052321940660476
101,65,74,countergan_one_shot,Non-DP CounterGAN,disease_to_no_disease,1024,3,-0.6859749555587769
101,66,107,uniform_random,Baseline,no_disease_to_disease,1024,3,0.1525118052959442
101,67,104,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,5,0.1650175899267196
101,68,156,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,8,0.511054277420044
101,69,135,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,4,0.4218566119670868
101,70,119,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,9,0.2155026495456695
101,71,114,proposed_countergan,Non-DP CounterGAN,no_disease_to_disease,1024,2,1.6766908168792725
101,72,17,dice_gradient_style,Baseline,disease_to_no_disease,1024,1,-0.1658384799957275
101,73,88,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,10,-0.3895634114742279
101,74,98,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,1,-0.104394644498825
101,75,92,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,3,-0.1547296345233917
101,76,86,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,2,-0.1193931996822357
101,77,14,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,disease_to_no_disease,1024,4,-1.0338650941848757
101,78,111,uniform_random,Baseline,no_disease_to_disease,1024,9,0.4409147202968597
101,79,162,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,8,0.5695402026176453
101,80,124,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,3,0.1098958104848861
101,81,106,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,7,0.3133576810359955
101,82,107,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,1,0.2217537611722946
101,83,119,countergan_one_shot,Non-DP CounterGAN,no_disease_to_disease,1024,1,0.2602859139442444
101,84,58,uniform_random,Baseline,disease_to_no_disease,1024,6,-0.4867606461048126
101,85,58,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,8,-0.5740973949432373
101,86,21,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,4,-2.155105829238892
101,87,55,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,7,-0.204862505197525
101,88,70,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,4,-0.3496334552764892
101,89,97,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,disease_to_no_disease,1024,7,-0.1300222277641296
101,90,104,uniform_random,Baseline,no_disease_to_disease,1024,8,0.11410753428936
101,91,103,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,7,0.2873046994209289
