candidate_cohort_seed,population,repeats,tenseal_version,python_version,platform,secret_key_location,context_reuse_policy,profile_name,profile_status,coeff_mod_bit_sizes,security_validation,context_construction_seconds_one_time_median,context_construction_seconds_one_time_q25,context_construction_seconds_one_time_q75,context_peak_rss_delta_mb_median,context_peak_rss_delta_mb_q25,context_peak_rss_delta_mb_q75,public_context_mb_one_time_median,public_context_mb_one_time_q25,public_context_mb_one_time_q75,cpu_logical_count_median,cpu_logical_count_q25,cpu_logical_count_q75,cpu_physical_count_median,cpu_physical_count_q25,cpu_physical_count_q75,server_context_contains_secret_key_median,server_context_contains_secret_key_q25,server_context_contains_secret_key_q75,server_context_contains_relinearization_keys_median,server_context_contains_relinearization_keys_q25,server_context_contains_relinearization_keys_q75,server_context_contains_galois_keys_median,server_context_contains_galois_keys_q25,server_context_contains_galois_keys_q75,packed_slots_used_median,packed_slots_used_q25,packed_slots_used_q75,slot_utilization_median,slot_utilization_q25,slot_utilization_q75,feature_ciphertexts_uploaded_median,feature_ciphertexts_uploaded_q25,feature_ciphertexts_uploaded_q75,logit_ciphertexts_downloaded_median,logit_ciphertexts_downloaded_q25,logit_ciphertexts_downloaded_q75,encryption_seconds_median,encryption_seconds_q25,encryption_seconds_q75,upload_serialization_seconds_median,upload_serialization_seconds_q25,upload_serialization_seconds_q75,server_deserialization_seconds_median,server_deserialization_seconds_q25,server_deserialization_seconds_q75,server_inference_seconds_per_round_median,server_inference_seconds_per_round_q25,server_inference_seconds_per_round_q75,download_serialization_seconds_median,download_serialization_seconds_q25,download_serialization_seconds_q75,decryption_seconds_median,decryption_seconds_q25,decryption_seconds_q75,total_latency_seconds_per_round_median,total_latency_seconds_per_round_q25,total_latency_seconds_per_round_q75,time_per_candidate_seconds_median,time_per_candidate_seconds_q25,time_per_candidate_seconds_q75,throughput_candidates_per_second_median,throughput_candidates_per_second_q25,throughput_candidates_per_second_q75,server_inference_throughput_candidates_per_second_median,server_inference_throughput_candidates_per_second_q25,server_inference_throughput_candidates_per_second_q75,client_total_seconds_per_round_median,client_total_seconds_per_round_q25,client_total_seconds_per_round_q75,server_total_seconds_per_round_median,server_total_seconds_per_round_q25,server_total_seconds_per_round_q75,upload_ciphertext_mb_median,upload_ciphertext_mb_q25,upload_ciphertext_mb_q75,download_ciphertext_mb_median,download_ciphertext_mb_q25,download_ciphertext_mb_q75,total_communication_mb_per_round_median,total_communication_mb_per_round_q25,total_communication_mb_per_round_q75,peak_rss_delta_mb_median,peak_rss_delta_mb_q25,peak_rss_delta_mb_q75,baseline_rss_mb_median,baseline_rss_mb_q25,baseline_rss_mb_q75,peak_rss_mb_median,peak_rss_mb_q25,peak_rss_mb_q75,mean_abs_logit_error_median,mean_abs_logit_error_q25,mean_abs_logit_error_q75,max_abs_logit_error_median,max_abs_logit_error_q25,max_abs_logit_error_q75,mean_abs_probability_error_client_side_median,mean_abs_probability_error_client_side_q25,mean_abs_probability_error_client_side_q75,max_abs_probability_error_client_side_median,max_abs_probability_error_client_side_q25,max_abs_probability_error_client_side_q75,plaintext_he_label_agreement_median,plaintext_he_label_agreement_q25,plaintext_he_label_agreement_q75,plaintext_he_margin_state_agreement_median,plaintext_he_margin_state_agreement_q25,plaintext_he_margin_state_agreement_q75,agreement_and_error_gate_on_supplied_candidates_median,agreement_and_error_gate_on_supplied_candidates_q25,agreement_and_error_gate_on_supplied_candidates_q75,required_label_agreement_median,required_label_agreement_q25,required_label_agreement_q75,maximum_allowed_abs_logit_error_median,maximum_allowed_abs_logit_error_q25,maximum_allowed_abs_logit_error_q75,minimum_abs_plaintext_logit_median,minimum_abs_plaintext_logit_q25,minimum_abs_plaintext_logit_q75,poly_modulus_degree_median,poly_modulus_degree_q25,poly_modulus_degree_q75,slot_count_median,slot_count_q25,slot_count_q75,coeff_mod_total_bits_median,coeff_mod_total_bits_q25,coeff_mod_total_bits_q75,tc128_max_coeff_mod_bits_median,tc128_max_coeff_mod_bits_q25,tc128_max_coeff_mod_bits_q75,global_scale_bits_median,global_scale_bits_q25,global_scale_bits_q75,parameter_construction_passed_median,parameter_construction_passed_q25,parameter_construction_passed_q75
101,32,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,square_n8192_scale29,paper_candidate,"[36, 29, 29, 29, 29, 29, 36]",SEAL default TC128 parameter validation,0.3448276940000028,0.3448276940000028,0.3448276940000028,61.267968,61.267968,61.267968,3.898863,3.898863,3.898863,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32.0,32.0,32.0,0.0078125,0.0078125,0.0078125,23.0,23.0,23.0,1.0,1.0,1.0,0.24724542600000632,0.2469803779999893,0.2484550599999693,0.206332658000008,0.20489175099999102,0.20712857899997061,0.06565124200000128,0.06534291999997777,0.06658274400001574,28.413481363000017,28.401135675000035,28.44696084499998,0.0019019849999608596,0.0018881660000147349,0.0019254199999636512,0.0012267220000126144,0.0012049299999716823,0.0012317999999709173,28.935440643999982,28.921771422000063,28.969849750999913,0.9042325201249994,0.903805356937502,0.9053078047187473,1.1059102362982498,1.1045966850033628,1.1064329197919878,1.1262259485622321,1.1249004831960645,1.1267155076537256,0.4566163609999876,0.4562711150000496,0.4572376639999334,28.478824282999994,28.46771841900005,28.51261208699998,10.702352,10.701774,10.70263,0.088534,0.088522,0.088542,10.790941,10.790296,10.791172,0.012288,0.012288,0.016384,787.857408,787.84512,787.8656,787.869696,787.861504,787.873792,0.0011866208679905958,0.0011846959056838703,0.0011962160991628198,0.005703753263463618,0.005690773647874847,0.00571107892523437,0.00024837334504745293,0.00024754515497824644,0.00025004246795194175,0.0006404847085317578,0.0006361076566584745,0.0006524491271218402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.10515997225791301,0.10515997225791301,0.10515997225791301,8192.0,8192.0,8192.0,4096.0,4096.0,4096.0,217.0,217.0,217.0,218.0,218.0,218.0,29.0,29.0,29.0,1.0,1.0,1.0
101,64,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,square_n8192_scale29,paper_candidate,"[36, 29, 29, 29, 29, 29, 36]",SEAL default TC128 parameter validation,0.3448276940000028,0.3448276940000028,0.3448276940000028,61.267968,61.267968,61.267968,3.898863,3.898863,3.898863,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,64.0,64.0,64.0,0.015625,0.015625,0.015625,23.0,23.0,23.0,1.0,1.0,1.0,0.25203627000001916,0.2513989280000146,0.2530459350000456,0.21101027399998884,0.20971380599996792,0.21312427300000536,0.07001697499998727,0.06809040999996796,0.07435693500002571,28.545471929999962,28.475700357999983,28.55297141599999,0.0018883349999896382,0.0018823590000920376,0.0019002669999963473,0.0012168709999968996,0.0011658889999921485,0.0012549369999987903,29.08645092799992,29.01675481700005,29.087860846999945,0.45447579574999875,0.45338679401562576,0.45449782573437414,2.2003372002457247,2.200230547603187,2.205622248374388,2.242036851131509,2.2414479763789785,2.24753032218292,0.4666975240000397,0.46609389999997575,0.4667990209999857,28.620357027999944,28.55005729300001,28.62106182599996,10.702505,10.702226,10.703537,0.088532,0.088529,0.088534,10.791037,10.790854,10.792071,0.004096,0.004096,0.012288,788.033536,788.033536,788.033536,788.037632,788.037632,788.692992,0.0013468957802493227,0.001345880323725113,0.0013547845252183002,0.005971435560581995,0.005899678186403801,0.006027355174772708,0.00028702078460082726,0.00028697330439040377,0.0002890692535002853,0.0008574660578015147,0.00083987204551772,0.0008588455937342254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.10357098434692374,0.10357098434692374,0.10357098434692374,8192.0,8192.0,8192.0,4096.0,4096.0,4096.0,217.0,217.0,217.0,218.0,218.0,218.0,29.0,29.0,29.0,1.0,1.0,1.0
101,128,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,square_n8192_scale29,paper_candidate,"[36, 29, 29, 29, 29, 29, 36]",SEAL default TC128 parameter validation,0.3448276940000028,0.3448276940000028,0.3448276940000028,61.267968,61.267968,61.267968,3.898863,3.898863,3.898863,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,128.0,128.0,128.0,0.03125,0.03125,0.03125,23.0,23.0,23.0,1.0,1.0,1.0,0.29778437199991004,0.29777980000005755,0.2986240520000365,0.20737436000001708,0.20702219099996455,0.20796878900000593,0.06786313899999641,0.06678154800010816,0.07111603200007721,28.209807607000016,28.18393479100007,28.276245176999964,0.0019883729999037314,0.0019561160000876043,0.0019978299999365845,0.0012245490000850623,0.0011828560000139987,0.0012443849999499434,28.78572165799983,28.759028106000187,28.855737748000138,0.22488845045312367,0.22467990707812646,0.22543545115625108,4.4466489852418745,4.435859554790662,4.450776275478326,4.537429031179848,4.526767935373393,4.541594385212459,0.5083765390000963,0.5080509119998169,0.509565938000037,28.277670746000013,28.248529483000084,28.34736120900004,10.703228,10.702531,10.70341,0.08854,0.088534,0.08857,10.79182,10.791071,10.791944,0.004096,0.004096,0.004096,788.795392,788.795392,788.795392,788.799488,788.799488,788.799488,0.0013755364364338373,0.0013749127145259907,0.0013767495217469976,0.006973713052387698,0.006941050612152111,0.007039057393520398,0.00028742512742623927,0.0002872297823536639,0.00028784795173178023,0.0008551256429445986,0.000830550084848114,0.0008552368377640063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.10046609630690279,0.10046609630690279,0.10046609630690279,8192.0,8192.0,8192.0,4096.0,4096.0,4096.0,217.0,217.0,217.0,218.0,218.0,218.0,29.0,29.0,29.0,1.0,1.0,1.0
101,256,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,square_n8192_scale29,paper_candidate,"[36, 29, 29, 29, 29, 29, 36]",SEAL default TC128 parameter validation,0.3448276940000028,0.3448276940000028,0.3448276940000028,61.267968,61.267968,61.267968,3.898863,3.898863,3.898863,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,256.0,256.0,256.0,0.0625,0.0625,0.0625,23.0,23.0,23.0,1.0,1.0,1.0,0.2935117670000409,0.2932311719999916,0.2953032279999661,0.20134834399993906,0.19875493500001085,0.20158460500010733,0.061926575000029516,0.06059423500005323,0.06246016900001905,27.525691351999967,27.508901551000008,27.54947482099999,0.002004198000008728,0.0019973900000422873,0.0020638529999814637,0.001242685000079291,0.0012258219999239373,0.0012544149999484944,28.088262566000026,28.067458213999885,28.10456806800005,0.1097197756484376,0.10963850864843705,0.10978346901562519,9.114127276419016,9.108839508958063,9.120882911738288,9.300402185226112,9.292373145525819,9.306078598790647,0.4979624279998234,0.4952897319999465,0.5001110450000397,27.588151520999986,27.56949578600006,27.609918892999985,10.702062,10.701728,10.702598,0.088574,0.088514,0.088589,10.790651,10.790302,10.791105,0.004096,0.004096,0.004096,790.020096,790.020096,790.020096,790.024192,790.024192,790.024192,0.0013374162851166257,0.0013372524503993022,0.0013376805152257721,0.008925615148769328,0.008913046811536596,0.008932994515163273,0.0002792792676927642,0.0002791876882497973,0.00027929197997273803,0.0008517828031726071,0.0008452542234894111,0.0008587896037876575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.10041903774733726,0.10041903774733726,0.10041903774733726,8192.0,8192.0,8192.0,4096.0,4096.0,4096.0,217.0,217.0,217.0,218.0,218.0,218.0,29.0,29.0,29.0,1.0,1.0,1.0
101,512,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,square_n8192_scale29,paper_candidate,"[36, 29, 29, 29, 29, 29, 36]",SEAL default TC128 parameter validation,0.3448276940000028,0.3448276940000028,0.3448276940000028,61.267968,61.267968,61.267968,3.898863,3.898863,3.898863,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,512.0,512.0,512.0,0.125,0.125,0.125,23.0,23.0,23.0,1.0,1.0,1.0,0.2992503110000371,0.297118423000029,0.30078699000000597,0.20591635400000996,0.20218383200005974,0.2071098549999988,0.06626610999990135,0.0620559650000132,0.06742558600001303,27.799964734000014,27.712895817000003,27.827754127999924,0.001969929999972919,0.0018962160000910444,0.0020612150000260954,0.0012542460000304345,0.0012495250000483793,0.0012686680000797423,28.37560155100016,28.292305694999868,28.396074139000007,0.055421096779297185,0.05525840956054662,0.05546108230273439,18.043670336988978,18.030661474319935,18.0967930121894,18.417289550508382,18.398897648906285,18.475153350301355,0.5073787400001493,0.5069936419999976,0.5100520600000209,27.86822281100001,27.779161926999905,27.88908049700001,10.702862,10.702751,10.702907,0.088538,0.088508,0.088561,10.791423,10.791259,10.79147,0.004096,0.004096,0.004096,790.3232,790.3232,790.3232,790.327296,790.327296,790.327296,0.001417348301857819,0.001416813482793033,0.0014183159455306332,0.009023778527263548,0.009013178928619414,0.00907957019982275,0.00028947009845497085,0.0002892871084581108,0.0002896926261300347,0.0008870638565648958,0.0008773430779404068,0.0008909738000406064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.10041903774733726,0.10041903774733726,0.10041903774733726,8192.0,8192.0,8192.0,4096.0,4096.0,4096.0,217.0,217.0,217.0,218.0,218.0,218.0,29.0,29.0,29.0,1.0,1.0,1.0
101,1024,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,square_n8192_scale29,paper_candidate,"[36, 29, 29, 29, 29, 29, 36]",SEAL default TC128 parameter validation,0.3448276940000028,0.3448276940000028,0.3448276940000028,61.267968,61.267968,61.267968,3.898863,3.898863,3.898863,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1024.0,1024.0,1024.0,0.25,0.25,0.25,23.0,23.0,23.0,1.0,1.0,1.0,0.30009952199998224,0.29980625899997904,0.3021961150000152,0.2021082830000296,0.20127154800002245,0.20490659300003244,0.06357789500020772,0.06250650499998756,0.06398337299992818,27.566382568999984,27.403798854000115,27.759479340999974,0.001954546999968443,0.0019105439999975715,0.0020573830001922033,0.0012980669999933525,0.0012832840000100987,0.0013453629999276018,28.133560053999872,27.980863321000243,28.322498909999922,0.02747417974023425,0.0273250618369143,0.0276586903417968,36.397810943034685,36.15500183278153,36.59644051195039,37.14669479888696,36.88829993607195,37.36708204054444,0.5076563510000369,0.5046709799999007,0.5077121640001678,27.62888907399997,27.467376749000323,27.819852580999964,10.702558,10.702496,10.702819,0.088523,0.088517,0.08854,10.791191,10.791036,10.791342,0.004096,0.004096,0.004096,790.97856,790.97856,790.97856,790.982656,790.982656,790.986752,0.0013880500475005999,0.0013879069658079195,0.0013888821835402266,0.011993627580237476,0.011983134510567872,0.012003221170403311,0.0002859228378991514,0.0002858888573929585,0.00028609611334629834,0.0008780703889278985,0.000870636024403515,0.000890775767080243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.1001686202789549,0.1001686202789549,0.1001686202789549,8192.0,8192.0,8192.0,4096.0,4096.0,4096.0,217.0,217.0,217.0,218.0,218.0,218.0,29.0,29.0,29.0,1.0,1.0,1.0
202,32,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,square_n8192_scale29,paper_candidate,"[36, 29, 29, 29, 29, 29, 36]",SEAL default TC128 parameter validation,0.2815133470001001,0.2815133470001001,0.2815133470001001,3.084288,3.084288,3.084288,3.898029,3.898029,3.898029,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32.0,32.0,32.0,0.0078125,0.0078125,0.0078125,23.0,23.0,23.0,1.0,1.0,1.0,0.24364850599999954,0.23948319400005857,0.24437563899982706,0.2028051790000518,0.20251864199985903,0.20334208500003115,0.06128215600006115,0.06074763899982827,0.06227608499989401,27.656629473000066,27.644650900999977,27.664553871999942,0.0019059690000631235,0.0018876460001138184,0.0019247429997903964,0.0012429660000634613,0.0012253560000772268,0.0012661690000186354,28.168223059000184,28.154737825999746,28.171095551000008,0.8802569705937557,0.8798355570624921,0.8803467359687502,1.136031901372476,1.135916064821415,1.136576024886629,1.157046270994091,1.1567148397931724,1.157547625202331,0.44933928599994033,0.44599723200008157,0.45031143000005613,27.717911629000128,27.705398539999806,27.725098318999926,10.702353,10.702152,10.702775,0.088562,0.088535,0.088586,10.790864,10.790742,10.791337,0.004096,0.004096,0.004096,794.19392,794.19392,794.19392,794.198016,794.198016,794.198016,0.001649449229545498,0.001644909850523475,0.0016553829274607002,0.006811482595742824,0.006754409211296775,0.006828360012464341,0.0003247602172069689,0.0003233310188973928,0.00032569001919113263,0.0007869668069828695,0.0007850112095690864,0.0007870054489482747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.1021427504697014,0.1021427504697014,0.1021427504697014,8192.0,8192.0,8192.0,4096.0,4096.0,4096.0,217.0,217.0,217.0,218.0,218.0,218.0,29.0,29.0,29.0,1.0,1.0,1.0
202,64,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,square_n8192_scale29,paper_candidate,"[36, 29, 29, 29, 29, 29, 36]",SEAL default TC128 parameter validation,0.2815133470001001,0.2815133470001001,0.2815133470001001,3.084288,3.084288,3.084288,3.898029,3.898029,3.898029,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,64.0,64.0,64.0,0.015625,0.015625,0.015625,23.0,23.0,23.0,1.0,1.0,1.0,0.2475443200000882,0.24623264000001654,0.2528605790000711,0.20523574000003464,0.20377373399992393,0.20594196600018222,0.06293379900012042,0.06293170399999326,0.06457929999987755,27.88024161599992,27.80568011000014,27.961254985999858,0.001965504999816403,0.0019263110000338202,0.001974211999822728,0.001216516000113188,0.0011799650001194095,0.0013365610000164452,28.40146137900001,28.32833833000018,28.477382406999823,0.4437728340468752,0.4426302864062528,0.44495910010937223,2.2534051732746923,2.247397569246695,2.2592218171943723,2.295532473551867,2.2888815266712697,2.301687991331771,0.45664046300021255,0.4540567720000581,0.45972442099991895,27.9448209159998,27.86861390900026,28.023325634999765,10.703121,10.703104,10.703515,0.08855,0.088545,0.088584,10.791666,10.791654,10.792131,0.004096,0.004096,0.004096,794.19392,794.19392,794.19392,794.198016,794.198016,794.198016,0.0015639340977777754,0.0015615544240787412,0.0015688640039246541,0.006814608902098396,0.00677702725190521,0.006847636922868716,0.00031660400463128977,0.00031643317352357514,0.00031791701504604907,0.000787601470059407,0.0007873954994276344,0.0007897981735324189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.1010135602067565,0.1010135602067565,0.1010135602067565,8192.0,8192.0,8192.0,4096.0,4096.0,4096.0,217.0,217.0,217.0,218.0,218.0,218.0,29.0,29.0,29.0,1.0,1.0,1.0
202,128,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,square_n8192_scale29,paper_candidate,"[36, 29, 29, 29, 29, 29, 36]",SEAL default TC128 parameter validation,0.2815133470001001,0.2815133470001001,0.2815133470001001,3.084288,3.084288,3.084288,3.898029,3.898029,3.898029,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,128.0,128.0,128.0,0.03125,0.03125,0.03125,23.0,23.0,23.0,1.0,1.0,1.0,0.29434191799987275,0.2927194310000232,0.29619856599993,0.2017651730000125,0.2017347119999613,0.20214320199988833,0.06214773400006379,0.06194493499992859,0.06295329499994295,27.437893967000036,27.394693295000025,27.49632537499997,0.001868092999984583,0.0018564489998880163,0.0018816169999809063,0.0012270889999399515,0.0011996690000160015,0.0012273919999188365,27.99594395700001,27.95503189499982,28.060213731999966,0.21871831216406257,0.2183986866796861,0.21922041978124973,4.572090878471534,4.5616188537448075,4.578782112671985,4.66508107925293,4.655167490721481,4.672437782808179,0.49917211499973746,0.4975658900000326,0.5017406229999324,27.50404794300016,27.455859780000083,27.558473109000033,10.702767,10.702181,10.702867,0.088581,0.088567,0.088596,10.79126,10.790748,10.791474,0.004096,0.004096,0.004096,794.19392,794.19392,794.19392,794.198016,794.198016,794.198016,0.0014452369661547256,0.001440724222415108,0.0014463813068611511,0.00786188271302235,0.007816066956868095,0.007900543950499106,0.0002945744769895579,0.00029363556745696487,0.00029467859467142813,0.000787418416831831,0.0007858983481875415,0.0007883201030817188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.1010135602067565,0.1010135602067565,0.1010135602067565,8192.0,8192.0,8192.0,4096.0,4096.0,4096.0,217.0,217.0,217.0,218.0,218.0,218.0,29.0,29.0,29.0,1.0,1.0,1.0
202,256,5,0.3.16,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,client_only,one context per benchmark run; reuse across queries,square_n8192_scale29,paper_candidate,"[36, 29, 29, 29, 29, 29, 36]",SEAL default TC128 parameter validation,0.2815133470001001,0.2815133470001001,0.2815133470001001,3.084288,3.084288,3.084288,3.898029,3.898029,3.898029,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,256.0,256.0,256.0,0.0625,0.0625,0.0625,23.0,23.0,23.0,1.0,1.0,1.0,0.2929838570000811,0.2917473059999338,0.2932156290000876,0.20165450800004692,0.20099588700009008,0.2043296740000642,0.06336786999986543,0.06264637200001744,0.06549965199997132,27.447597308000013,27.338677880999967,27.45306431500012,0.0018844639998860657,0.0018813110000337474,0.0019052110001211986,0.0012752789998558,0.0012488299998949515,0.0013041269999121141,28.014042335000568,27.91338259699978,28.01489654499983,0.10942985287109597,0.1090366507695304,0.10943318962890558,9.138274189018242,9.13799555135932,9.171228141569474,9.326863737008592,9.32500638408237,9.364022690282209,0.4983316480004305,0.49597470600019733,0.4989771639998253,27.51096517799988,27.414405432999956,27.515710687000137,10.702772,10.702585,10.702894,0.088576,0.088573,0.088577,10.79133,10.791158,10.791478,0.004096,0.004096,0.004096,794.19392,794.19392,794.19392,794.198016,794.198016,794.198016,0.0014012245153354184,0.0013985408010111563,0.0014015491164464527,0.007858119238291383,0.007800979380053974,0.007865903319210332,0.00028603962039312693,0.00028545925174189096,0.00028613640437892877,0.0007850937887694531,0.0007849131434591872,0.0007863260642809733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.025,0.025,0.025,0.10045346837267088,0.10045346837267088,0.10045346837267088,8192.0,8192.0,8192.0,4096.0,4096.0,4096.0,217.0,217.0,217.0,218.0,218.0,218.0,29.0,29.0,29.0,1.0,1.0,1.0
