metric,mean,std
accuracy,0.8771281553143172,0.0
precision,0.27478784560635094,0.0
recall,0.478273299028016,0.0
f1,0.3490385618415105,0.0
roc_auc,0.8391716737638617,0.0
f2,0.41657675005394995,0.0
pr_auc,0.29431646370957343,0.0
specificity,0.9066315166210844,0.0
negative_predictive_value,0.9591713461151257,0.0
false_positive_rate,0.09336848337891561,0.0
false_negative_rate,0.521726700971984,0.0
gmean_sensitivity_specificity,0.6584965045139872,0.0
balanced_accuracy,0.6924524078245502,0.0
mcc,0.30008668674062744,0.0
prevalence,0.06887544138302201,0.0
predicted_positive_rate,0.11987897244719813,0.0
