attack_seed,stage,membership,rows,class_0,class_1
101,calibration,member,1000,931,69
101,calibration,nonmember,1000,931,69
101,evaluation,member,1000,931,69
101,evaluation,nonmember,1000,931,69
202,calibration,member,1000,931,69
202,calibration,nonmember,1000,931,69
202,evaluation,member,1000,931,69
202,evaluation,nonmember,1000,931,69
303,calibration,member,1000,931,69
303,calibration,nonmember,1000,931,69
303,evaluation,member,1000,931,69
303,evaluation,nonmember,1000,931,69
404,calibration,member,1000,931,69
404,calibration,nonmember,1000,931,69
404,evaluation,member,1000,931,69
404,evaluation,nonmember,1000,931,69
505,calibration,member,1000,931,69
505,calibration,nonmember,1000,931,69
505,evaluation,member,1000,931,69
505,evaluation,nonmember,1000,931,69
606,calibration,member,1000,931,69
606,calibration,nonmember,1000,931,69
606,evaluation,member,1000,931,69
606,evaluation,nonmember,1000,931,69
707,calibration,member,1000,931,69
707,calibration,nonmember,1000,931,69
707,evaluation,member,1000,931,69
707,evaluation,nonmember,1000,931,69
808,calibration,member,1000,931,69
808,calibration,nonmember,1000,931,69
808,evaluation,member,1000,931,69
808,evaluation,nonmember,1000,931,69
909,calibration,member,1000,931,69
909,calibration,nonmember,1000,931,69
909,evaluation,member,1000,931,69
909,evaluation,nonmember,1000,931,69
1010,calibration,member,1000,931,69
1010,calibration,nonmember,1000,931,69
1010,evaluation,member,1000,931,69
1010,evaluation,nonmember,1000,931,69
