dataset,variant,attack_seed,sensitive_feature,attribute_kind,attack_metric,attack_value,trivial_baseline_value
heartplus,countergan,101,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4555799755799756,0.25
heartplus,dp_eps16,101,Diabetic,categorical_or_ordinal,balanced_accuracy,0.38045787545787546,0.25
heartplus,dp_eps8,101,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4436263736263736,0.25
heartplus,dp_eps4,101,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4087851037851038,0.25
heartplus,dp_eps2,101,Diabetic,categorical_or_ordinal,balanced_accuracy,0.39553724053724054,0.25
heartplus,countergan,202,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4076485495524641,0.25
heartplus,dp_eps16,202,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4323976142481481,0.25
heartplus,dp_eps8,202,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4172334486391425,0.25
heartplus,dp_eps4,202,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4767372603671536,0.25
heartplus,dp_eps2,202,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4400807970202988,0.25
heartplus,countergan,303,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3503386307499493,0.25
heartplus,dp_eps16,303,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3213632412144664,0.25
heartplus,dp_eps8,303,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3833442207129488,0.25
heartplus,dp_eps4,303,Diabetic,categorical_or_ordinal,balanced_accuracy,0.34449975399508653,0.25
heartplus,dp_eps2,303,Diabetic,categorical_or_ordinal,balanced_accuracy,0.34671275934403123,0.25
heartplus,countergan,404,Diabetic,categorical_or_ordinal,balanced_accuracy,0.42698421388812846,0.25
heartplus,dp_eps16,404,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4437444109864039,0.25
heartplus,dp_eps8,404,Diabetic,categorical_or_ordinal,balanced_accuracy,0.39641345013231133,0.25
heartplus,dp_eps4,404,Diabetic,categorical_or_ordinal,balanced_accuracy,0.6033041335888312,0.25
heartplus,dp_eps2,404,Diabetic,categorical_or_ordinal,balanced_accuracy,0.5333000273747605,0.25
heartplus,countergan,505,Diabetic,categorical_or_ordinal,balanced_accuracy,0.33543691545938015,0.25
heartplus,dp_eps16,505,Diabetic,categorical_or_ordinal,balanced_accuracy,0.43031091448132525,0.25
heartplus,dp_eps8,505,Diabetic,categorical_or_ordinal,balanced_accuracy,0.46468190292805184,0.25
heartplus,dp_eps4,505,Diabetic,categorical_or_ordinal,balanced_accuracy,0.41909919616113456,0.25
heartplus,dp_eps2,505,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3156037960755547,0.25
heartplus,countergan,606,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3932679539870819,0.25
heartplus,dp_eps16,606,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3763877984562927,0.25
heartplus,dp_eps8,606,Diabetic,categorical_or_ordinal,balanced_accuracy,0.37801718959095487,0.25
heartplus,dp_eps4,606,Diabetic,categorical_or_ordinal,balanced_accuracy,0.41033247606342216,0.25
heartplus,dp_eps2,606,Diabetic,categorical_or_ordinal,balanced_accuracy,0.38166119091121264,0.25
heartplus,countergan,707,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3539943305488159,0.25
heartplus,dp_eps16,707,Diabetic,categorical_or_ordinal,balanced_accuracy,0.2991096871895914,0.25
heartplus,dp_eps8,707,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3533538372604257,0.25
heartplus,dp_eps4,707,Diabetic,categorical_or_ordinal,balanced_accuracy,0.34845888087367627,0.25
heartplus,dp_eps2,707,Diabetic,categorical_or_ordinal,balanced_accuracy,0.31825222679975895,0.25
heartplus,countergan,808,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3949303832368349,0.25
heartplus,dp_eps16,808,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4098135511441963,0.25
heartplus,dp_eps8,808,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3878601461262751,0.25
heartplus,dp_eps4,808,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3778122415219189,0.25
heartplus,dp_eps2,808,Diabetic,categorical_or_ordinal,balanced_accuracy,0.39707919768403643,0.25
heartplus,countergan,909,Diabetic,categorical_or_ordinal,balanced_accuracy,0.35310643984388257,0.25
heartplus,dp_eps16,909,Diabetic,categorical_or_ordinal,balanced_accuracy,0.38984494315289325,0.25
heartplus,dp_eps8,909,Diabetic,categorical_or_ordinal,balanced_accuracy,0.373620184965213,0.25
heartplus,dp_eps4,909,Diabetic,categorical_or_ordinal,balanced_accuracy,0.3908206770744952,0.25
heartplus,dp_eps2,909,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4123207619209231,0.25
heartplus,countergan,1010,Diabetic,categorical_or_ordinal,balanced_accuracy,0.35531341716103976,0.25
heartplus,dp_eps16,1010,Diabetic,categorical_or_ordinal,balanced_accuracy,0.38918534528102733,0.25
heartplus,dp_eps8,1010,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4053219866882737,0.25
heartplus,dp_eps4,1010,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4017300988982543,0.25
heartplus,dp_eps2,1010,Diabetic,categorical_or_ordinal,balanced_accuracy,0.4232542691020672,0.25
