dataset,variant,metric,mean,sd,ci95_low,ci95_high,attack_seeds
heartplus,countergan,exact_match_rate,0.0,0.0,0.0,0.0,10
heartplus,countergan,near_duplicate_rate_0_001,0.0001,0.00031622776601683794,0.0,0.00030000000000000003,10
heartplus,countergan,near_duplicate_rate_0_01,0.001,0.0012472191289246471,0.00030000000000000003,0.0018,10
heartplus,countergan,dcr_mean,0.12890669609398442,0.0015774377745360084,0.12799758884551382,0.12985456324866942,10
heartplus,countergan,dcr_median,0.12237646059263758,0.0013376465155616791,0.12161498588871811,0.12318936770305774,10
heartplus,countergan,dcr_p01,0.030160691925295986,0.001840580558428689,0.02907778635755601,0.031271919242800816,10
heartplus,countergan,dcr_p05,0.056112878502636646,0.0015536649221733773,0.05524394452461583,0.05705698411674563,10
heartplus,countergan,nndr_mean,0.8567841468583316,0.004050419665754544,0.8544758753275864,0.8592053861667899,10
heartplus,countergan,nndr_median,0.8960176765396511,0.0040967864862602186,0.8937563803571462,0.8985187402762072,10
heartplus,countergan,train_to_holdout_dcr_ratio_median,0.9813423714341389,0.00737525446653532,0.9769372145375148,0.9854444602325717,10
heartplus,dp_eps16,exact_match_rate,0.0,0.0,0.0,0.0,10
heartplus,dp_eps16,near_duplicate_rate_0_001,0.0039000000000000007,0.002183269719175042,0.0026000000000000003,0.005200000000000001,10
heartplus,dp_eps16,near_duplicate_rate_0_01,0.03530000000000001,0.00490011337737313,0.032200000000000006,0.0381,10
heartplus,dp_eps16,dcr_mean,0.10065716666377242,0.0011506815099494433,0.09998709648331228,0.10131427058078776,10
heartplus,dp_eps16,dcr_median,0.0902700166251438,0.002726224266478278,0.08866566104772418,0.09185643212466839,10
heartplus,dp_eps16,dcr_p01,0.0029203087275163123,0.0008642071059775683,0.0024601618333618827,0.003456436545933562,10
heartplus,dp_eps16,dcr_p05,0.01520906761587916,0.0019151351042631048,0.014110713916891332,0.0163395546694873,10
heartplus,dp_eps16,nndr_mean,0.8075506399388486,0.00368518797344638,0.8052464507122844,0.8095497587300365,10
heartplus,dp_eps16,nndr_median,0.8678093441856388,0.005362212833789372,0.8648422968407351,0.8710890935594741,10
heartplus,dp_eps16,train_to_holdout_dcr_ratio_median,0.9994640812819059,0.013556005176890382,0.9920529005946995,1.0077605137752412,10
heartplus,dp_eps2,exact_match_rate,0.0,0.0,0.0,0.0,10
heartplus,dp_eps2,near_duplicate_rate_0_001,0.0016,0.0009660917830792959,0.0010000000000000002,0.0021999999999999997,10
heartplus,dp_eps2,near_duplicate_rate_0_01,0.0241,0.0037549966711037178,0.021899999999999996,0.0263,10
heartplus,dp_eps2,dcr_mean,0.10195440884735882,0.0017800509639095171,0.1008557699395458,0.1029565161496519,10
heartplus,dp_eps2,dcr_median,0.0867976202222301,0.0030546344508758736,0.0850948400662208,0.08865812086829873,10
heartplus,dp_eps2,dcr_p01,0.004882260619761897,0.0008449448509342999,0.004362191157273939,0.005372631927474596,10
heartplus,dp_eps2,dcr_p05,0.01822417629944367,0.000819766787857957,0.017821046268891697,0.01877671502714063,10
heartplus,dp_eps2,nndr_mean,0.8170571515228028,0.00536057596457284,0.8137644532388806,0.8200112679328613,10
heartplus,dp_eps2,nndr_median,0.8697339257183815,0.007609720939901218,0.8648704522056455,0.8737101644319865,10
heartplus,dp_eps2,train_to_holdout_dcr_ratio_median,0.9847133896161904,0.012338622756931223,0.9772497559330443,0.9915973211098713,10
heartplus,dp_eps4,exact_match_rate,0.0,0.0,0.0,0.0,10
heartplus,dp_eps4,near_duplicate_rate_0_001,0.005200000000000001,0.002097617696340303,0.004000000000000001,0.006499999999999999,10
heartplus,dp_eps4,near_duplicate_rate_0_01,0.04039999999999999,0.005910442735813734,0.0367975,0.043699999999999996,10
