dataset,variant,attack,attack_seed,calibration_rows_per_group,evaluation_rows_per_group,latent_draws,calibration_raw_auc,orientation_selected_on_calibration,calibration_threshold,evaluation_auc,evaluation_accuracy,evaluation_balanced_accuracy,evaluation_tpr_at_calibrated_threshold,evaluation_fpr_at_calibrated_threshold,evaluation_membership_advantage,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05
heartplus,countergan,single_draw_loss_threshold,101,1000,1000,16,0.490548,-1,0.18140824139118195,0.512004,0.505,0.505,0.421,0.411,0.010000000000000009,0.001,0.011,0.049
heartplus,countergan,multi_draw_reconstruction,101,1000,1000,16,0.48935100000000004,-1,0.13565894961357117,0.509251,0.4985,0.4985,0.491,0.494,-0.0030000000000000027,0.001,0.009,0.05
heartplus,countergan,multi_draw_mean_objective,101,1000,1000,16,0.48844199999999993,-1,0.158512681722641,0.5116825,0.507,0.507,0.504,0.49,0.014000000000000012,0.001,0.01,0.046
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.5088105,1,0.05611286149776262,0.5004645,0.49,0.49,0.268,0.288,-0.019999999999999962,0.005,0.018,0.052
heartplus,countergan,released_discriminator_score,101,1000,1000,0,0.486402,-1,-4.218837261199951,0.494328,0.4985,0.4985,0.646,0.649,-0.0030000000000000027,0.0,0.007,0.06
heartplus,dp_eps16,single_draw_loss_threshold,101,1000,1000,16,0.49854000000000004,-1,1.1420114040374756,0.49547700000000006,0.4975,0.49750000000000005,0.443,0.448,-0.0050000000000000044,0.003,0.015,0.052
heartplus,dp_eps16,multi_draw_reconstruction,101,1000,1000,16,0.492306,-1,0.15035974979400635,0.500019,0.4935,0.4935,0.754,0.767,-0.013000000000000012,0.004,0.011,0.054
heartplus,dp_eps16,multi_draw_mean_objective,101,1000,1000,16,0.49356999999999995,-1,0.5759435892105103,0.499707,0.4905,0.49050000000000005,0.673,0.692,-0.018999999999999906,0.005,0.012,0.057
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.524741,1,0.010831932344885692,0.477987,0.486,0.486,0.44,0.468,-0.028000000000000025,0.0,0.006,0.04
heartplus,dp_eps16,released_discriminator_score,101,1000,1000,0,0.497588,-1,-9.109538078308105,0.508196,0.4955,0.4955,0.938,0.947,-0.009000000000000008,0.003,0.009,0.044
heartplus,dp_eps8,single_draw_loss_threshold,101,1000,1000,16,0.497716,-1,0.4109504818916321,0.49196,0.4885,0.4885,0.696,0.719,-0.02300000000000002,0.0,0.012,0.061
heartplus,dp_eps8,multi_draw_reconstruction,101,1000,1000,16,0.488321,-1,0.20926085114479065,0.49664500000000006,0.491,0.491,0.656,0.674,-0.018000000000000016,0.002,0.011,0.053
heartplus,dp_eps8,multi_draw_mean_objective,101,1000,1000,16,0.49167800000000006,-1,0.8087974786758423,0.498374,0.501,0.501,0.555,0.553,0.0020000000000000018,0.001,0.008,0.062
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.5196459999999999,1,-0.010631677105818305,0.49905049999999995,0.4845,0.4845,0.59,0.621,-0.031000000000000028,0.007,0.021,0.073
heartplus,dp_eps8,released_discriminator_score,101,1000,1000,0,0.497853,-1,1.2542058229446411,0.5101439999999999,0.502,0.502,0.162,0.158,0.0040000000000000036,0.001,0.008,0.04
heartplus,dp_eps4,single_draw_loss_threshold,101,1000,1000,16,0.492908,-1,0.6241427063941956,0.497537,0.4955,0.4955,0.636,0.645,-0.009000000000000008,0.002,0.017,0.064
heartplus,dp_eps4,multi_draw_reconstruction,101,1000,1000,16,0.490738,-1,0.6167094707489014,0.49780099999999994,0.4955,0.49550000000000005,0.523,0.532,-0.009000000000000008,0.006,0.016,0.053
heartplus,dp_eps4,multi_draw_mean_objective,101,1000,1000,16,0.493807,-1,0.6710894107818604,0.50214,0.4925,0.4925,0.597,0.612,-0.015000000000000013,0.006,0.009,0.06
heartplus,dp_eps4,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.5259090000000001,1,0.011761425163551886,0.48646400000000006,0.484,0.484,0.412,0.444,-0.03200000000000003,0.001,0.014,0.06
heartplus,dp_eps4,released_discriminator_score,101,1000,1000,0,0.49866099999999997,-1,-6.644094944000244,0.506148,0.5015,0.5015,0.842,0.839,0.0030000000000000027,0.002,0.013,0.053
heartplus,dp_eps2,single_draw_loss_threshold,101,1000,1000,16,0.480236,-1,0.4969734847545624,0.494828,0.4905,0.4905,0.58,0.599,-0.019000000000000017,0.001,0.009,0.052
heartplus,dp_eps2,multi_draw_reconstruction,101,1000,1000,16,0.492004,-1,0.15257692337036133,0.49379300000000004,0.494,0.494,0.602,0.614,-0.01200000000000001,0.001,0.007,0.048
heartplus,dp_eps2,multi_draw_mean_objective,101,1000,1000,16,0.486857,-1,0.40636613965034485,0.49663900000000005,0.4995,0.49950000000000006,0.656,0.657,-0.0010000000000000009,0.001,0.008,0.053
heartplus,dp_eps2,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.513225,1,0.013934381778232141,0.4973155,0.499,0.499,0.444,0.446,-0.0020000000000000018,0.004,0.016,0.048
heartplus,dp_eps2,released_discriminator_score,101,1000,1000,0,0.495792,-1,-7.525521278381348,0.49997800000000003,0.4985,0.4985,0.854,0.857,-0.0030000000000000027,0.0,0.014,0.055
heartplus,countergan,single_draw_loss_threshold,202,1000,1000,16,0.514925,1,-0.44185739755630493,0.502829,0.5025,0.5025,0.755,0.75,0.0050000000000000044,0.0,0.014,0.05
heartplus,countergan,multi_draw_reconstruction,202,1000,1000,16,0.52249,1,-0.17134766280651093,0.5021399999999999,0.4975,0.4975,0.636,0.641,-0.0050000000000000044,0.001,0.018,0.053
heartplus,countergan,multi_draw_mean_objective,202,1000,1000,16,0.521628,1,-0.15430858731269836,0.504996,0.5115,0.5115000000000001,0.485,0.462,0.022999999999999965,0.0,0.014,0.049
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,202,1000,1000,16,0.515996,1,0.09386677033177948,0.487286,0.5005,0.5005,0.748,0.747,0.0010000000000000009,0.003,0.009,0.047
heartplus,countergan,released_discriminator_score,202,1000,1000,0,0.46579250000000005,-1,-2.9348762035369873,0.513766,0.518,0.518,0.442,0.406,0.035999999999999976,0.002,0.016,0.033
heartplus,dp_eps16,single_draw_loss_threshold,202,1000,1000,16,0.515713,1,-1.8813600540161133,0.503708,0.4925,0.4925,0.723,0.738,-0.015000000000000013,0.003,0.01,0.063
heartplus,dp_eps16,multi_draw_reconstruction,202,1000,1000,16,0.5244800000000001,1,-1.2019789218902588,0.501916,0.4905,0.49050000000000005,0.648,0.667,-0.019000000000000017,0.002,0.011,0.058
heartplus,dp_eps16,multi_draw_mean_objective,202,1000,1000,16,0.518849,1,-1.6951361894607544,0.5063975000000001,0.4895,0.48950000000000005,0.676,0.697,-0.020999999999999908,0.005,0.013,0.066
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,202,1000,1000,16,0.5244815,1,-0.01607573598607738,0.501916,0.4905,0.49050000000000005,0.648,0.667,-0.019000000000000017,0.002,0.011,0.058
heartplus,dp_eps16,released_discriminator_score,202,1000,1000,0,0.4585575,-1,-2.7337021827697754,0.508473,0.5095,0.5095000000000001,0.501,0.482,0.019000000000000017,0.004,0.013,0.051
heartplus,dp_eps8,single_draw_loss_threshold,202,1000,1000,16,0.525437,1,-0.28108009696006775,0.511072,0.504,0.504,0.256,0.248,0.008000000000000007,0.0,0.009,0.069
heartplus,dp_eps8,multi_draw_reconstruction,202,1000,1000,16,0.526547,1,-0.4222441017627716,0.507316,0.513,0.513,0.461,0.435,0.026000000000000023,0.0,0.013,0.053
heartplus,dp_eps8,multi_draw_mean_objective,202,1000,1000,16,0.527102,1,-0.9842187166213989,0.5109440000000001,0.5195,0.5195000000000001,0.551,0.512,0.039000000000000035,0.0,0.016,0.052
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,202,1000,1000,16,0.5265475,1,0.06753645039294481,0.5073165,0.513,0.513,0.461,0.435,0.026000000000000023,0.0,0.013,0.053
heartplus,dp_eps8,released_discriminator_score,202,1000,1000,0,0.4648035,-1,-0.6589094400405884,0.510759,0.504,0.504,0.293,0.285,0.008000000000000007,0.003,0.013,0.059
heartplus,dp_eps4,single_draw_loss_threshold,202,1000,1000,16,0.524559,1,-1.0447825193405151,0.506037,0.5055,0.5055000000000001,0.541,0.53,0.01100000000000001,0.004,0.016,0.062
heartplus,dp_eps4,multi_draw_reconstruction,202,1000,1000,16,0.5315380000000001,1,-1.0341256856918335,0.5055850000000001,0.492,0.492,0.626,0.642,-0.016000000000000014,0.004,0.012,0.058
heartplus,dp_eps4,multi_draw_mean_objective,202,1000,1000,16,0.5195749999999999,1,-0.4926399886608124,0.505163,0.5175,0.5175000000000001,0.353,0.318,0.034999999999999976,0.004,0.018,0.06
heartplus,dp_eps4,calibrated_gaussian_reconstruction_likelihood,202,1000,1000,16,0.5344720000000001,1,-0.03494044088747569,0.507005,0.492,0.492,0.626,0.642,-0.016000000000000014,0.004,0.012,0.058
heartplus,dp_eps4,released_discriminator_score,202,1000,1000,0,0.46088950000000006,-1,-0.8193169236183167,0.510621,0.509,0.509,0.31,0.292,0.018000000000000016,0.003,0.015,0.047
heartplus,dp_eps2,single_draw_loss_threshold,202,1000,1000,16,0.527814,1,-0.2936745285987854,0.505845,0.5055,0.5055,0.317,0.306,0.01100000000000001,0.003,0.016,0.065
heartplus,dp_eps2,multi_draw_reconstruction,202,1000,1000,16,0.527083,1,-0.4093727469444275,0.5027189999999999,0.5005,0.5005000000000001,0.555,0.554,0.0010000000000000009,0.001,0.014,0.064
heartplus,dp_eps2,multi_draw_mean_objective,202,1000,1000,16,0.522054,1,-0.5117910504341125,0.5065489999999999,0.512,0.512,0.418,0.394,0.023999999999999966,0.001,0.018,0.06
heartplus,dp_eps2,calibrated_gaussian_reconstruction_likelihood,202,1000,1000,16,0.527082,1,0.06144823573210445,0.5027205,0.5005,0.5005000000000001,0.555,0.554,0.0010000000000000009,0.001,0.014,0.064
heartplus,dp_eps2,released_discriminator_score,202,1000,1000,0,0.46689749999999997,-1,-0.8534265756607056,0.508196,0.5055,0.5055,0.297,0.286,0.01100000000000001,0.002,0.011,0.056
heartplus,countergan,single_draw_loss_threshold,303,1000,1000,16,0.502202,1,-0.6131203174591064,0.49824799999999997,0.5065,0.5065,0.818,0.805,0.0129999999999999,0.004,0.022,0.06
heartplus,countergan,multi_draw_reconstruction,303,1000,1000,16,0.49866200000000005,-1,0.13561482727527618,0.49796700000000005,0.499,0.499,0.511,0.513,-0.0020000000000000018,0.002,0.008,0.051
heartplus,countergan,multi_draw_mean_objective,303,1000,1000,16,0.499413,-1,0.16577550768852234,0.498539,0.497,0.497,0.484,0.49,-0.006000000000000005,0.003,0.009,0.048
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,303,1000,1000,16,0.5077415,1,0.021427161512233228,0.5054000000000001,0.504,0.504,0.275,0.267,0.008000000000000007,0.0,0.011,0.043
heartplus,countergan,released_discriminator_score,303,1000,1000,0,0.5218160000000001,1,1.4877876043319702,0.4689455,0.4845,0.48450000000000004,0.78,0.811,-0.031000000000000028,0.005,0.005,0.04
heartplus,dp_eps16,single_draw_loss_threshold,303,1000,1000,16,0.481841,-1,0.9828376173973083,0.47613700000000003,0.48,0.48,0.489,0.529,-0.040000000000000036,0.006,0.011,0.055
heartplus,dp_eps16,multi_draw_reconstruction,303,1000,1000,16,0.480664,-1,0.7016938328742981,0.47641,0.4745,0.47450000000000003,0.485,0.536,-0.051000000000000045,0.005,0.023,0.061
heartplus,dp_eps16,multi_draw_mean_objective,303,1000,1000,16,0.47897999999999996,-1,1.1143890619277954,0.477744,0.4745,0.47450000000000003,0.418,0.469,-0.05099999999999999,0.005,0.012,0.062
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,303,1000,1000,16,0.5193319999999999,1,-0.05596180150956638,0.4764085,0.4745,0.47450000000000003,0.485,0.536,-0.051000000000000045,0.005,0.023,0.061
heartplus,dp_eps16,released_discriminator_score,303,1000,1000,0,0.500189,1,-2.100024700164795,0.47548149999999995,0.491,0.491,0.866,0.884,-0.018000000000000016,0.003,0.026,0.073
heartplus,dp_eps8,single_draw_loss_threshold,303,1000,1000,16,0.489062,-1,0.8680269122123718,0.483162,0.481,0.481,0.497,0.535,-0.038000000000000034,0.001,0.006,0.065
heartplus,dp_eps8,multi_draw_reconstruction,303,1000,1000,16,0.48745600000000006,-1,0.37446480989456177,0.47745600000000005,0.4865,0.4865,0.568,0.595,-0.027000000000000024,0.002,0.02,0.061
heartplus,dp_eps8,multi_draw_mean_objective,303,1000,1000,16,0.48536500000000005,-1,0.9799417853355408,0.48092700000000005,0.4765,0.47650000000000003,0.432,0.479,-0.046999999999999986,0.006,0.014,0.064
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,303,1000,1000,16,0.515501,1,-0.011218252803415096,0.471051,0.4865,0.48649999999999993,0.566,0.593,-0.027000000000000024,0.004,0.01,0.048
heartplus,dp_eps8,released_discriminator_score,303,1000,1000,0,0.504532,1,-2.093071699142456,0.47654149999999995,0.486,0.486,0.876,0.904,-0.028000000000000025,0.006,0.021,0.069
heartplus,dp_eps4,single_draw_loss_threshold,303,1000,1000,16,0.475442,-1,0.8672327399253845,0.477093,0.478,0.478,0.501,0.545,-0.04400000000000004,0.005,0.012,0.045
heartplus,dp_eps4,multi_draw_reconstruction,303,1000,1000,16,0.4779969999999999,-1,0.7584637403488159,0.47689699999999996,0.475,0.475,0.443,0.493,-0.04999999999999999,0.002,0.019,0.068
heartplus,dp_eps4,multi_draw_mean_objective,303,1000,1000,16,0.479418,-1,1.040788173675537,0.47802500000000003,0.4735,0.47350000000000003,0.443,0.496,-0.05299999999999999,0.002,0.017,0.06
heartplus,dp_eps4,calibrated_gaussian_reconstruction_likelihood,303,1000,1000,16,0.5220025,1,-0.03757854821859649,0.4768975,0.475,0.475,0.443,0.493,-0.04999999999999999,0.002,0.019,0.068
heartplus,dp_eps4,released_discriminator_score,303,1000,1000,0,0.502778,1,-1.562984585762024,0.4760295,0.486,0.486,0.869,0.897,-0.028000000000000025,0.01,0.017,0.06
heartplus,dp_eps2,single_draw_loss_threshold,303,1000,1000,16,0.48388000000000003,-1,0.8521025776863098,0.480696,0.4765,0.47650000000000003,0.403,0.45,-0.046999999999999986,0.001,0.016,0.068
