dataset,variant,attack,metric,mean,sd,ci95_low,ci95_high,attack_seeds
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_auc,0.5004508000000001,0.010253599850784112,0.49431722250000004,0.5063143525,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_accuracy,0.49749999999999994,0.007509253550712541,0.4932,0.50205,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.49749999999999994,0.00750925355071253,0.49325,0.5018999999999999,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,-0.004999999999999988,0.015018507101425044,-0.013599999999999956,0.003899999999999987,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.5724,0.19758722405841705,0.45419500000000007,0.6817074999999999,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.5774,0.1943708940259432,0.458395,0.6874099999999999,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.001,0.0016,0.0017126976771553505,0.0006000000000000001,0.0026000000000000003,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.01,0.0123,0.005143496432929215,0.0092975,0.015100000000000002,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.05,0.0491,0.01028969279316821,0.0429,0.055200000000000006,10
heartplus,countergan,multi_draw_mean_objective,evaluation_auc,0.5028679500000001,0.011254289292063034,0.4960380825,0.50921313125,10
heartplus,countergan,multi_draw_mean_objective,evaluation_accuracy,0.5035499999999999,0.006718341395844002,0.49959999999999993,0.50745,10
heartplus,countergan,multi_draw_mean_objective,evaluation_balanced_accuracy,0.5035499999999999,0.006718341395844023,0.49965000000000004,0.5075999999999999,10
heartplus,countergan,multi_draw_mean_objective,evaluation_membership_advantage,0.007099999999999979,0.013436682791687981,-0.0007000000000000117,0.015199999999999969,10
heartplus,countergan,multi_draw_mean_objective,evaluation_tpr_at_calibrated_threshold,0.5797,0.2056042855152154,0.4537975,0.6960025,10
heartplus,countergan,multi_draw_mean_objective,evaluation_fpr_at_calibrated_threshold,0.5725999999999999,0.19939530809146164,0.45468250000000004,0.6845025,10
heartplus,countergan,multi_draw_mean_objective,tpr_at_fpr_0.001,0.0016,0.0016465452046971292,0.0007,0.0026000000000000003,10
heartplus,countergan,multi_draw_mean_objective,tpr_at_fpr_0.01,0.011,0.004570436400267363,0.008299999999999998,0.013500000000000002,10
heartplus,countergan,multi_draw_mean_objective,tpr_at_fpr_0.05,0.047099999999999996,0.007233410137841088,0.042600000000000006,0.0513,10
heartplus,countergan,multi_draw_reconstruction,evaluation_auc,0.5045398000000001,0.010948304676473397,0.4979542425000001,0.5110688724999999,10
heartplus,countergan,multi_draw_reconstruction,evaluation_accuracy,0.4991,0.005173651192984188,0.4962987499999999,0.5023500000000001,10
heartplus,countergan,multi_draw_reconstruction,evaluation_balanced_accuracy,0.4991,0.005173651192984193,0.4961499999999999,0.50225,10
heartplus,countergan,multi_draw_reconstruction,evaluation_membership_advantage,-0.0017999999999999904,0.010347302385968328,-0.007499999999999974,0.004600000000000004,10
heartplus,countergan,multi_draw_reconstruction,evaluation_tpr_at_calibrated_threshold,0.5820000000000001,0.21157819673428863,0.4591974999999999,0.7105999999999999,10
heartplus,countergan,multi_draw_reconstruction,evaluation_fpr_at_calibrated_threshold,0.5838,0.2082710840333925,0.4640975,0.7053024999999999,10
heartplus,countergan,multi_draw_reconstruction,tpr_at_fpr_0.001,0.0018000000000000002,0.0015491933384829666,0.0009000000000000001,0.0028,10
heartplus,countergan,multi_draw_reconstruction,tpr_at_fpr_0.01,0.0119,0.005646040894093645,0.008799999999999999,0.0152,10
heartplus,countergan,multi_draw_reconstruction,tpr_at_fpr_0.05,0.0488,0.010008884941779369,0.04279999999999999,0.05439999999999999,10
heartplus,countergan,released_discriminator_score,evaluation_auc,0.49466555,0.014279449173258272,0.4861796712500001,0.5027935299999999,10
heartplus,countergan,released_discriminator_score,evaluation_accuracy,0.49935000000000007,0.010591007716192286,0.49339999999999995,0.5057512500000001,10
heartplus,countergan,released_discriminator_score,evaluation_balanced_accuracy,0.49935000000000007,0.010591007716192289,0.49345,0.506,10
heartplus,countergan,released_discriminator_score,evaluation_membership_advantage,-0.001299999999999997,0.021182015432384568,-0.01330250000000001,0.01140249999999997,10
heartplus,countergan,released_discriminator_score,evaluation_tpr_at_calibrated_threshold,0.4657,0.2300343211107614,0.3284975,0.5953,10
heartplus,countergan,released_discriminator_score,evaluation_fpr_at_calibrated_threshold,0.46699999999999997,0.2386229010151559,0.32589749999999995,0.6067049999999999,10
heartplus,countergan,released_discriminator_score,tpr_at_fpr_0.001,0.0020000000000000005,0.0015634719199411433,0.0011,0.003,10
heartplus,countergan,released_discriminator_score,tpr_at_fpr_0.01,0.009300000000000001,0.0034334951418181574,0.007400000000000001,0.011300000000000001,10
heartplus,countergan,released_discriminator_score,tpr_at_fpr_0.05,0.0522,0.012787146323989225,0.04459749999999999,0.059699999999999996,10
heartplus,countergan,single_draw_loss_threshold,evaluation_auc,0.5035889499999999,0.011203095262892506,0.4968778275,0.5100599062499999,10
heartplus,countergan,single_draw_loss_threshold,evaluation_accuracy,0.5030999999999999,0.006883151732874816,0.4992,0.5070999999999999,10
heartplus,countergan,single_draw_loss_threshold,evaluation_balanced_accuracy,0.5030999999999999,0.006883151732874835,0.4991,0.507,10
heartplus,countergan,single_draw_loss_threshold,evaluation_membership_advantage,0.006199999999999983,0.013766303465749651,-0.0017000000000000127,0.01399999999999998,10
heartplus,countergan,single_draw_loss_threshold,evaluation_tpr_at_calibrated_threshold,0.5922000000000001,0.20115378307266418,0.47059749999999995,0.7074999999999999,10
heartplus,countergan,single_draw_loss_threshold,evaluation_fpr_at_calibrated_threshold,0.5860000000000001,0.19199826388103966,0.46979250000000006,0.6960999999999999,10
heartplus,countergan,single_draw_loss_threshold,tpr_at_fpr_0.001,0.0019000000000000002,0.0018529256146249727,0.0009000000000000001,0.0030000000000000005,10
heartplus,countergan,single_draw_loss_threshold,tpr_at_fpr_0.01,0.011600000000000001,0.0051897334549409506,0.008600000000000002,0.014600000000000002,10
heartplus,countergan,single_draw_loss_threshold,tpr_at_fpr_0.05,0.0473,0.00905599862583421,0.04179999999999999,0.0523,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_auc,0.49697445000000007,0.012925915354326826,0.489273635,0.5044302599999999,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_accuracy,0.49400000000000005,0.013393613735242964,0.4862,0.5020999999999999,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.49400000000000005,0.013393613735242966,0.4861000000000001,0.5018,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,-0.012,0.02678722747048593,-0.027500000000000024,0.0033000000000000035,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.5062,0.16948470924147305,0.40539500000000006,0.6057025,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.5182,0.16698223458400197,0.4206950000000001,0.6156024999999999,10
