method,method_label,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,constraint_validity
countergan_one_shot,CounterGAN one-shot,128,0.1565,0.7649999999999999,0.0,0.155,0.0,1.0
countergan_one_shot,CounterGAN one-shot,256,0.16599999999999998,0.7649999999999999,0.0,0.1645,0.0,1.0
countergan_one_shot,CounterGAN one-shot,512,0.185,0.77,0.005,0.183,0.005,1.0
countergan_one_shot,CounterGAN one-shot,1024,0.20550000000000002,0.77,0.005,0.202,0.0,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,0.44599999999999995,0.7649999999999999,0.13,0.4445,0.125,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,256,0.698,0.815,0.58,0.684,0.49,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,512,0.757,0.8300000000000001,0.715,0.7355,0.57,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,1024,0.7875,0.85,0.75,0.7585,0.5499999999999999,1.0
dice_gradient_style,Custom DiCE-style gradient,128,0.0045000000000000005,0.045,0.0,0.0045000000000000005,0.0,1.0
dice_gradient_style,Custom DiCE-style gradient,256,0.019500000000000003,0.175,0.0,0.019500000000000003,0.0,1.0
dice_gradient_style,Custom DiCE-style gradient,512,0.1975,0.55,0.015,0.19650000000000004,0.015,1.0
dice_gradient_style,Custom DiCE-style gradient,1024,0.25749999999999995,0.72,0.015,0.257,0.015,1.0
genetic_cfe,Budget-matched genetic CFE,128,0.0475,0.215,0.0,0.0435,0.0,1.0
genetic_cfe,Budget-matched genetic CFE,256,0.09,0.28,0.005,0.0855,0.005,1.0
genetic_cfe,Budget-matched genetic CFE,512,0.218,0.455,0.04,0.2045,0.02,1.0
genetic_cfe,Budget-matched genetic CFE,1024,0.3975,0.605,0.21,0.365,0.105,1.0
proposed_countergan,CounterGAN + iterative black-box search,128,0.1565,0.7649999999999999,0.0,0.155,0.0,1.0
proposed_countergan,CounterGAN + iterative black-box search,256,0.4385,0.815,0.055,0.43400000000000005,0.045,1.0
proposed_countergan,CounterGAN + iterative black-box search,512,0.6915,0.84,0.505,0.6839999999999999,0.485,1.0
proposed_countergan,CounterGAN + iterative black-box search,1024,0.7605,0.865,0.675,0.754,0.665,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,128,0.316,0.56,0.125,0.3105,0.11,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,256,0.54,0.635,0.45499999999999996,0.5325,0.415,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,512,0.6485,0.72,0.595,0.6255,0.455,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,1024,0.7295,0.805,0.685,0.703,0.505,1.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,128,0.433,0.65,0.25,0.42800000000000005,0.24,1.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,256,0.6040000000000001,0.74,0.51,0.5905,0.44499999999999995,1.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,512,0.712,0.78,0.635,0.6859999999999999,0.48,1.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,1024,0.755,0.82,0.7050000000000001,0.7274999999999999,0.535,1.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,128,0.3625,0.595,0.185,0.35600000000000004,0.16999999999999998,1.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,256,0.5505,0.655,0.455,0.536,0.385,1.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,512,0.6400000000000001,0.7050000000000001,0.59,0.617,0.435,1.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,1024,0.7265,0.82,0.675,0.6945,0.45999999999999996,1.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,128,0.357,0.59,0.16499999999999998,0.3535,0.15999999999999998,1.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,256,0.5695,0.6950000000000001,0.49,0.5579999999999999,0.42500000000000004,1.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,512,0.6815,0.765,0.62,0.6585,0.45999999999999996,1.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,1024,0.749,0.805,0.69,0.7155,0.495,1.0
uniform_random,Uniform constrained random,128,0.0475,0.215,0.0,0.0435,0.0,1.0
uniform_random,Uniform constrained random,256,0.1415,0.3,0.025,0.1345,0.015,1.0
uniform_random,Uniform constrained random,512,0.29350000000000004,0.445,0.22,0.27999999999999997,0.155,1.0
uniform_random,Uniform constrained random,1024,0.46499999999999997,0.605,0.37,0.4435,0.245,1.0
wachter_style,Custom Wachter-style gradient,128,0.0045000000000000005,0.045,0.0,0.0045000000000000005,0.0,1.0
wachter_style,Custom Wachter-style gradient,256,0.019500000000000003,0.175,0.0,0.019500000000000003,0.0,1.0
wachter_style,Custom Wachter-style gradient,512,0.19100000000000003,0.55,0.015,0.19,0.015,1.0
wachter_style,Custom Wachter-style gradient,1024,0.248,0.715,0.015,0.247,0.015,1.0
