method,candidate_budget,direction,outcome,size
countergan_one_shot,128,disease_to_no_disease,no_valid_cfe,17
countergan_one_shot,128,disease_to_no_disease,partial_lt_k,83
countergan_one_shot,128,no_disease_to_disease,no_valid_cfe,30
countergan_one_shot,128,no_disease_to_disease,partial_lt_k,70
countergan_one_shot,256,disease_to_no_disease,no_valid_cfe,17
countergan_one_shot,256,disease_to_no_disease,partial_lt_k,83
countergan_one_shot,256,no_disease_to_disease,no_valid_cfe,30
countergan_one_shot,256,no_disease_to_disease,partial_lt_k,70
countergan_one_shot,512,disease_to_no_disease,no_valid_cfe,16
countergan_one_shot,512,disease_to_no_disease,partial_lt_k,84
countergan_one_shot,512,no_disease_to_disease,full_k,1
countergan_one_shot,512,no_disease_to_disease,no_valid_cfe,30
countergan_one_shot,512,no_disease_to_disease,partial_lt_k,69
countergan_one_shot,1024,disease_to_no_disease,no_valid_cfe,16
countergan_one_shot,1024,disease_to_no_disease,partial_lt_k,84
countergan_one_shot,1024,no_disease_to_disease,full_k,1
countergan_one_shot,1024,no_disease_to_disease,no_valid_cfe,30
countergan_one_shot,1024,no_disease_to_disease,partial_lt_k,69
countergan_sparse_diverse_no_dp,128,disease_to_no_disease,full_k,5
countergan_sparse_diverse_no_dp,128,disease_to_no_disease,no_valid_cfe,17
countergan_sparse_diverse_no_dp,128,disease_to_no_disease,partial_lt_k,78
countergan_sparse_diverse_no_dp,128,no_disease_to_disease,full_k,21
countergan_sparse_diverse_no_dp,128,no_disease_to_disease,no_valid_cfe,30
countergan_sparse_diverse_no_dp,128,no_disease_to_disease,partial_lt_k,49
countergan_sparse_diverse_no_dp,256,disease_to_no_disease,full_k,73
countergan_sparse_diverse_no_dp,256,disease_to_no_disease,no_valid_cfe,8
countergan_sparse_diverse_no_dp,256,disease_to_no_disease,partial_lt_k,19
countergan_sparse_diverse_no_dp,256,no_disease_to_disease,full_k,43
countergan_sparse_diverse_no_dp,256,no_disease_to_disease,no_valid_cfe,29
countergan_sparse_diverse_no_dp,256,no_disease_to_disease,partial_lt_k,28
countergan_sparse_diverse_no_dp,512,disease_to_no_disease,full_k,85
countergan_sparse_diverse_no_dp,512,disease_to_no_disease,no_valid_cfe,7
countergan_sparse_diverse_no_dp,512,disease_to_no_disease,partial_lt_k,8
countergan_sparse_diverse_no_dp,512,no_disease_to_disease,full_k,58
countergan_sparse_diverse_no_dp,512,no_disease_to_disease,no_valid_cfe,27
countergan_sparse_diverse_no_dp,512,no_disease_to_disease,partial_lt_k,15
countergan_sparse_diverse_no_dp,1024,disease_to_no_disease,full_k,89
countergan_sparse_diverse_no_dp,1024,disease_to_no_disease,no_valid_cfe,6
countergan_sparse_diverse_no_dp,1024,disease_to_no_disease,partial_lt_k,5
countergan_sparse_diverse_no_dp,1024,no_disease_to_disease,full_k,61
countergan_sparse_diverse_no_dp,1024,no_disease_to_disease,no_valid_cfe,24
countergan_sparse_diverse_no_dp,1024,no_disease_to_disease,partial_lt_k,15
dice_gradient_style,128,disease_to_no_disease,no_valid_cfe,94
dice_gradient_style,128,disease_to_no_disease,partial_lt_k,6
dice_gradient_style,128,no_disease_to_disease,no_valid_cfe,97
dice_gradient_style,128,no_disease_to_disease,partial_lt_k,3
dice_gradient_style,256,disease_to_no_disease,no_valid_cfe,75
dice_gradient_style,256,disease_to_no_disease,partial_lt_k,25
dice_gradient_style,256,no_disease_to_disease,no_valid_cfe,90
dice_gradient_style,256,no_disease_to_disease,partial_lt_k,10
dice_gradient_style,512,disease_to_no_disease,full_k,3
dice_gradient_style,512,disease_to_no_disease,no_valid_cfe,21
