method,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,proximity,sparsity,group_sparsity,plausibility
proposed_countergan,128,0.1565,0.7649999999999999,0.0,0.15540666069527656,0.3656999881612618,0.3656999881612618,0.3874082978364757
proposed_countergan,256,0.4385,0.815,0.055,0.15707317669847493,0.341466494202936,0.341466494202936,0.38423008268803116
proposed_countergan,512,0.6915,0.84,0.505,0.15721484057630974,0.3370927221547789,0.3370927221547789,0.38297212809128334
proposed_countergan,1024,0.7605,0.865,0.675,0.16002389009350515,0.33219837738686947,0.33219837738686947,0.38734127034431654
proposed_dp_eps16_sparse_diverse,128,0.316,0.56,0.125,0.11702401445472035,0.4885401487968538,0.4885401487968538,0.327823301485426
proposed_dp_eps16_sparse_diverse,256,0.54,0.635,0.45499999999999996,0.10659968931744188,0.5602076146222972,0.5602076146222972,0.34376327670293183
proposed_dp_eps16_sparse_diverse,512,0.6485,0.72,0.595,0.09626785078799326,0.6309435402994332,0.6309435402994332,0.3324889390347655
proposed_dp_eps16_sparse_diverse,1024,0.7295,0.805,0.685,0.09713961450403095,0.6421905903938636,0.6421905903938636,0.33737409655140016
proposed_dp_eps2_sparse_diverse,128,0.433,0.65,0.25,0.10736930749979814,0.5411072287776377,0.5411072287776377,0.32093255463713277
proposed_dp_eps2_sparse_diverse,256,0.6040000000000001,0.74,0.51,0.10036843464521994,0.5976785181087536,0.5976785181087536,0.3182403129641281
proposed_dp_eps2_sparse_diverse,512,0.712,0.78,0.635,0.0955820308732135,0.6417168633835301,0.6417168633835301,0.3312957299021152
proposed_dp_eps2_sparse_diverse,1024,0.755,0.82,0.7050000000000001,0.09549917977156067,0.6456864436081762,0.6456864436081762,0.3375867161378512
proposed_dp_eps4_sparse_diverse,128,0.3625,0.595,0.185,0.10490266313584355,0.542996521126011,0.542996521126011,0.32162418651930247
proposed_dp_eps4_sparse_diverse,256,0.5505,0.655,0.455,0.09870425941381644,0.5944953316084269,0.5944953316084269,0.32835154942557054
proposed_dp_eps4_sparse_diverse,512,0.6400000000000001,0.7050000000000001,0.59,0.09199173355372725,0.6442531881698549,0.6442531881698549,0.32874914182103904
proposed_dp_eps4_sparse_diverse,1024,0.7265,0.82,0.675,0.0958216249840872,0.6431272280385756,0.6431272280385756,0.33615181889003887
proposed_dp_eps8_sparse_diverse,128,0.357,0.59,0.16499999999999998,0.11372529113807991,0.5148642352563921,0.5148642352563921,0.3170852626089898
proposed_dp_eps8_sparse_diverse,256,0.5695,0.6950000000000001,0.49,0.10767452416202947,0.559865449622394,0.559865449622394,0.32450182594973104
proposed_dp_eps8_sparse_diverse,512,0.6815,0.765,0.62,0.09624007323501912,0.6342671316566542,0.6342671316566542,0.32758783607723385
proposed_dp_eps8_sparse_diverse,1024,0.749,0.805,0.69,0.09571181596825247,0.6461292372385036,0.6461292372385036,0.3359567163075634
