profile,group_off,feature_off,base_fraction,proximity_weight,sparsity_weight,diversity_weight,direction,query_number,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
balanced,0.06,0.03,0.5,0.15,0.45,4.0,disease_to_no_disease,1.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08142578601837158,0.7416666666666667,0.0823533907532692,0.3173382835837125,0.3173382835837125,0.625,0.895,0.8939393939393939,0.8939393939393939,81.0,1.0,0.4132678434252739,0.11205630749464035,0.9833333333333333,0.975,0.975,0.75,0.9857142857142858,0.3269480517496959,0.3269480517496959,0.3269480517496959,0.03269480517496959,1024.0,3136.667825304884,8.0,1.0,1.0,1.0,128.0,128.0,0.021347011749639933,0.021347011749639933,1.0,1.0,1.0,128.0,128.0,0.021347011749639933,0.021347011749639933,1.0,1.0,1.0,128.0,128.0,0.021347011749639933,0.021347011749639933,1.0,1.5,1.5,192.0,192.0,0.03857391399969856,0.03857391399969856,0.7416666666666667
balanced,0.06,0.03,0.5,0.15,0.45,4.0,no_disease_to_disease,5.5,8.5,8.5,1.0,1.0,0.85,0.85,1.0,0.75,0.07241295371204615,0.6652777777777779,0.041887539671733975,0.39193057200016973,0.39193057200016973,0.85,0.29000000000000004,0.8843240093240093,0.8843240093240093,77.0,1.0,0.23352843523025513,0.11635186523199081,1.0,1.0,0.85,0.75,0.9919444444444444,0.21318442400001913,0.21318442400001913,0.23968611399989945,0.026331418175016098,1024.0,5527.179812534248,8.0,1.0,3.5,3.5,448.0,448.0,0.05942499999991924,0.05942499999991924,1.0,4.0,4.0,512.0,512.0,0.06828932699977486,0.06828932699977486,0.75,3.6666666666666665,4.75,469.3333333333333,608.0,0.06636961499983347,0.08318655549987852,0.75,4.666666666666667,5.5,597.3333333333334,704.0,0.09448463066655677,0.10427281724992099,0.6652777777777779
diverse,0.06,0.03,0.65,0.1,0.55,7.0,disease_to_no_disease,1.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09388917498290539,0.7083333333333334,0.08917373418807983,0.324559224833721,0.324559224833721,0.525,0.91,0.9545454545454546,0.9545454545454546,81.0,1.0,0.478638619184494,0.1215096265077591,1.0,1.0,1.0,1.0,0.9850793650793651,0.26746023600003355,0.26746023600003355,0.26746023600003355,0.026746023600003353,1024.0,3839.698060051103,8.0,1.0,1.0,1.0,128.0,128.0,0.02046498949994202,0.02046498949994202,1.0,1.0,1.0,128.0,128.0,0.02046498949994202,0.02046498949994202,1.0,1.0,1.0,128.0,128.0,0.02046498949994202,0.02046498949994202,1.0,1.5,1.5,192.0,192.0,0.037800299749960686,0.037800299749960686,0.7083333333333334
diverse,0.06,0.03,0.65,0.1,0.55,7.0,no_disease_to_disease,5.5,6.75,6.75,1.0,1.0,0.675,0.675,1.0,0.5,0.08556790743023157,0.6138888888888889,0.037910358514636755,0.41223817922028105,0.41223817922028105,0.75,0.19000000000000003,0.8881766381766382,0.8881766381766382,73.25,1.0,0.24845924973487854,0.11376482993364334,1.0,1.0,0.675,0.5,0.9907936507936508,0.1682703707501787,0.1682703707501787,0.21581026750027377,0.03142325602505025,1024.0,6715.743559646347,8.0,1.0,4.25,4.25,544.0,544.0,0.06418750724992606,0.06418750724992606,0.75,3.6666666666666665,4.75,469.3333333333333,608.0,0.058958304333221655,0.07274196200000915,0.75,4.0,5.0,512.0,640.0,0.06547364733311649,0.07762846924993028,0.5,2.5,5.25,320.0,672.0,0.044919532499989145,0.08280150499990668,0.6138888888888889
sparse,0.08,0.04,0.5,0.1,0.72,3.0,disease_to_no_disease,1.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08208552934229374,0.7444444444444445,0.08397340029478073,0.3177842993328999,0.3177842993328999,0.6000000000000001,0.8900000000000001,0.9090909090909091,0.9090909090909091,81.0,1.0,0.42338764667510986,0.1215096265077591,1.0,1.0,1.0,1.0,0.9842857142857143,0.3248079532497741,0.3248079532497741,0.3248079532497741,0.032480795324977406,1024.0,3154.3545247376424,8.0,1.0,1.0,1.0,128.0,128.0,0.020688085999836403,0.020688085999836403,1.0,1.0,1.0,128.0,128.0,0.020688085999836403,0.020688085999836403,1.0,1.0,1.0,128.0,128.0,0.020688085999836403,0.020688085999836403,1.0,1.5,1.5,192.0,192.0,0.03742643624991615,0.03742643624991615,0.7444444444444445
sparse,0.08,0.04,0.5,0.1,0.72,3.0,no_disease_to_disease,5.5,6.5,6.5,1.0,1.0,0.65,0.65,1.0,0.5,0.06470963079482317,0.7083333333333334,0.03627874166704714,0.3710755925318408,0.3710755925318408,0.75,0.255,0.8796620046620047,0.8796620046620047,73.0,1.0,0.21712728217244148,0.10959761217236519,1.0,1.0,0.65,0.5,0.991111111111111,0.17610666900009164,0.17610666900009164,0.2284318620004342,0.034330423224969306,1024.0,6444.535298030591,8.0,1.0,3.5,3.5,448.0,448.0,0.052979829499918196,0.052979829499918196,0.75,3.0,4.25,384.0,544.0,0.04711284633322066,0.06506993999983024,0.5,2.0,5.0,256.0,640.0,0.036363109500143764,0.08005517174979104,0.5,2.5,5.25,320.0,672.0,0.04799293750011202,0.08587008574977517,0.7083333333333334
sparse_diverse,0.07,0.035,0.55,0.1,0.66,6.0,disease_to_no_disease,1.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08725520502775908,0.7277777777777779,0.08474643528461456,0.32688455333972555,0.32688455333972555,0.5,0.91,0.8939393939393939,0.8939393939393939,81.0,1.0,0.40790241956710815,0.1215096265077591,1.0,1.0,1.0,1.0,0.9863227513227513,0.3020477737497913,0.3020477737497913,0.3020477737497913,0.03020477737497913,1024.0,3394.603704583618,8.0,1.0,1.0,1.0,128.0,128.0,0.020910647749815325,0.020910647749815325,1.0,1.0,1.0,128.0,128.0,0.020910647749815325,0.020910647749815325,1.0,1.0,1.0,128.0,128.0,0.020910647749815325,0.020910647749815325,1.0,1.5,1.5,192.0,192.0,0.03626775749967237,0.03626775749967237,0.7277777777777779
sparse_diverse,0.07,0.035,0.55,0.1,0.66,6.0,no_disease_to_disease,5.5,6.75,6.75,1.0,1.0,0.675,0.675,1.0,0.5,0.07238330785185099,0.6902777777777778,0.0462017604149878,0.3851764557367142,0.3851764557367142,0.6375,0.25,0.8986337736337736,0.8986337736337736,73.5,1.0,0.2372465319931507,0.114864656701684,1.0,1.0,0.675,0.5,0.9899603174603174,0.17879789749963493,0.17879789749963493,0.23930101699943407,0.02911836587078748,1024.0,6562.760050632702,8.0,1.0,3.75,3.75,480.0,480.0,0.05605252399982419,0.05605252399982419,1.0,4.75,4.75,608.0,608.0,0.072507724499701,0.072507724499701,0.5,2.0,5.0,256.0,640.0,0.035737194999455824,0.07700029624970739,0.5,3.5,5.75,448.0,736.0,0.07114718699949663,0.09470529224972779,0.6902777777777778
utility_balanced,0.04,0.02,0.75,0.15,0.35,2.0,disease_to_no_disease,1.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08993546105921268,0.7194444444444444,0.07745717838406563,0.3143654674021673,0.3143654674021673,0.6,0.91,0.9545454545454546,0.9545454545454546,81.0,1.0,0.4831038936972618,0.13948862999677658,1.0,1.0,1.0,1.0,0.9846560846560847,0.21511352275024365,0.21511352275024365,0.21511352275024365,0.021511352275024362,1024.0,4769.30234469336,8.0,1.0,1.0,1.0,128.0,128.0,0.020509997500084864,0.020509997500084864,1.0,1.0,1.0,128.0,128.0,0.020509997500084864,0.020509997500084864,1.0,1.0,1.0,128.0,128.0,0.020509997500084864,0.020509997500084864,1.0,1.5,1.5,192.0,192.0,0.0339830749999237,0.0339830749999237,0.7194444444444444
utility_balanced,0.04,0.02,0.75,0.15,0.35,2.0,no_disease_to_disease,5.5,7.5,7.5,1.0,1.0,0.75,0.75,0.75,0.75,0.05610491521656513,0.7740740740740741,0.051216469456752144,0.39577461368447237,0.39577461368447237,0.7999999999999999,0.18666666666666668,0.8787878787878788,0.8787878787878788,60.75,1.0,0.26421546936035156,0.12250120937824249,1.0,1.0,0.75,0.75,0.9876719576719576,0.16300197774967273,0.16300197774967273,0.17939508099971135,0.017939508099971135,1024.0,6718.678618586051,8.0,0.75,2.6666666666666665,4.0,341.3333333333333,512.0,0.04209393099972658,0.060013191999587434,0.75,2.6666666666666665,4.0,341.3333333333333,512.0,0.04209393099972658,0.060013191999587434,0.75,3.0,4.25,384.0,544.0,0.047761877333262724,0.06426415174973954,0.75,3.6666666666666665,4.75,469.3333333333333,608.0,0.06364364833340612,0.07617547999984708,0.7740740740740741
