method,direction,released_cfes,release_available,one_anonymity_rate,one_diversity_rate,one_map_linkage_rate,small_map_1_to_4_rate,no_auxiliary_match_rate,median_auxiliary_match_count_when_matched
countergan_one_shot,disease_to_no_disease,137,True,0.06569343065693431,0.4233576642335766,0.0,0.0,0.0,268.0
countergan_one_shot,no_disease_to_disease,274,True,0.12773722627737227,0.6277372262773723,0.01824817518248175,0.09124087591240876,0.010948905109489052,71.0
countergan_sparse_diverse_no_dp,disease_to_no_disease,914,True,0.028446389496717725,0.563457330415755,0.0,0.014223194748358862,0.0010940919037199124,241.0
countergan_sparse_diverse_no_dp,no_disease_to_disease,661,True,0.05446293494704992,0.7140695915279879,0.0453857791225416,0.12556732223903178,0.030257186081694403,46.0
dice_gradient_style,disease_to_no_disease,328,True,0.0701219512195122,0.6432926829268293,0.0,0.01524390243902439,0.0,162.0
dice_gradient_style,no_disease_to_disease,187,True,0.15508021390374332,0.7807486631016043,0.0,0.0481283422459893,0.016042780748663103,71.0
genetic_cfe,disease_to_no_disease,534,True,0.05805243445692884,0.6048689138576779,0.0,0.0149812734082397,0.0,184.0
genetic_cfe,no_disease_to_disease,261,True,0.1724137931034483,0.8390804597701149,0.0038314176245210726,0.06513409961685823,0.038314176245210725,73.0
proposed_countergan,disease_to_no_disease,894,True,0.04138702460850112,0.30089485458612975,0.0,0.0044742729306487695,0.0,259.0
proposed_countergan,no_disease_to_disease,627,True,0.05741626794258373,0.5917065390749602,0.022328548644338118,0.10047846889952153,0.03508771929824561,59.0
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,908,True,0.025330396475770924,0.5616740088105727,0.0,0.011013215859030838,0.0011013215859030838,241.0
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,551,True,0.08348457350272233,0.7186932849364791,0.025408348457350273,0.07441016333938294,0.025408348457350273,46.0
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,904,True,0.030973451327433628,0.49889380530973454,0.0,0.014380530973451327,0.0011061946902654867,220.0
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,606,True,0.0594059405940594,0.7161716171617162,0.0297029702970297,0.07920792079207921,0.0231023102310231,58.0
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,907,True,0.027563395810363836,0.5082690187431091,0.0,0.013230429988974642,0.0,241.0
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,546,True,0.07692307692307693,0.7545787545787546,0.023809523809523808,0.07326007326007326,0.027472527472527472,48.0
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,912,True,0.029605263157894735,0.506578947368421,0.0,0.010964912280701754,0.0010964912280701754,220.0
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,586,True,0.051194539249146756,0.735494880546075,0.02218430034129693,0.07167235494880546,0.02901023890784983,59.0
uniform_random,disease_to_no_disease,676,True,0.05325443786982249,0.4822485207100592,0.0,0.01775147928994083,0.0,183.0
uniform_random,no_disease_to_disease,254,True,0.12992125984251968,0.7598425196850394,0.007874015748031496,0.05905511811023622,0.03937007874015748,84.0
wachter_style,disease_to_no_disease,318,True,0.06918238993710692,0.6383647798742138,0.0,0.015723270440251572,0.0,163.0
wachter_style,no_disease_to_disease,178,True,0.1404494382022472,0.7696629213483146,0.0,0.05056179775280899,0.016853932584269662,71.0
