method,method_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
countergan_one_shot,11,128,disease_to_no_disease,0.105,0.83,0.0,0.105,0.0,0.17160289846809515,0.34526996876394467,0.005573242812989706,0.38987742291725325,0.00940863961006471,128.0
countergan_one_shot,11,128,no_disease_to_disease,0.20800000000000002,0.7,0.0,0.205,0.0,0.13921042292245797,0.386130007558579,0.04325141901416438,0.38493917275569806,0.008904556059997048,128.0
countergan_one_shot,11,256,disease_to_no_disease,0.10800000000000001,0.83,0.0,0.10800000000000001,0.0,0.17094518262219716,0.34718238031491044,0.006019994616508484,0.3880486520669277,0.012398579500004416,256.0
countergan_one_shot,11,256,no_disease_to_disease,0.22399999999999998,0.7,0.0,0.221,0.0,0.1380676939019135,0.3890854119425548,0.043019836954772475,0.3845382381439751,0.011159973010016984,256.0
countergan_one_shot,11,512,disease_to_no_disease,0.12300000000000001,0.84,0.0,0.12300000000000001,0.0,0.17068490026784794,0.34700176366843033,0.007802428522457679,0.3883432908261528,0.018115440270030377,512.0
countergan_one_shot,11,512,no_disease_to_disease,0.247,0.7,0.01,0.243,0.01,0.1380223283810275,0.39612244897959187,0.043708700500428674,0.3834713985992525,0.01622620619998088,512.0
countergan_one_shot,11,1024,disease_to_no_disease,0.137,0.84,0.0,0.137,0.0,0.16913127318202031,0.34861845972957084,0.01143250394878643,0.3885284349621607,0.029687495859980116,1024.0
countergan_one_shot,11,1024,no_disease_to_disease,0.274,0.7,0.01,0.267,0.0,0.13890292229396956,0.39191484001007815,0.04568346491349595,0.3845659109312797,0.025646413599934022,1024.0
countergan_sparse_diverse_no_dp,11,128,disease_to_no_disease,0.44299999999999995,0.83,0.05,0.442,0.05,0.1459087139242385,0.45364155032829734,0.05450881957020386,0.37878800391795586,0.0179625835099705,128.0
countergan_sparse_diverse_no_dp,11,128,no_disease_to_disease,0.449,0.7,0.21,0.447,0.2,0.12300252366278852,0.48204396573444197,0.05393730229032891,0.37493011139457216,0.018829729320059413,128.0
countergan_sparse_diverse_no_dp,11,256,disease_to_no_disease,0.8220000000000001,0.92,0.73,0.812,0.67,0.1249008626555619,0.518669963959819,0.07107644645578187,0.37182353037155397,0.04810128476006867,256.0
countergan_sparse_diverse_no_dp,11,256,no_disease_to_disease,0.574,0.71,0.43,0.556,0.31,0.10932511148948065,0.5642441066149987,0.05614353325480307,0.35822941490550453,0.045701747670045735,256.0
countergan_sparse_diverse_no_dp,11,512,disease_to_no_disease,0.885,0.93,0.85,0.863,0.71,0.10808685854558021,0.6169719899110581,0.07330430651544242,0.34946268214146214,0.1208661803200539,512.0
countergan_sparse_diverse_no_dp,11,512,no_disease_to_disease,0.629,0.73,0.58,0.608,0.43,0.10432942890345234,0.6144959049068639,0.05694149704075942,0.347099646849365,0.10687637254999573,512.0
countergan_sparse_diverse_no_dp,11,1024,disease_to_no_disease,0.914,0.94,0.89,0.8859999999999999,0.69,0.1041166614741087,0.6359900934369019,0.07554027667031327,0.3487418376848787,0.2734716761800246,1024.0
