profile,query_number,direction,group_off,feature_off,base_fraction,proximity_weight,sparsity_weight,diversity_weight,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
balanced,0,disease_to_no_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10752297937870026,0.6444444444444445,0.08541849255561829,0.23567211120483056,0.23567211120483056,0.2,0.8600000000000001,0.8181818181818182,0.8181818181818182,81,1.0,0.2542411983013153,0.12532958388328552,1.0,1.0,1.0,1.0,1.0,0.3469585590000861,0.3469585590000861,0.3469585590000861,0.03469585590000861,1024,2951.3611162990387,8,1.0,1.0,1.0,128.0,128.0,0.020535596999252448,0.020535596999252448,1.0,1.0,1.0,128.0,128.0,0.020535596999252448,0.020535596999252448,1.0,1.0,1.0,128.0,128.0,0.020535596999252448,0.020535596999252448,1.0,2.0,2.0,256.0,256.0,0.049569965999580745,0.049569965999580745,0.6444444444444445
balanced,1,disease_to_no_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.05276027321815491,0.8222222222222222,0.07160940021276474,0.37077182541839304,0.37077182541839304,0.6,1.0,0.9393939393939394,0.9393939393939394,81,1.0,0.24968603253364563,0.11655744910240173,1.0,1.0,1.0,1.0,0.9655555555555555,0.31688547499925335,0.31688547499925335,0.31688547499925335,0.031688547499925335,1024,3231.4513626805165,8,1.0,1.0,1.0,128.0,128.0,0.021882743999412924,0.021882743999412924,1.0,1.0,1.0,128.0,128.0,0.021882743999412924,0.021882743999412924,1.0,1.0,1.0,128.0,128.0,0.021882743999412924,0.021882743999412924,1.0,1.0,1.0,128.0,128.0,0.021882743999412924,0.021882743999412924,0.8222222222222222
balanced,2,disease_to_no_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0645677000284195,0.8,0.08758950978517532,0.39008057631939036,0.39008057631939036,0.9,0.8200000000000001,0.9090909090909091,0.9090909090909091,81,1.0,0.7831020355224609,0.10064685344696045,0.9333333333333332,0.9,0.9,0.0,0.9844444444444445,0.3148695599993516,0.3148695599993516,0.3148695599993516,0.03148695599993516,1024,3252.1403466315023,8,1.0,1.0,1.0,128.0,128.0,0.024242098999820882,0.024242098999820882,1.0,1.0,1.0,128.0,128.0,0.024242098999820882,0.024242098999820882,1.0,1.0,1.0,128.0,128.0,0.024242098999820882,0.024242098999820882,1.0,1.0,1.0,128.0,128.0,0.024242098999820882,0.024242098999820882,0.8
balanced,3,disease_to_no_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10085219144821167,0.7000000000000001,0.08479616045951843,0.27282862139223624,0.27282862139223624,0.8,0.9000000000000001,0.9090909090909091,0.9090909090909091,81,1.0,0.3660421073436737,0.1056913435459137,1.0,1.0,1.0,1.0,0.9928571428571429,0.32907861300009245,0.32907861300009245,0.32907861300009245,0.03290786130000924,1024,3111.718475608478,8,1.0,1.0,1.0,128.0,128.0,0.018727607000073476,0.018727607000073476,1.0,1.0,1.0,128.0,128.0,0.018727607000073476,0.018727607000073476,1.0,1.0,1.0,128.0,128.0,0.018727607000073476,0.018727607000073476,1.0,2.0,2.0,256.0,256.0,0.058600846999979694,0.058600846999979694,0.7000000000000001
balanced,4,no_disease_to_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.05121510103344917,0.8111111111111111,0.06429541110992432,0.4183869221668304,0.4183869221668304,1.0,0.28,0.8484848484848485,0.8484848484848485,81,1.0,0.23963260650634766,0.13645698130130768,1.0,1.0,1.0,1.0,0.9822222222222221,0.3362048100007087,0.3362048100007087,0.3362048100007087,0.03362048100007087,1024,3045.7624922077753,8,1.0,1.0,1.0,128.0,128.0,0.02185628799998085,0.02185628799998085,1.0,1.0,1.0,128.0,128.0,0.02185628799998085,0.02185628799998085,1.0,1.0,1.0,128.0,128.0,0.02185628799998085,0.02185628799998085,1.0,2.0,2.0,256.0,256.0,0.056938306000120065,0.056938306000120065,0.8111111111111111
balanced,5,no_disease_to_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.034650303423404694,0.8222222222222222,0.04590757191181183,0.45132197834957866,0.45132197834957866,1.0,0.14,0.8181818181818182,0.8181818181818182,81,1.0,0.21586355566978455,0.11767102777957916,1.0,1.0,1.0,1.0,0.9855555555555554,0.2389989119992606,0.2389989119992606,0.2389989119992606,0.02389989119992606,1024,4284.538332974369,8,1.0,2.0,2.0,256.0,256.0,0.03342353399966669,0.03342353399966669,1.0,2.0,2.0,256.0,256.0,0.03342353399966669,0.03342353399966669,1.0,3.0,3.0,384.0,384.0,0.05521721199966123,0.05521721199966123,1.0,4.0,4.0,512.0,512.0,0.08269756299978326,0.08269756299978326,0.8222222222222222
balanced,6,no_disease_to_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08503785729408264,0.6666666666666667,0.04250102490186691,0.3359696704228191,0.3359696704228191,0.4,0.14,0.9090909090909091,0.9090909090909091,81,1.0,0.317587673664093,0.10813084244728088,1.0,1.0,1.0,1.0,1.0,0.14385461999972904,0.14385461999972904,0.14385461999972904,0.014385461999972904,1024,7118.297625769188,8,1.0,6.0,6.0,768.0,768.0,0.10497069499979261,0.10497069499979261,1.0,7.0,7.0,896.0,896.0,0.12203534499985835,0.12203534499985835,1.0,7.0,7.0,896.0,896.0,0.12203534499985835,0.12203534499985835,1.0,8.0,8.0,1024.0,1024.0,0.14381802299976698,0.14381802299976698,0.6666666666666667
balanced,7,no_disease_to_disease,0.06,0.03,0.5,0.15,0.45,4.0,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.11874855309724808,0.36111111111111116,0.014846150763332844,0.3620437170614508,0.3620437170614508,1.0,0.6,0.9615384615384616,0.9615384615384616,65,1.0,0.1610299050807953,0.10314860939979553,1.0,1.0,0.4,0.0,1.0,0.13367935400037823,0.13367935400037823,,0.033419838500094556,1024,7660.12079918566,8,1.0,5.0,5.0,640.0,640.0,0.0774494830002368,0.0774494830002368,1.0,6.0,6.0,768.0,768.0,0.09584214099959354,0.09584214099959354,0.0,,8.0,,1024.0,,0.13363737700001366,0.0,,8.0,,1024.0,,0.13363737700001366,0.36111111111111116
sparse,0,disease_to_no_disease,0.08,0.04,0.5,0.1,0.72,3.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10874094069004059,0.6555555555555557,0.08905649930238724,0.2507347822904783,0.2507347822904783,0.1,0.8600000000000001,0.9090909090909091,0.9090909090909091,81,1.0,0.2549458146095276,0.12532958388328552,1.0,1.0,1.0,1.0,0.9976190476190476,0.31365578999975696,0.31365578999975696,0.31365578999975696,0.0313655789999757,1024,3264.7253219868617,8,1.0,1.0,1.0,128.0,128.0,0.017981128999963403,0.017981128999963403,1.0,1.0,1.0,128.0,128.0,0.017981128999963403,0.017981128999963403,1.0,1.0,1.0,128.0,128.0,0.017981128999963403,0.017981128999963403,1.0,2.0,2.0,256.0,256.0,0.0469210170003862,0.0469210170003862,0.6555555555555557
sparse,1,disease_to_no_disease,0.08,0.04,0.5,0.1,0.72,3.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.05424533039331436,0.8222222222222222,0.07361332327127457,0.3666108564693885,0.3666108564693885,0.5,1.0,0.9393939393939394,0.9393939393939394,81,1.0,0.2724723517894745,0.11655744910240173,1.0,1.0,1.0,1.0,0.9655555555555555,0.32320531499954086,0.32320531499954086,0.32320531499954086,0.032320531499954085,1024,3168.264729809455,8,1.0,1.0,1.0,128.0,128.0,0.022670590999950946,0.022670590999950946,1.0,1.0,1.0,128.0,128.0,0.022670590999950946,0.022670590999950946,1.0,1.0,1.0,128.0,128.0,0.022670590999950946,0.022670590999950946,1.0,1.0,1.0,128.0,128.0,0.022670590999950946,0.022670590999950946,0.8222222222222222
