population,maximum_rounds,candidate_budget,query_number,direction,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
32,32,1024,0,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.1324363499879837,0.5888888888888889,0.07247959822416306,0.2359140829956478,0.2359140829956478,0.2,0.8800000000000001,0.9696969696969697,0.9696969696969697,81,1.0,0.39281386137008667,0.13312295079231262,1.0,1.0,1.0,1.0,0.993915343915344,0.5747358879998501,0.5747358879998501,0.5747358879998501,0.05747358879998501,1024,1781.6879394179525,32,1.0,1.0,1.0,32.0,32.0,0.015131072999793105,0.015131072999793105,1.0,1.0,1.0,32.0,32.0,0.015131072999793105,0.015131072999793105,1.0,1.0,1.0,32.0,32.0,0.015131072999793105,0.015131072999793105,1.0,4.0,4.0,128.0,128.0,0.06663098199987871,0.06663098199987871,0.5888888888888889
32,32,1024,1,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.06893350929021835,0.788888888888889,0.07448726147413254,0.38693176658124473,0.38693176658124473,0.5,1.0,0.9090909090909091,0.9090909090909091,81,1.0,0.3689696192741394,0.11655744910240173,1.0,1.0,1.0,1.0,0.9722222222222221,0.5794782960001612,0.5794782960001612,0.5794782960001612,0.05794782960001612,1024,1767.1067356070832,32,1.0,1.0,1.0,32.0,32.0,0.018578760000309558,0.018578760000309558,1.0,1.0,1.0,32.0,32.0,0.018578760000309558,0.018578760000309558,1.0,1.0,1.0,32.0,32.0,0.018578760000309558,0.018578760000309558,1.0,1.0,1.0,32.0,32.0,0.018578760000309558,0.018578760000309558,0.788888888888889
32,32,1024,2,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0830516666173935,0.7333333333333334,0.06851880997419357,0.36343338727437946,0.36343338727437946,1.0,0.82,0.9393939393939394,0.9393939393939394,81,1.0,1.0538848638534546,0.13846012949943542,1.0,1.0,1.0,1.0,0.9844973544973545,0.5917277879998437,0.5917277879998437,0.5917277879998437,0.05917277879998437,1024,1730.525455735857,32,1.0,1.0,1.0,32.0,32.0,0.01663368699973944,0.01663368699973944,1.0,1.0,1.0,32.0,32.0,0.01663368699973944,0.01663368699973944,1.0,1.0,1.0,32.0,32.0,0.01663368699973944,0.01663368699973944,1.0,3.0,3.0,96.0,96.0,0.05133017899970582,0.05133017899970582,0.7333333333333334
32,32,1024,3,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.12725937366485596,0.6222222222222222,0.07047028094530106,0.26977108006059597,0.26977108006059597,0.9,0.8799999999999999,0.9696969696969697,0.9696969696969697,81,1.0,0.5714724659919739,0.11238384246826172,1.0,1.0,1.0,1.0,1.0,0.6009524720002446,0.6009524720002446,0.6009524720002446,0.06009524720002446,1024,1703.9617069743633,32,1.0,1.0,1.0,32.0,32.0,0.019528142999661213,0.019528142999661213,1.0,1.0,1.0,32.0,32.0,0.019528142999661213,0.019528142999661213,1.0,2.0,2.0,64.0,64.0,0.04157473600025696,0.04157473600025696,1.0,3.0,3.0,96.0,96.0,0.0633731269999771,0.0633731269999771,0.6222222222222222
32,32,1024,4,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07315120846033096,0.7666666666666668,0.06040652468800545,0.39487125491720076,0.39487125491720076,1.0,0.22000000000000006,0.9393939393939394,0.9393939393939394,81,1.0,0.2821016311645508,0.10006517916917801,0.9333333333333332,0.9,0.9,0.0,0.9806349206349207,0.5641696150005373,0.5641696150005373,0.5641696150005373,0.05641696150005373,1024,1815.0569842351838,32,1.0,1.0,1.0,32.0,32.0,0.016151655000612664,0.016151655000612664,1.0,1.0,1.0,32.0,32.0,0.016151655000612664,0.016151655000612664,1.0,1.0,1.0,32.0,32.0,0.016151655000612664,0.016151655000612664,1.0,3.0,3.0,96.0,96.0,0.05195303100026649,0.05195303100026649,0.7666666666666668
32,32,1024,5,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.03432837873697281,0.8111111111111111,0.029455222189426422,0.43590883107467115,0.43590883107467115,1.0,0.14,0.9090909090909091,0.9090909090909091,81,1.0,0.2519092857837677,0.11767102777957916,1.0,1.0,1.0,1.0,0.9944444444444445,0.5378213569993022,0.5378213569993022,0.5378213569993022,0.05378213569993022,1024,1903.977941138787,32,1.0,2.0,2.0,64.0,64.0,0.02775013299924467,0.02775013299924467,1.0,2.0,2.0,64.0,64.0,0.02775013299924467,0.02775013299924467,1.0,4.0,4.0,128.0,128.0,0.05969112999991921,0.05969112999991921,1.0,6.0,6.0,192.0,192.0,0.0924152329998833,0.0924152329998833,0.8111111111111111
32,32,1024,6,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.09879240393638611,0.6777777777777778,0.0641484186053276,0.3775681355513486,0.3775681355513486,0.5,0.1,0.9696969696969697,0.9696969696969697,81,1.0,0.23562808334827423,0.11867381632328033,0.9833333333333334,0.9,0.9,0.0,0.9815873015873017,0.456923003999691,0.456923003999691,0.456923003999691,0.0456923003999691,1024,2241.0777987459187,32,1.0,25.0,25.0,800.0,800.0,0.33697718599978543,0.33697718599978543,1.0,25.0,25.0,800.0,800.0,0.33697718599978543,0.33697718599978543,1.0,26.0,26.0,832.0,832.0,0.35240330699980404,0.35240330699980404,1.0,27.0,27.0,864.0,864.0,0.36936012399928586,0.36936012399928586,0.6777777777777778
32,32,1024,7,no_disease_to_disease,8,8,1.0,1.0,0.8,0.8,1.0,0.0,0.12652631103992462,0.3888888888888889,0.03340025618672371,0.36584269898442345,0.36584269898442345,0.875,0.32499999999999996,0.8846153846153846,0.8846153846153846,65,1.0,0.14522109925746918,0.10036724805831909,0.9791666666666667,0.875,0.7,0.0,0.9981060606060606,0.46995463100029156,0.46995463100029156,,0.058744328875036445,1024,2178.933736263926,32,1.0,19.0,19.0,608.0,608.0,0.26139331699960167,0.26139331699960167,1.0,20.0,20.0,640.0,640.0,0.2759910980003042,0.2759910980003042,1.0,21.0,21.0,672.0,672.0,0.29233156200007215,0.29233156200007215,0.0,,32.0,,1024.0,,0.4699240789996111,0.3888888888888889
64,16,1024,0,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.11806391179561615,0.6222222222222222,0.08225230127573013,0.23489664543159544,0.23489664543159544,0.1,0.86,0.8484848484848485,0.8484848484848485,81,1.0,0.3169921934604645,0.13312295079231262,1.0,1.0,1.0,1.0,0.9981481481481481,0.3866733570002907,0.3866733570002907,0.3866733570002907,0.038667335700029073,1024,2648.230040838397,16,1.0,1.0,1.0,64.0,64.0,0.01696897900001204,0.01696897900001204,1.0,1.0,1.0,64.0,64.0,0.01696897900001204,0.01696897900001204,1.0,1.0,1.0,64.0,64.0,0.01696897900001204,0.01696897900001204,1.0,2.0,2.0,128.0,128.0,0.037608133000503585,0.037608133000503585,0.6222222222222222
64,16,1024,1,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07413196563720703,0.7666666666666668,0.07395073771476746,0.37975315254740727,0.37975315254740727,0.5,1.0,0.9696969696969697,0.9696969696969697,81,1.0,0.4371004104614258,0.11655744910240173,1.0,1.0,1.0,1.0,0.9726984126984128,0.3829334440006278,0.3829334440006278,0.3829334440006278,0.03829334440006278,1024,2674.093934710809,16,1.0,1.0,1.0,64.0,64.0,0.03714710100030061,0.03714710100030061,1.0,1.0,1.0,64.0,64.0,0.03714710100030061,0.03714710100030061,1.0,1.0,1.0,64.0,64.0,0.03714710100030061,0.03714710100030061,1.0,1.0,1.0,64.0,64.0,0.03714710100030061,0.03714710100030061,0.7666666666666668
