method,epsilon,search_seed,query_number,direction,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
proposed_dp_eps16_sparse_diverse,16,11,0,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10302478075027466,0.6666666666666667,0.08682341873645782,0.26407714672145277,0.26407714672145277,0.1,0.8200000000000001,0.7878787878787878,0.7878787878787878,81,1.0,0.2768363356590271,0.13312295079231262,1.0,1.0,1.0,1.0,0.9952380952380953,0.33033952499954466,0.33033952499954466,0.33033952499954466,0.033033952499954465,1024,3099.840989362116,8,1.0,1.0,1.0,128.0,128.0,0.017761291000169876,0.017761291000169876,1.0,1.0,1.0,128.0,128.0,0.017761291000169876,0.017761291000169876,1.0,1.0,1.0,128.0,128.0,0.017761291000169876,0.017761291000169876,1.0,2.0,2.0,256.0,256.0,0.05917914400015434,0.05917914400015434,0.6666666666666667
proposed_dp_eps16_sparse_diverse,16,11,1,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.05602114275097847,0.8111111111111111,0.07233403623104095,0.36465213727698836,0.36465213727698836,0.6,1.0,0.9090909090909091,0.9090909090909091,81,1.0,0.27636900544166565,0.11655744910240173,1.0,1.0,1.0,1.0,0.9844444444444443,0.29558911100048135,0.29558911100048135,0.29558911100048135,0.029558911100048137,1024,3464.268343762949,8,1.0,1.0,1.0,128.0,128.0,0.021149928999875556,0.021149928999875556,1.0,1.0,1.0,128.0,128.0,0.021149928999875556,0.021149928999875556,1.0,1.0,1.0,128.0,128.0,0.021149928999875556,0.021149928999875556,1.0,1.0,1.0,128.0,128.0,0.021149928999875556,0.021149928999875556,0.8111111111111111
proposed_dp_eps16_sparse_diverse,16,11,2,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.06543052196502686,0.8,0.08786587417125702,0.38049184459198027,0.38049184459198027,1.0,0.78,1.0,1.0,81,1.0,0.6673316359519958,0.13846012949943542,1.0,1.0,1.0,1.0,0.9866666666666667,0.3295825949999198,0.3295825949999198,0.3295825949999198,0.03295825949999198,1024,3106.960183987413,8,1.0,1.0,1.0,128.0,128.0,0.021703379999962635,0.021703379999962635,1.0,1.0,1.0,128.0,128.0,0.021703379999962635,0.021703379999962635,1.0,1.0,1.0,128.0,128.0,0.021703379999962635,0.021703379999962635,1.0,1.0,1.0,128.0,128.0,0.021703379999962635,0.021703379999962635,0.8
proposed_dp_eps16_sparse_diverse,16,11,3,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10115081071853638,0.7000000000000001,0.08539340645074844,0.2761179081559121,0.2761179081559121,0.8,0.9,0.9696969696969697,0.9696969696969697,81,1.0,0.37037068605422974,0.1056913435459137,0.9833333333333334,0.9,0.9,0.0,0.9942857142857143,0.3243508429995927,0.3243508429995927,0.3243508429995927,0.03243508429995927,1024,3157.075192190223,8,1.0,1.0,1.0,128.0,128.0,0.018921874999250576,0.018921874999250576,1.0,1.0,1.0,128.0,128.0,0.018921874999250576,0.018921874999250576,1.0,1.0,1.0,128.0,128.0,0.018921874999250576,0.018921874999250576,1.0,2.0,2.0,256.0,256.0,0.05318372300007468,0.05318372300007468,0.7000000000000001
proposed_dp_eps16_sparse_diverse,16,11,4,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.051160961389541626,0.8222222222222222,0.06691976636648178,0.4123899781704841,0.4123899781704841,1.0,0.24000000000000005,0.8181818181818182,0.8181818181818182,81,1.0,0.23935385048389435,0.10582102835178375,0.9666666666666666,0.9,0.9,0.0,0.9722222222222221,0.31895734400040965,0.31895734400040965,0.31895734400040965,0.03189573440004097,1024,3210.4606439119484,8,1.0,1.0,1.0,128.0,128.0,0.022486841000500135,0.022486841000500135,1.0,1.0,1.0,128.0,128.0,0.022486841000500135,0.022486841000500135,1.0,1.0,1.0,128.0,128.0,0.022486841000500135,0.022486841000500135,1.0,1.0,1.0,128.0,128.0,0.022486841000500135,0.022486841000500135,0.8222222222222222
proposed_dp_eps16_sparse_diverse,16,11,5,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.029485637322068214,0.8222222222222222,0.04203449934720993,0.4498299645097591,0.4498299645097591,1.0,0.16,0.8787878787878788,0.8787878787878788,81,1.0,0.20815566182136536,0.11378038674592972,1.0,1.0,1.0,1.0,0.9744444444444443,0.19647655799963104,0.19647655799963104,0.19647655799963104,0.019647655799963103,1024,5211.817686677527,8,1.0,1.0,1.0,128.0,128.0,0.020648148999498517,0.020648148999498517,1.0,3.0,3.0,384.0,384.0,0.07404136300010578,0.07404136300010578,1.0,3.0,3.0,384.0,384.0,0.07404136300010578,0.07404136300010578,1.0,5.0,5.0,640.0,640.0,0.11475297400011186,0.11475297400011186,0.8222222222222222
proposed_dp_eps16_sparse_diverse,16,11,6,no_disease_to_disease,8,8,1.0,1.0,0.8,0.8,1.0,0.0,0.08587151020765305,0.6805555555555556,0.05304747074842453,0.32873085370720345,0.32873085370720345,0.125,0.1,0.8461538461538461,0.8461538461538461,65,1.0,0.24522140622138977,0.11867381632328033,1.0,1.0,0.8,0.0,1.0,0.12063319900062197,0.12063319900062197,,0.015079149875077746,1024,8488.542196371003,8,1.0,5.0,5.0,640.0,640.0,0.06895793200055778,0.06895793200055778,1.0,7.0,7.0,896.0,896.0,0.10103182500006369,0.10103182500006369,1.0,8.0,8.0,1024.0,1024.0,0.1205983580002794,0.1205983580002794,0.0,,8.0,,1024.0,,0.1205983580002794,0.6805555555555556
proposed_dp_eps16_sparse_diverse,16,11,7,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.14723901450634003,0.33333333333333337,0.05317651480436325,0.3845229180786967,0.3845229180786967,0.7,0.34,0.9393939393939394,0.9393939393939394,81,1.0,0.1559724062681198,0.1010458767414093,0.9666666666666666,0.9,0.9,0.0,0.9984848484848484,0.22724025000024994,0.22724025000024994,0.22724025000024994,0.022724025000024996,1024,4506.243942254392,8,1.0,3.0,3.0,384.0,384.0,0.04763203099992097,0.04763203099992097,1.0,3.0,3.0,384.0,384.0,0.04763203099992097,0.04763203099992097,1.0,4.0,4.0,512.0,512.0,0.07330999199984944,0.07330999199984944,1.0,6.0,6.0,768.0,768.0,0.14966888100025244,0.14966888100025244,0.33333333333333337
proposed_dp_eps8_sparse_diverse,8,11,0,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.1095639318227768,0.6444444444444445,0.09089617431163788,0.25207710268001116,0.25207710268001116,0.1,0.82,0.8181818181818182,0.8181818181818182,81,1.0,0.24554817378520966,0.10482069849967957,0.95,0.9,0.9,0.0,0.9952380952380953,0.3297008849995109,0.3297008849995109,0.3297008849995109,0.03297008849995109,1024,3105.8454696035137,8,1.0,1.0,1.0,128.0,128.0,0.01861828399978549,0.01861828399978549,1.0,1.0,1.0,128.0,128.0,0.01861828399978549,0.01861828399978549,1.0,1.0,1.0,128.0,128.0,0.01861828399978549,0.01861828399978549,1.0,2.0,2.0,256.0,256.0,0.05665489199964213,0.05665489199964213,0.6444444444444445
proposed_dp_eps8_sparse_diverse,8,11,1,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.061003148555755615,0.8,0.07265979051589966,0.3604684064085759,0.3604684064085759,0.7,1.0,0.9696969696969697,0.9696969696969697,81,1.0,0.2897983193397522,0.11655744910240173,1.0,1.0,1.0,1.0,0.9844444444444443,0.29529864699998143,0.29529864699998143,0.29529864699998143,0.029529864699998142,1024,3467.675894905351,8,1.0,1.0,1.0,128.0,128.0,0.0186235580003995,0.0186235580003995,1.0,1.0,1.0,128.0,128.0,0.0186235580003995,0.0186235580003995,1.0,1.0,1.0,128.0,128.0,0.0186235580003995,0.0186235580003995,1.0,2.0,2.0,256.0,256.0,0.046343621000232815,0.046343621000232815,0.8
