method_label,direction,n_factuals,valid_cfe_yield_at_k_mean,full_k_success_mean,robust_completeness_at_k_mean,proximity_mean,sparsity_mean,diversity_mean,plausibility_distance_mean,plausibility_inlier_rate_mean,target_data_support_mean,local_surrogate_fidelity_mean,changed_set_dice_mean,generation_time_to_k_or_cap_seconds_mean
Budget-matched genetic CFE,disease_to_no_disease,100.0,0.534,0.3,0.49,0.04551688762866471,0.680658838878017,0.031292144158115126,0.32500633745386226,0.7200206566644923,0.8685214176994999,0.935393835157652,0.9789887554665564,0.05896970499999952
CounterGAN + iterative black-box search,disease_to_no_disease,100.0,0.894,0.84,0.8869999999999999,0.17583996530932686,0.2960133744855967,0.04062950372463092,0.3817023682864136,0.3130208333333333,0.9239409722222222,0.933084854959855,0.9966320257433537,0.04686497996000071
CounterGAN non-DP + identical counted sparse-diverse search,disease_to_no_disease,100.0,0.914,0.89,0.8860000000000001,0.1041166614741087,0.6359900934369022,0.07554027667031327,0.3487418376848787,0.5588652482269504,0.8927456940222898,0.9196981383335014,0.9904170327308626,0.2734716761800246
CounterGAN one-shot,disease_to_no_disease,100.0,0.137,0.0,0.137,0.16913127318202031,0.3486184597295709,0.01143250394878643,0.3885284349621607,0.207010582010582,0.9168650793650792,0.9507461674128341,0.9966609618789241,0.029687495859980116
Custom DiCE-style gradient,disease_to_no_disease,100.0,0.32799999999999996,0.03,0.32799999999999996,0.0923857271042933,0.49383459764985876,0.0545703457242035,0.36067284866104277,0.5551874163319946,0.8717402945113788,0.9424885244162352,0.9960054189823265,0.13076307949008878
Custom Wachter-style gradient,disease_to_no_disease,100.0,0.31799999999999995,0.03,0.31799999999999995,0.09160514153176691,0.4952854131715921,0.05410864890166899,0.3611857662353757,0.5460607820363917,0.8770460704607045,0.9450233612134369,0.9935439287827499,0.11198890419994313
DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,disease_to_no_disease,100.0,0.9069999999999999,0.88,0.8720000000000002,0.0988068385644162,0.6472156553716838,0.0730112377910855,0.3398720767567516,0.6120567375886524,0.8916784869976361,0.9205905205905204,0.9898954368120252,0.27655409445998885
Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,disease_to_no_disease,100.0,0.9079999999999999,0.9,0.8760000000000001,0.10123823370824578,0.6461569095977698,0.07494516338231744,0.3387150027546369,0.6089605734767026,0.8987813620071686,0.9180236330773964,0.989901318812609,0.27467458745996737
Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,disease_to_no_disease,100.0,0.904,0.88,0.8760000000000002,0.09697629701583943,0.651446583361477,0.070213010633721,0.34299784985590986,0.624822695035461,0.8906382978723406,0.9318821717941306,0.9895014996401774,0.27850837477001733
Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,disease_to_no_disease,100.0,0.9119999999999999,0.89,0.8780000000000001,0.1019015677113046,0.6419952210274792,0.07347896244497068,0.34087926072803787,0.6078853046594982,0.887252090800478,0.9229574487639004,0.9901613776008937,0.2776536940399819
Uniform constrained random,disease_to_no_disease,100.0,0.6759999999999999,0.57,0.639,0.06153944721799108,0.5945052798428329,0.05647024868315534,0.3573433308006515,0.5856288929073739,0.8678762306610407,0.9116672211827167,0.9894539678558665,0.056211490909963684
Budget-matched genetic CFE,no_disease_to_disease,100.0,0.261,0.12,0.24000000000000005,0.059207153196136154,0.6272045855379189,0.026135379933596898,0.3445900878924717,0.6370949074074074,0.1471114417989418,0.9263753992920659,0.9785619376994625,0.05326624194999567
CounterGAN + iterative black-box search,no_disease_to_disease,100.0,0.627,0.51,0.6210000000000001,0.14420781487768347,0.3683833802881422,0.04772747266892489,0.3929801724022195,0.4421511028653886,0.19617192331478042,0.9171514425432922,0.9946094397413786,0.04903706910002256
CounterGAN non-DP + identical counted sparse-diverse search,no_disease_to_disease,100.0,0.6609999999999999,0.61,0.6310000000000001,0.10552216183982398,0.6119639376218323,0.05644077293292962,0.34683684762367284,0.5578947368421052,0.17605263157894738,0.9059181559181559,0.9910319136881636,0.23842144441004165
CounterGAN one-shot,no_disease_to_disease,100.0,0.274,0.01,0.267,0.13890292229396956,0.39191484001007815,0.04568346491349595,0.3845659109312797,0.40083900226757374,0.18940702947845808,0.935653643929506,0.9954446966820917,0.025646413599934022
Custom DiCE-style gradient,no_disease_to_disease,100.0,0.18700000000000003,0.0,0.18600000000000003,0.10846856834947086,0.4520730332205741,0.04924564643717203,0.37934928886336333,0.3633619568045797,0.1700598490762425,0.9465413363095668,0.9927191913530711,0.13076029511001253
Custom Wachter-style gradient,no_disease_to_disease,100.0,0.17800000000000005,0.0,0.17600000000000002,0.1072942381877391,0.45255009107468114,0.04658378880532062,0.3787064687469208,0.358287795992714,0.17480874316939887,0.9416001120919152,0.993024882676522,0.11286822125000981
DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,no_disease_to_disease,100.0,0.546,0.47,0.5170000000000001,0.09283641140375819,0.6390388007054676,0.0477719923281776,0.3324315610233261,0.5903174603174604,0.17004761904761903,0.8922228603388023,0.9905001222322651,0.1871186303599734
Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,no_disease_to_disease,100.0,0.551,0.47,0.5299999999999999,0.09304099529981613,0.6382242711899575,0.048045570236247254,0.3360331903481634,0.557452147525677,0.17515639589169,0.9091498802452149,0.9914735303924729,0.18357567077999193
Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,no_disease_to_disease,100.0,0.606,0.53,0.5790000000000001,0.0940220625272819,0.6399263038548753,0.050266505827728125,0.33217558241979256,0.6152551020408163,0.17072108843537417,0.9130396423499871,0.9904643114821687,0.20272280405999482
Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,no_disease_to_disease,100.0,0.586,0.49,0.5529999999999999,0.08952206422520034,0.6502632534495278,0.050141397644491756,0.33103417188708884,0.6442577030812324,0.1583823529411765,0.9027191087028816,0.9902776525820118,0.18827142220994575
Uniform constrained random,no_disease_to_disease,100.0,0.254,0.17,0.248,0.07291297676662604,0.55054379776602,0.046145103073545864,0.36632961749498183,0.5732142857142858,0.13473544973544976,0.8795796795796798,0.9884187300060313,0.05007783712002492
