method_label,candidate_budget,valid_cfe_yield_at_k,full_k_success,robust_completeness_at_k,proximity,sparsity,diversity,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,changed_set_dice,generation_time_to_k_or_cap_seconds
Budget-matched genetic CFE,1024,0.3975,0.21,0.365,0.05236202041240043,0.653931712207968,0.02871376204585601,0.33479821267316695,0.6785577820359499,0.5078164297492208,0.9308846172248589,0.9787753465830095,0.0561179734749976
CounterGAN + iterative black-box search,1024,0.7605,0.675,0.754,0.16002389009350515,0.33219837738686947,0.0441784881967779,0.38734127034431654,0.37758596809936096,0.5600564477685014,0.9251181487515736,0.9956207327423664,0.04795102453001164
CounterGAN non-DP + identical counted sparse-diverse search,1024,0.7875,0.75,0.7585,0.10481941165696634,0.6239770155293671,0.06599052480162144,0.34778934265427575,0.5583799925345279,0.5343991628006186,0.9128081471258287,0.9907244732095132,0.25594656029503315
CounterGAN one-shot,1024,0.20550000000000002,0.005,0.202,0.15401709773799493,0.3702666498698245,0.02855798443114119,0.3865471729467202,0.30392479213907786,0.5531360544217687,0.94319990567117,0.9960528292805079,0.027666954729957068
Custom DiCE-style gradient,1024,0.25749999999999995,0.015,0.257,0.10042714772688208,0.4729538154352165,0.05190799608068777,0.370011068762203,0.4592746865682872,0.5209000717938107,0.944514930362901,0.9943623051676989,0.13076168730005067
Custom Wachter-style gradient,1024,0.248,0.015,0.247,0.099449689859753,0.4739177521231367,0.0503462188534948,0.36994611749114825,0.45217428901455287,0.5259274068150517,0.9433117366526761,0.9932844057296359,0.11242856272497648
DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,1024,0.7265,0.675,0.6945,0.0958216249840872,0.6431272280385756,0.060391615059631545,0.33615181889003887,0.6011870989530563,0.5308630530226275,0.9064066904646615,0.9901977795221452,0.23183636240998112
Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,1024,0.7295,0.685,0.703,0.09713961450403095,0.6421905903938636,0.061495366809282345,0.33737409655140016,0.5832063605011897,0.5369688789494292,0.9135867566613057,0.990687424602541,0.22912512911997965
Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,1024,0.755,0.7050000000000001,0.7274999999999999,0.09549917977156067,0.6456864436081762,0.06023975823072456,0.3375867161378512,0.6200388985381386,0.5306796931538573,0.9224609070720589,0.9899829055611731,0.24061558941500608
Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,1024,0.749,0.69,0.7155,0.09571181596825247,0.6461292372385036,0.06181018004473122,0.3359567163075634,0.6260715038703654,0.5228172218708272,0.9128382787333911,0.9902195150914528,0.23296255812496383
Uniform constrained random,1024,0.46499999999999997,0.37,0.4435,0.06722621199230856,0.5725245388044263,0.0513076758783506,0.3618364741478166,0.5794215893108299,0.5013058401982452,0.8956234503811981,0.9889363489309491,0.053144664014994306
