method,candidate_budget,direction,n_query_seed_runs,mean_valid_cfe_yield_at_k,mean_full_k_success,mean_robust_yield_at_k,mean_rounds_to_k10_or_cap,median_rounds_to_k10_or_cap,mean_candidates_to_k10_or_cap,mean_time_to_k10_or_cap_seconds
countergan_one_shot,128,disease_to_no_disease,100,0.105,0.0,0.105,1.0,1.0,128.0,0.009377128140022251
countergan_one_shot,128,no_disease_to_disease,100,0.20800000000000002,0.0,0.205,1.0,1.0,128.0,0.00887359078998088
countergan_one_shot,256,disease_to_no_disease,100,0.10800000000000001,0.0,0.10800000000000001,1.0,1.0,256.0,0.012369195290002608
countergan_one_shot,256,no_disease_to_disease,100,0.22399999999999998,0.0,0.221,1.0,1.0,256.0,0.011131391240023731
countergan_one_shot,512,disease_to_no_disease,100,0.12300000000000001,0.0,0.12300000000000001,1.0,1.0,512.0,0.018082244890074435
countergan_one_shot,512,no_disease_to_disease,100,0.247,0.01,0.243,1.0,1.0,512.0,0.01619253092996587
countergan_one_shot,1024,disease_to_no_disease,100,0.137,0.0,0.137,1.0,1.0,1024.0,0.02965116667000075
countergan_one_shot,1024,no_disease_to_disease,100,0.274,0.01,0.267,1.0,1.0,1024.0,0.025611560449960963
countergan_sparse_diverse_no_dp,128,disease_to_no_disease,100,0.44299999999999995,0.05,0.442,1.0,1.0,128.0,0.017924006290004398
countergan_sparse_diverse_no_dp,128,no_disease_to_disease,100,0.449,0.21,0.447,1.0,1.0,128.0,0.018792455470074857
countergan_sparse_diverse_no_dp,256,disease_to_no_disease,100,0.8220000000000001,0.73,0.812,1.95,2.0,249.6,0.046251070210082616
countergan_sparse_diverse_no_dp,256,no_disease_to_disease,100,0.574,0.43,0.556,1.79,2.0,229.12,0.03588825663000535
countergan_sparse_diverse_no_dp,512,disease_to_no_disease,100,0.885,0.85,0.863,2.36,2.0,302.08,0.053101148430023386
countergan_sparse_diverse_no_dp,512,no_disease_to_disease,100,0.629,0.58,0.608,2.76,3.0,353.28,0.05260662478009181
countergan_sparse_diverse_no_dp,1024,disease_to_no_disease,100,0.914,0.89,0.8859999999999999,2.94,2.0,376.32,0.06563031889999366
countergan_sparse_diverse_no_dp,1024,no_disease_to_disease,100,0.6609999999999999,0.61,0.631,4.43,3.0,567.04,0.0820271493999644
dice_gradient_style,128,disease_to_no_disease,100,0.006000000000000001,0.0,0.006000000000000001,1.0,1.0,128.0,0.020511078859999542
dice_gradient_style,128,no_disease_to_disease,100,0.0030000000000000005,0.0,0.0030000000000000005,1.0,1.0,128.0,0.020188862149980197
dice_gradient_style,256,disease_to_no_disease,100,0.026000000000000002,0.0,0.026000000000000002,1.0,1.0,256.0,0.03642130957994596
dice_gradient_style,256,no_disease_to_disease,100,0.013000000000000001,0.0,0.013000000000000001,1.0,1.0,256.0,0.03641119444000651
dice_gradient_style,512,disease_to_no_disease,100,0.298,0.03,0.29600000000000004,1.0,1.0,512.0,0.06752446097994834
dice_gradient_style,512,no_disease_to_disease,100,0.09700000000000002,0.0,0.09700000000000002,1.0,1.0,512.0,0.06763272855995638
dice_gradient_style,1024,disease_to_no_disease,100,0.32799999999999996,0.03,0.32799999999999996,1.0,1.0,1024.0,0.13076307949008878
dice_gradient_style,1024,no_disease_to_disease,100,0.187,0.0,0.18600000000000003,1.0,1.0,1024.0,0.13076029511001253
genetic_cfe,128,disease_to_no_disease,100,0.06,0.0,0.057,1.0,1.0,128.0,0.00631500646004497
genetic_cfe,128,no_disease_to_disease,100,0.035,0.0,0.03,1.0,1.0,128.0,0.006171704400012459
genetic_cfe,256,disease_to_no_disease,100,0.134,0.01,0.127,2.0,2.0,256.0,0.012910327280005731
genetic_cfe,256,no_disease_to_disease,100,0.046,0.0,0.044000000000000004,2.0,2.0,256.0,0.012518598840115374
genetic_cfe,512,disease_to_no_disease,100,0.312,0.03,0.293,3.96,4.0,506.88,0.026526035360020614
genetic_cfe,512,no_disease_to_disease,100,0.124,0.05,0.11599999999999999,4.0,4.0,512.0,0.025471250259952286
genetic_cfe,1024,disease_to_no_disease,100,0.534,0.3,0.49,7.37,8.0,943.36,0.052351211199975295
genetic_cfe,1024,no_disease_to_disease,100,0.261,0.12,0.24,7.79,8.0,997.12,0.050746173900006394
proposed_countergan,128,disease_to_no_disease,100,0.105,0.0,0.105,1.0,1.0,128.0,0.009297867690047496
proposed_countergan,128,no_disease_to_disease,100,0.20800000000000002,0.0,0.205,1.0,1.0,128.0,0.00900630716001615
proposed_countergan,256,disease_to_no_disease,100,0.48100000000000004,0.03,0.47700000000000004,2.0,2.0,256.0,0.019111439319967758
proposed_countergan,256,no_disease_to_disease,100,0.396,0.08,0.391,2.0,2.0,256.0,0.017537192939944362
proposed_countergan,512,disease_to_no_disease,100,0.809,0.6,0.804,3.71,4.0,474.88,0.034903998520030656
proposed_countergan,512,no_disease_to_disease,100,0.574,0.41,0.564,3.66,4.0,468.48,0.031659547820027
proposed_countergan,1024,disease_to_no_disease,100,0.894,0.84,0.887,4.75,4.0,608.0,0.04683109919002163
proposed_countergan,1024,no_disease_to_disease,100,0.627,0.51,0.621,5.8,6.0,742.4,0.04900566792000973
proposed_dp_eps16_sparse_diverse,128,disease_to_no_disease,100,0.532,0.23,0.526,1.0,1.0,128.0,0.019382241470038933
proposed_dp_eps16_sparse_diverse,128,no_disease_to_disease,100,0.1,0.02,0.095,1.0,1.0,128.0,0.015398213080015922
proposed_dp_eps16_sparse_diverse,256,disease_to_no_disease,100,0.8270000000000001,0.73,0.82,1.77,2.0,226.56,0.04009667428997091
proposed_dp_eps16_sparse_diverse,256,no_disease_to_disease,100,0.253,0.18,0.245,1.97,2.0,252.16,0.03166539195999576
proposed_dp_eps16_sparse_diverse,512,disease_to_no_disease,100,0.883,0.84,0.853,2.26,2.0,289.28,0.051845601610020824
