query_id,direction,difficulty_stratum,baseline_seed,method,implementation,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,algorithm_status,implementation_error,native_iterations
8,disease_to_no_disease,near_boundary,11,official_dice_random,official dice-ml==0.12,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.045507512986660004,0.8055555555555555,0.08374584466218948,0.3545476253078537,0.3545476253078537,1.0,0.9,,,0,1.0,0.42359116673469543,0.16181758046150208,1.0,1.0,0.4,0.0,0.9468749999999999,1.0531079839993254,1.0531079839993254,,0.26327699599983134,,0.0,0,0.0,,0.0,,0.0,,1.0531079839993254,0.0,,0.0,,0.0,,1.0531079839993254,0.0,,0.0,,0.0,,1.0531079839993254,0.0,,0.0,,0.0,,1.0531079839993254,ok,,1
8,disease_to_no_disease,near_boundary,11,official_dice_genetic,official dice-ml==0.12,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.001001620999887,20.001001620999887,,,,0.0,0,0.0,,0.0,,0.0,,20.001001620999887,0.0,,0.0,,0.0,,20.001001620999887,0.0,,0.0,,0.0,,20.001001620999887,0.0,,0.0,,0.0,,20.001001620999887,timeout,,300
8,disease_to_no_disease,near_boundary,11,wachter_style_native_350_steps,custom native configuration; not official package,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.09526905417442322,0.5277777777777778,0.06991557031869888,0.40184684636084667,0.40184684636084667,1.0,0.8,,,0,1.0,1.422332763671875,1.0164865255355835,1.0,1.0,0.4,0.0,0.9947916666666667,0.6040211099998487,0.6040211099998487,,0.15100527749996218,5616.0,9297.68828775108,1,1.0,1.0,1.0,5616.0,5616.0,0.6040211099998487,0.6040211099998487,1.0,1.0,1.0,5616.0,5616.0,0.6040211099998487,0.6040211099998487,0.0,,1.0,,5616.0,,0.6040211099998487,0.0,,1.0,,5616.0,,0.6040211099998487,ok,,350
94,disease_to_no_disease,high_confidence,11,official_dice_random,official dice-ml==0.12,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,2.268173516000388,2.268173516000388,,,,0.0,0,0.0,,0.0,,0.0,,2.268173516000388,0.0,,0.0,,0.0,,2.268173516000388,0.0,,0.0,,0.0,,2.268173516000388,0.0,,0.0,,0.0,,2.268173516000388,no_cf,,1
94,disease_to_no_disease,high_confidence,11,official_dice_genetic,official dice-ml==0.12,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.001110205999794,20.001110205999794,,,,0.0,0,0.0,,0.0,,0.0,,20.001110205999794,0.0,,0.0,,0.0,,20.001110205999794,0.0,,0.0,,0.0,,20.001110205999794,0.0,,0.0,,0.0,,20.001110205999794,timeout,,300
94,disease_to_no_disease,high_confidence,11,wachter_style_native_350_steps,custom native configuration; not official package,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,0.607211229999848,0.607211229999848,,,5616.0,9248.840802897215,1,0.0,,1.0,,5616.0,,0.607211229999848,0.0,,1.0,,5616.0,,0.607211229999848,0.0,,1.0,,5616.0,,0.607211229999848,0.0,,1.0,,5616.0,,0.607211229999848,no_cf,,350
189,no_disease_to_disease,high_confidence,11,official_dice_random,official dice-ml==0.12,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,2.310770111999773,2.310770111999773,,,,0.0,0,0.0,,0.0,,0.0,,2.310770111999773,0.0,,0.0,,0.0,,2.310770111999773,0.0,,0.0,,0.0,,2.310770111999773,0.0,,0.0,,0.0,,2.310770111999773,no_cf,,1
189,no_disease_to_disease,high_confidence,11,official_dice_genetic,official dice-ml==0.12,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.001071603000128,20.001071603000128,,,,0.0,0,0.0,,0.0,,0.0,,20.001071603000128,0.0,,0.0,,0.0,,20.001071603000128,0.0,,0.0,,0.0,,20.001071603000128,0.0,,0.0,,0.0,,20.001071603000128,timeout,,300
189,no_disease_to_disease,high_confidence,11,wachter_style_native_350_steps,custom native configuration; not official package,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,0.593388808999407,0.593388808999407,,,5616.0,9464.283644765555,1,0.0,,1.0,,5616.0,,0.593388808999407,0.0,,1.0,,5616.0,,0.593388808999407,0.0,,1.0,,5616.0,,0.593388808999407,0.0,,1.0,,5616.0,,0.593388808999407,no_cf,,350
113,no_disease_to_disease,near_boundary,11,official_dice_random,official dice-ml==0.12,2,2,1.0,1.0,0.2,0.2,1.0,0.0,0.02788982167840004,0.7777777777777778,0.04167599603533745,0.25643167657820826,0.25643167657820826,0.5,0.0,,,0,1.0,0.12546516954898834,0.11019998788833618,1.0,1.0,0.2,0.0,1.0,1.0630086139999548,1.0630086139999548,,0.5315043069999774,,0.0,0,0.0,,0.0,,0.0,,1.0630086139999548,0.0,,0.0,,0.0,,1.0630086139999548,0.0,,0.0,,0.0,,1.0630086139999548,0.0,,0.0,,0.0,,1.0630086139999548,ok,,1
