method,method_label,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,group_sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,changed_set_dice,constraint_validity,mean_target_logit_margin,generation_time_to_k_or_cap_seconds,candidate_evaluations,rounds_used
countergan_one_shot,CounterGAN one-shot,128,0.1565,0.7649999999999999,0.0,0.155,0.0,0.15540666069527656,0.3656999881612618,0.3656999881612618,0.024412330913577043,0.3874082978364757,0.3874082978364757,0.29744385706089665,0.5475630276206869,0.9441191273451348,0.9441191273451348,0.9963842414972186,1.0,0.8985281567456338,0.00915659783503088,128.0,1.0
countergan_one_shot,CounterGAN one-shot,256,0.16599999999999998,0.7649999999999999,0.0,0.1645,0.0,0.15450643826205535,0.3681338961287326,0.3681338961287326,0.02451991578564048,0.3862934451054514,0.3862934451054514,0.3081081468732071,0.555259568887796,0.9494353313214967,0.9494353313214967,0.9962478440515421,1.0,0.9013888453599868,0.0117792762550107,256.0,1.0
countergan_one_shot,CounterGAN one-shot,512,0.185,0.77,0.005,0.183,0.005,0.15435361432443773,0.3715621063240111,0.3715621063240111,0.025755564511443178,0.38590734471270266,0.38590734471270266,0.30675831443688584,0.5502588813303099,0.9437018760294622,0.9437018760294622,0.9957178698013782,1.0,0.874768267678363,0.017170823235005628,512.0,1.0
countergan_one_shot,CounterGAN one-shot,1024,0.20550000000000002,0.77,0.005,0.202,0.0,0.15401709773799493,0.3702666498698245,0.3702666498698245,0.02855798443114119,0.3865471729467202,0.3865471729467202,0.30392479213907786,0.5531360544217687,0.94319990567117,0.94319990567117,0.9960528292805079,1.0,0.8586861123641332,0.027666954729957068,1024.0,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,0.44599999999999995,0.7649999999999999,0.13,0.4445,0.125,0.1344556187935135,0.46784275803136965,0.46784275803136965,0.05422306093026639,0.37685905765626404,0.37685905765626404,0.33993911018222556,0.536367442559353,0.9287124514378358,0.9287124514378358,0.9964954621746606,1.0,0.704393001220056,0.018396156415014957,128.0,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,256,0.698,0.815,0.58,0.684,0.49,0.11711298707252127,0.5414570352874088,0.5414570352874088,0.06360998985529247,0.3650264726385293,0.3650264726385293,0.45635792411473675,0.5369824684823918,0.9186237506704914,0.9186237506704914,0.9951313321481432,1.0,0.49624394018326207,0.0469015162150572,256.0,2.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,512,0.757,0.8300000000000001,0.715,0.7355,0.57,0.10620814372451629,0.6157339474089609,0.6157339474089609,0.06512290177810093,0.3482811644954136,0.3482811644954136,0.5656589674707218,0.5341048895622471,0.913209193369036,0.913209193369036,0.9909179640849142,1.0,0.39268648771917297,0.11387127643502482,512.0,4.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,1024,0.7875,0.85,0.75,0.7585,0.5499999999999999,0.10481941165696634,0.6239770155293671,0.6239770155293671,0.06599052480162144,0.34778934265427575,0.34778934265427575,0.5583799925345279,0.5343991628006186,0.9128081471258287,0.9128081471258287,0.9907244732095132,1.0,0.37071554544241003,0.25594656029503315,1024.0,8.0
dice_gradient_style,Custom DiCE-style gradient,128,0.0045000000000000005,0.045,0.0,0.0045000000000000005,0.0,0.016187596522892516,0.7314814814814816,0.7314814814814816,0.0,0.22843229236438506,0.22843229236438506,0.9166666666666667,0.4333333333333333,1.0,1.0,0.9659722222222222,1.0,0.23710867762565613,0.02034997050498987,128.0,1.0
dice_gradient_style,Custom DiCE-style gradient,256,0.019500000000000003,0.175,0.0,0.019500000000000003,0.0,0.02394263884052634,0.6383333333333334,0.6383333333333334,0.004221829939633608,0.2718531676158297,0.2718531676158297,0.8400000000000001,0.48700000000000004,0.98,0.98,0.9926071428571429,1.0,0.3175172457098961,0.03641625200997624,256.0,1.0
