round,candidates,candidates_cumulative,feasible_candidates,margin_valid_candidates,archive_size,round_elapsed_seconds,cumulative_elapsed_seconds,proposal_adapts_to_oracle,acceptance_denominator_kind,query_id,method,method_seed,run_seed,robustness_seed,generator_training_seed,candidate_budget,direction,optimization_steps,gradient_restarts,final_unique_candidate_pool,backward_steps
1,128,128,128,1,1,0.006489784000223153,0.006489784000223153,False,all independently sampled candidates,0,uniform_random,11,10249379,17249379,,1024,disease_to_no_disease,,,,
2,128,256,128,2,2,0.006263514999773179,0.012753298999996332,False,all independently sampled candidates,0,uniform_random,11,10249379,17249379,,1024,disease_to_no_disease,,,,
3,128,384,128,3,3,0.006159126000056858,0.01891242500005319,False,all independently sampled candidates,0,uniform_random,11,10249379,17249379,,1024,disease_to_no_disease,,,,
4,128,512,128,10,9,0.006207235000147193,0.025119660000200383,False,all independently sampled candidates,0,uniform_random,11,10249379,17249379,,1024,disease_to_no_disease,,,,
5,128,640,128,16,17,0.006841530999736278,0.03196119099993666,False,all independently sampled candidates,0,uniform_random,11,10249379,17249379,,1024,disease_to_no_disease,,,,
6,128,768,128,15,23,0.006633867999880749,0.03859505899981741,False,all independently sampled candidates,0,uniform_random,11,10249379,17249379,,1024,disease_to_no_disease,,,,
7,128,896,128,10,30,0.006441413000175089,0.0450364719999925,False,all independently sampled candidates,0,uniform_random,11,10249379,17249379,,1024,disease_to_no_disease,,,,
8,128,1024,128,21,43,0.007035151999843947,0.05207162399983645,False,all independently sampled candidates,0,uniform_random,11,10249379,17249379,,1024,disease_to_no_disease,,,,
1,128,128,128,1,1,0.006870917000014742,0.006870917000014742,True,all genetic population candidates,0,genetic_cfe,11,10249379,17249379,,1024,disease_to_no_disease,,,,
2,128,256,128,3,2,0.0062150599997039535,0.013085976999718696,True,all genetic population candidates,0,genetic_cfe,11,10249379,17249379,,1024,disease_to_no_disease,,,,
3,128,384,128,10,2,0.006322735000139801,0.019408711999858497,True,all genetic population candidates,0,genetic_cfe,11,10249379,17249379,,1024,disease_to_no_disease,,,,
4,128,512,128,31,6,0.0067329869998502545,0.02614169899970875,True,all genetic population candidates,0,genetic_cfe,11,10249379,17249379,,1024,disease_to_no_disease,,,,
5,128,640,128,80,10,0.007983249000062642,0.03412494799977139,True,all genetic population candidates,0,genetic_cfe,11,10249379,17249379,,1024,disease_to_no_disease,,,,
6,128,768,128,107,11,0.008829850000438455,0.04295479800020985,True,all genetic population candidates,0,genetic_cfe,11,10249379,17249379,,1024,disease_to_no_disease,,,,
7,128,896,128,124,12,0.009470291000070574,0.05242508900028042,True,all genetic population candidates,0,genetic_cfe,11,10249379,17249379,,1024,disease_to_no_disease,,,,
8,128,1024,128,123,13,0.009599572999832162,0.062024662000112585,True,all genetic population candidates,0,genetic_cfe,11,10249379,17249379,,1024,disease_to_no_disease,,,,
1,1024,1024,16,9,5,0.13929142599954503,0.13929142599954503,True,final restart pool only,0,dice_gradient_style,11,10249379,17249379,,1024,disease_to_no_disease,63.0,16.0,16.0,63.0
1,1024,1024,16,9,5,0.12418876499941689,0.12418876499941689,True,final restart pool only,0,wachter_style,11,10249379,17249379,,1024,disease_to_no_disease,63.0,16.0,16.0,63.0
1,128,128,128,5,2,0.006022325000230921,0.006022325000230921,False,all independently sampled candidates,1,uniform_random,11,11249382,18249382,,1024,disease_to_no_disease,,,,
2,128,256,128,15,4,0.006072979999771633,0.012095305000002554,False,all independently sampled candidates,1,uniform_random,11,11249382,18249382,,1024,disease_to_no_disease,,,,
3,128,384,128,13,8,0.00607080300051166,0.018166108000514214,False,all independently sampled candidates,1,uniform_random,11,11249382,18249382,,1024,disease_to_no_disease,,,,
4,128,512,128,13,12,0.006102968999584846,0.02426907700009906,False,all independently sampled candidates,1,uniform_random,11,11249382,18249382,,1024,disease_to_no_disease,,,,
5,128,640,128,14,15,0.006731491999744321,0.03100056899984338,False,all independently sampled candidates,1,uniform_random,11,11249382,18249382,,1024,disease_to_no_disease,,,,
6,128,768,128,8,18,0.006200687999807997,0.03720125699965138,False,all independently sampled candidates,1,uniform_random,11,11249382,18249382,,1024,disease_to_no_disease,,,,
7,128,896,128,17,24,0.006443511000725266,0.043644768000376644,False,all independently sampled candidates,1,uniform_random,11,11249382,18249382,,1024,disease_to_no_disease,,,,
8,128,1024,128,11,28,0.0061667619993386324,0.049811529999715276,False,all independently sampled candidates,1,uniform_random,11,11249382,18249382,,1024,disease_to_no_disease,,,,
1,128,128,128,5,2,0.006127991000539623,0.006127991000539623,True,all genetic population candidates,1,genetic_cfe,11,11249382,18249382,,1024,disease_to_no_disease,,,,
2,128,256,128,15,3,0.006228889999874809,0.012356881000414432,True,all genetic population candidates,1,genetic_cfe,11,11249382,18249382,,1024,disease_to_no_disease,,,,
