round,candidates,candidates_cumulative,feasible_candidates,margin_valid_candidates,archive_size,round_elapsed_seconds,cumulative_elapsed_seconds,query_id,method,method_seed,run_seed,robustness_seed,generator_training_seed,candidate_budget,direction,base_candidates,prune_candidates,fill_candidates,prune_valid_candidates,proposal_adapts_to_oracle,acceptance_denominator_kind
1,1024,1024,1024,1024,2,0.03386278499965556,0.03386278499965556,0,countergan_one_shot,11,10249379,17249379,11,1024,disease_to_no_disease,,,,,,
1,128,128,128,128,1,0.009608500000467757,0.009608500000467757,0,proposed_countergan,11,10249379,17249379,11,1024,disease_to_no_disease,,,,,,
2,128,256,128,128,5,0.012090548998457962,0.02169904899892572,0,proposed_countergan,11,10249379,17249379,11,1024,disease_to_no_disease,,,,,,
3,128,384,128,128,8,0.010205106000285014,0.03190415499921073,0,proposed_countergan,11,10249379,17249379,11,1024,disease_to_no_disease,,,,,,
4,128,512,128,128,10,0.007976225000675186,0.03988037999988592,0,proposed_countergan,11,10249379,17249379,11,1024,disease_to_no_disease,,,,,,
1,128,128,128,128,6,0.020213208001223393,0.020213208001223393,0,countergan_sparse_diverse_no_dp,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,7.0,57.0,7.0,True,all scored base+prune/fill candidates
2,128,256,128,124,27,0.04671295099979034,0.06692615900101373,0,countergan_sparse_diverse_no_dp,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,47.0,17.0,43.0,True,all scored base+prune/fill candidates
3,128,384,128,123,32,0.055229689000043436,0.12215584800105717,0,countergan_sparse_diverse_no_dp,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,60.0,4.0,55.0,True,all scored base+prune/fill candidates
4,128,512,128,119,33,0.04872087900002953,0.1708767270010867,0,countergan_sparse_diverse_no_dp,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,52.0,12.0,43.0,True,all scored base+prune/fill candidates
5,128,640,128,110,36,0.04200658999980078,0.21288331700088747,0,countergan_sparse_diverse_no_dp,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,46.0,18.0,28.0,True,all scored base+prune/fill candidates
6,128,768,128,114,39,0.04431330099941988,0.25719661800030735,0,countergan_sparse_diverse_no_dp,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,46.0,18.0,32.0,True,all scored base+prune/fill candidates
7,128,896,128,113,41,0.043041515000368236,0.3002381330006756,0,countergan_sparse_diverse_no_dp,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,43.0,21.0,28.0,True,all scored base+prune/fill candidates
8,128,1024,128,113,43,0.04472679500031518,0.34496492800099077,0,countergan_sparse_diverse_no_dp,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,45.0,19.0,30.0,True,all scored base+prune/fill candidates
1,128,128,128,126,16,0.02206363000004785,0.02206363000004785,0,proposed_dp_eps16_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,22.0,42.0,20.0,True,all scored base+prune/fill candidates
2,128,256,128,119,25,0.05389666799965198,0.07596029799969983,0,proposed_dp_eps16_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,62.0,2.0,53.0,True,all scored base+prune/fill candidates
3,128,384,128,120,30,0.047273905998736154,0.12323420399843599,0,proposed_dp_eps16_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,52.0,12.0,44.0,True,all scored base+prune/fill candidates
4,128,512,128,115,36,0.042458672000066144,0.16569287599850213,0,proposed_dp_eps16_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,48.0,16.0,35.0,True,all scored base+prune/fill candidates
5,128,640,128,112,41,0.04123590100061847,0.2069287769991206,0,proposed_dp_eps16_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,42.0,22.0,26.0,True,all scored base+prune/fill candidates
6,128,768,128,113,42,0.04192289300044649,0.2488516699995671,0,proposed_dp_eps16_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,41.0,23.0,26.0,True,all scored base+prune/fill candidates
7,128,896,128,114,45,0.04350315900046553,0.2923548290000326,0,proposed_dp_eps16_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,42.0,22.0,28.0,True,all scored base+prune/fill candidates
8,128,1024,128,117,50,0.041461756998614874,0.3338165859986475,0,proposed_dp_eps16_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,39.0,25.0,28.0,True,all scored base+prune/fill candidates
1,128,128,128,126,10,0.020238970000718837,0.020238970000718837,0,proposed_dp_eps8_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,14.0,50.0,12.0,True,all scored base+prune/fill candidates
2,128,256,128,116,24,0.052184465999744134,0.07242343600046297,0,proposed_dp_eps8_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,57.0,7.0,45.0,True,all scored base+prune/fill candidates
3,128,384,128,119,30,0.05409346399937931,0.12651689999984228,0,proposed_dp_eps8_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,56.0,8.0,47.0,True,all scored base+prune/fill candidates
4,128,512,128,113,33,0.04569899499983876,0.17221589499968104,0,proposed_dp_eps8_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,49.0,15.0,34.0,True,all scored base+prune/fill candidates
5,128,640,128,111,35,0.04128743300134374,0.21350332800102478,0,proposed_dp_eps8_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,41.0,23.0,24.0,True,all scored base+prune/fill candidates
6,128,768,128,114,38,0.04317539299881901,0.2566787209998438,0,proposed_dp_eps8_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,38.0,26.0,24.0,True,all scored base+prune/fill candidates
7,128,896,128,114,39,0.04229524900074466,0.29897397000058845,0,proposed_dp_eps8_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,39.0,25.0,25.0,True,all scored base+prune/fill candidates
8,128,1024,128,115,40,0.042251703000147245,0.3412256730007357,0,proposed_dp_eps8_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,38.0,26.0,25.0,True,all scored base+prune/fill candidates
1,128,128,128,126,10,0.019791036000242457,0.019791036000242457,0,proposed_dp_eps4_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,14.0,50.0,12.0,True,all scored base+prune/fill candidates
2,128,256,128,117,25,0.051199771000028704,0.07099080700027116,0,proposed_dp_eps4_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,57.0,7.0,46.0,True,all scored base+prune/fill candidates
3,128,384,128,119,28,0.053573385999698075,0.12456419299996924,0,proposed_dp_eps4_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,58.0,6.0,49.0,True,all scored base+prune/fill candidates
4,128,512,128,113,31,0.04810000500037859,0.17266419800034782,0,proposed_dp_eps4_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,49.0,15.0,34.0,True,all scored base+prune/fill candidates
5,128,640,128,114,35,0.04272156299884955,0.21538576099919737,0,proposed_dp_eps4_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,42.0,22.0,28.0,True,all scored base+prune/fill candidates
6,128,768,128,114,37,0.041749238000193145,0.2571349989993905,0,proposed_dp_eps4_sparse_diverse,11,10249379,17249379,11,1024,disease_to_no_disease,64.0,41.0,23.0,27.0,True,all scored base+prune/fill candidates
