direction,method_family,candidates,label_agreement,mean_abs_logit_error,max_abs_logit_error,minimum_abs_plaintext_logit
disease_to_no_disease,Baseline,129,1.0,4.0268349593727415e-06,5.859358111814927e-06,0.1645897676763468
disease_to_no_disease,DP-CounterGAN eps=16,129,1.0,3.63624434239775e-06,5.599560462532516e-06,0.1333656219913637
disease_to_no_disease,DP-CounterGAN eps=2,129,1.0,3.3779189288121715e-06,5.6204977564033864e-06,0.10628730128013508
disease_to_no_disease,DP-CounterGAN eps=4,129,1.0,3.837017404306538e-06,5.9025157499448255e-06,0.12234328142097972
disease_to_no_disease,DP-CounterGAN eps=8,129,1.0,3.697728309136479e-06,5.850075784213926e-06,0.12741996163464275
disease_to_no_disease,Non-DP CounterGAN,129,1.0,4.095142922951077e-06,5.978982884569106e-06,0.12351064712319726
no_disease_to_disease,Baseline,129,1.0,6.5725936433994195e-06,1.1407443441413534e-05,0.25391971415227665
no_disease_to_disease,DP-CounterGAN eps=16,129,1.0,6.936731728011538e-06,1.6711913573885795e-05,0.13795043046410616
no_disease_to_disease,DP-CounterGAN eps=2,126,1.0,6.8515270662270405e-06,1.7018734396856416e-05,0.1033989054569675
no_disease_to_disease,DP-CounterGAN eps=4,126,1.0,6.520379352137825e-06,1.632395108686069e-05,0.14688338245217203
no_disease_to_disease,DP-CounterGAN eps=8,126,1.0,6.259542155623607e-06,1.6464621083400743e-05,0.1262939388092592
no_disease_to_disease,Non-DP CounterGAN,126,1.0,6.994858541982242e-06,1.609672774094406e-05,0.32544302193555197
