method,direction,candidate_budget,n_query_seed_runs,time_to_k_or_cap,rounds_to_k_or_cap,candidates_to_k_or_cap,valid_candidates_n,scored_candidates_N,acceptance,wilson_95_low,wilson_95_high
countergan_one_shot,disease_to_no_disease,64,100,0.04565186005987016,1.0,64.0,6211,6400,0.97046875,0.9660306489995766,0.9743424128140098
countergan_one_shot,disease_to_no_disease,128,100,0.04701201471001695,1.0,128.0,12405,12800,0.969140625,0.9660010969430178,0.9719986462298557
countergan_one_shot,disease_to_no_disease,256,100,0.04960558037996634,1.0,256.0,24882,25600,0.971953125,0.9698587073962799,0.9739059241283907
countergan_one_shot,disease_to_no_disease,512,100,0.054418557409944696,1.0,512.0,49670,51200,0.9701171875,0.9686067420380505,0.9715570938865509
countergan_one_shot,no_disease_to_disease,64,100,0.04516679892001776,1.0,64.0,6398,6400,0.9996875,0.9988612099892512,0.9999142970449065
countergan_one_shot,no_disease_to_disease,128,100,0.0462771031300872,1.0,128.0,12794,12800,0.99953125,0.9989776068196423,0.9997851505237969
countergan_one_shot,no_disease_to_disease,256,100,0.0479024131699407,1.0,256.0,25598,25600,0.999921875,0.9997151639257721,0.999978575045651
countergan_one_shot,no_disease_to_disease,512,100,0.051458789509943016,1.0,512.0,51183,51200,0.99966796875,0.9994682881971156,0.9997926762590154
countergan_sparse_diverse_no_dp,disease_to_no_disease,64,100,0.23177993891002188,1.0,64.0,3367,6400,0.52609375,0.5138486746636206,0.5383075197312213
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,100,0.47700911303003524,1.6,102.4,7629,12800,0.596015625,0.5874873538308726,0.6044862821990128
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,100,0.9721417349100284,1.64,104.96,17205,25600,0.6720703125,0.6662941017001741,0.6777948903430452
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,100,1.9928614254098465,1.65,105.6,35325,51200,0.68994140625,0.6859210030610267,0.6939333095424943
countergan_sparse_diverse_no_dp,no_disease_to_disease,64,100,0.24573761268011368,1.0,64.0,5150,6400,0.8046875,0.7947932933646719,0.8142161621439609
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,100,0.49111410578996584,1.14,72.96,10219,12800,0.798359375,0.7913195816319628,0.8052201384641576
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,100,0.994951004319828,1.19,76.16,20855,25600,0.8146484375,0.8098413042007443,0.8193611545752219
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,100,2.0232753298600255,1.13,72.32,41549,51200,0.81150390625,0.80809284652598,0.8148682261437943
dice_gradient_style,disease_to_no_disease,64,100,0.05035570695001297,1.0,64.0,372,6400,0.058125,0.05265326280590325,0.06412687043593587
dice_gradient_style,disease_to_no_disease,128,100,0.058735134980033764,1.0,128.0,971,12800,0.075859375,0.07139867684004701,0.08057457783347012
dice_gradient_style,disease_to_no_disease,256,100,0.07726250462994358,1.0,256.0,1568,25600,0.06125,0.05837795748488538,0.06425369776382331
dice_gradient_style,disease_to_no_disease,512,100,0.11040700701004426,1.0,512.0,1600,51200,0.03125,0.02977770662226837,0.03279262731248723
dice_gradient_style,no_disease_to_disease,64,100,0.05039886246995593,1.0,64.0,394,6400,0.0615625,0.055932706102258,0.06771830304788364
