method,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,proximity,sparsity,group_sparsity,plausibility
proposed_countergan,64,0.89,1.0,0.7,0.10905654273927212,0.1658371913580247,0.1658371913580247,0.44238746605363943
proposed_countergan,128,1.0,1.0,1.0,0.11059064334258437,0.16997222222222225,0.16997222222222225,0.4578256589917188
proposed_countergan,256,1.0,1.0,1.0,0.11067284943535924,0.1712777777777778,0.1712777777777778,0.45880469834012383
proposed_countergan,512,1.0,1.0,1.0,0.11101841099560261,0.17125,0.17125,0.4583411589316345
proposed_dp_eps16_sparse_diverse,64,0.844,0.9550000000000001,0.705,0.07906683140616745,0.5824542294349058,0.5824542294349058,0.48150621423823337
proposed_dp_eps16_sparse_diverse,128,0.9984999999999999,1.0,0.995,0.07729018786922097,0.643,0.643,0.5474669872293003
proposed_dp_eps16_sparse_diverse,256,1.0,1.0,1.0,0.07487427921034395,0.7076944444444444,0.7076944444444444,0.599074933855043
proposed_dp_eps16_sparse_diverse,512,1.0,1.0,1.0,0.06781073439866304,0.7676666666666667,0.7676666666666667,0.6328865688016
proposed_dp_eps2_sparse_diverse,64,0.983,1.0,0.96,0.09006910560652613,0.5523869047619048,0.5523869047619048,0.5142748987078661
proposed_dp_eps2_sparse_diverse,128,1.0,1.0,1.0,0.08662011755630374,0.6197777777777778,0.6197777777777778,0.5632876564723734
proposed_dp_eps2_sparse_diverse,256,1.0,1.0,1.0,0.07974217287264765,0.6915,0.6915,0.6081885273116382
proposed_dp_eps2_sparse_diverse,512,1.0,1.0,1.0,0.06941451774910093,0.7645277777777778,0.7645277777777778,0.62904208757821
proposed_dp_eps4_sparse_diverse,64,0.956,0.99,0.88,0.0854425589369648,0.5856108366627074,0.5856108366627074,0.5097163941561892
proposed_dp_eps4_sparse_diverse,128,1.0,1.0,1.0,0.08227147204801441,0.6434722222222222,0.6434722222222222,0.5557229567129318
proposed_dp_eps4_sparse_diverse,256,1.0,1.0,1.0,0.07775041881948709,0.7072222222222223,0.7072222222222223,0.6022307247776442
proposed_dp_eps4_sparse_diverse,512,1.0,1.0,1.0,0.06984717262908816,0.7684166666666666,0.7684166666666666,0.634886485630901
proposed_dp_eps8_sparse_diverse,64,0.8714999999999999,0.97,0.76,0.07586275563158931,0.6024094115760783,0.6024094115760783,0.4875834554729307
proposed_dp_eps8_sparse_diverse,128,0.9975,1.0,0.99,0.07350948354229331,0.6612767857142856,0.6612767857142856,0.5460752838971719
proposed_dp_eps8_sparse_diverse,256,1.0,1.0,1.0,0.07034118270501494,0.72125,0.72125,0.5883209154053717
proposed_dp_eps8_sparse_diverse,512,1.0,1.0,1.0,0.06260832880623639,0.7784444444444445,0.7784444444444445,0.6078596915513699
