dataset,variant,attack,metric,mean,sd,ci95_low,ci95_high,attack_seeds
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_auc,0.5155168,0.0141898208727242,0.5068585999999999,0.5237352625,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_accuracy,0.5067,0.0102393576187397,0.50029875,0.5122000000000001,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.5067,0.0102393576187397,0.5003,0.5124000000000001,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,0.0134,0.0204787152374795,0.0011,0.0243,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.4761999999999999,0.0846401533289936,0.4273,0.5256,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.4628,0.0750907598990862,0.4197974999999999,0.509505,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.001,0.0026,0.0009660917830792,0.002,0.0032,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.01,0.0110999999999999,0.0043320510923425,0.0086,0.0138,10
ecg,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.05,0.0507,0.0132669179205688,0.0431999999999999,0.0586024999999999,10
ecg,countergan,multi_draw_mean_objective,evaluation_auc,0.4329877,0.0085996027821703,0.428295625,0.438321645,10
ecg,countergan,multi_draw_mean_objective,evaluation_accuracy,0.4987499999999999,0.0303234874130415,0.4810475,0.51635,10
ecg,countergan,multi_draw_mean_objective,evaluation_balanced_accuracy,0.4987499999999999,0.0303234874130415,0.4811487499999999,0.51675,10
ecg,countergan,multi_draw_mean_objective,evaluation_membership_advantage,-0.0025,0.0606469748260831,-0.0378025,0.0329999999999999,10
ecg,countergan,multi_draw_mean_objective,evaluation_tpr_at_calibrated_threshold,0.4965999999999999,0.3765032683936636,0.2811975,0.7122999999999999,10
ecg,countergan,multi_draw_mean_objective,evaluation_fpr_at_calibrated_threshold,0.4991,0.4359934887383322,0.2488975,0.7482,10
ecg,countergan,multi_draw_mean_objective,tpr_at_fpr_0.001,0.0126,0.0098792712281827,0.0077,0.0188,10
ecg,countergan,multi_draw_mean_objective,tpr_at_fpr_0.01,0.0495,0.0115590272562664,0.0424999999999999,0.0560024999999999,10
ecg,countergan,multi_draw_mean_objective,tpr_at_fpr_0.05,0.1142,0.0093903023262181,0.1085,0.1194999999999999,10
ecg,countergan,multi_draw_reconstruction,evaluation_auc,0.3883893,0.0834396294189198,0.357710565,0.44247973,10
ecg,countergan,multi_draw_reconstruction,evaluation_accuracy,0.482,0.0457353498097721,0.4644,0.5122012499999999,10
ecg,countergan,multi_draw_reconstruction,evaluation_balanced_accuracy,0.482,0.0457353498097721,0.4644999999999999,0.5121499999999999,10
ecg,countergan,multi_draw_reconstruction,evaluation_membership_advantage,-0.0359999999999999,0.0914706996195442,-0.0710999999999999,0.0247024999999999,10
ecg,countergan,multi_draw_reconstruction,evaluation_tpr_at_calibrated_threshold,0.4115999999999999,0.3682330783620613,0.2124975,0.6406,10
ecg,countergan,multi_draw_reconstruction,evaluation_fpr_at_calibrated_threshold,0.4476,0.3697360019136777,0.2362825,0.6773075,10
ecg,countergan,multi_draw_reconstruction,tpr_at_fpr_0.001,0.0158,0.0060147965699413,0.0122999999999999,0.0194999999999999,10
ecg,countergan,multi_draw_reconstruction,tpr_at_fpr_0.01,0.032,0.0092135166407235,0.0272,0.0378,10
ecg,countergan,multi_draw_reconstruction,tpr_at_fpr_0.05,0.0639,0.0250796508924843,0.0524,0.0803024999999999,10
ecg,countergan,released_discriminator_score,evaluation_auc,0.7234171,0.0111025776831828,0.7170258724999999,0.7302878224999999,10
ecg,countergan,released_discriminator_score,evaluation_accuracy,0.7196,0.009822875795249,0.7139,0.7253000000000001,10
ecg,countergan,released_discriminator_score,evaluation_balanced_accuracy,0.7196,0.0098228757952489,0.7142000000000001,0.7255499999999998,10
ecg,countergan,released_discriminator_score,evaluation_membership_advantage,0.4391999999999999,0.019645751590498,0.4281,0.4508,10
ecg,countergan,released_discriminator_score,evaluation_tpr_at_calibrated_threshold,0.7318,0.0193379304879182,0.7206974999999999,0.7434999999999999,10
ecg,countergan,released_discriminator_score,evaluation_fpr_at_calibrated_threshold,0.2926,0.0121582162434389,0.2853,0.2995024999999999,10
ecg,countergan,released_discriminator_score,tpr_at_fpr_0.001,0.0261,0.0098482937044388,0.0203999999999999,0.032,10
ecg,countergan,released_discriminator_score,tpr_at_fpr_0.01,0.1349999999999999,0.0190146142626022,0.1237,0.1458,10
