dataset,variant,metric,mean,sd,ci95_low,ci95_high,attack_seeds
ecg,countergan,exact_match_rate,0.0,0.0,0.0,0.0,10
ecg,countergan,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
ecg,countergan,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
ecg,countergan,dcr_mean,0.0782818101241526,0.0004597706220897,0.0780208329818554,0.078557848237889,10
ecg,countergan,dcr_median,0.0773207071003944,0.0006379787405197,0.0769504775389565,0.0776791355225225,10
ecg,countergan,dcr_p01,0.0448651275369146,0.0008795419495094,0.0443772823065544,0.0454099550249534,10
ecg,countergan,dcr_p05,0.0509413590217002,0.0007372214028131,0.0505635673437745,0.0514299570009688,10
ecg,countergan,nndr_mean,0.945407062837846,0.001837206288876,0.944222980623378,0.9463267735899586,10
ecg,countergan,nndr_median,0.96571688977073,0.0015349935642939,0.9648089009822524,0.9665506313699624,10
ecg,countergan,train_to_holdout_dcr_ratio_median,0.5707835670208119,0.0150249521069897,0.5613796451658717,0.5786866618709676,10
ecg,dp_eps16,exact_match_rate,0.0,0.0,0.0,0.0,10
ecg,dp_eps16,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
ecg,dp_eps16,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
ecg,dp_eps16,dcr_mean,0.0772156845320101,0.0005734646791498,0.076874626765636,0.0775503705373737,10
ecg,dp_eps16,dcr_median,0.0758501584747199,0.001009487334632,0.0752526792272453,0.0764237712742108,10
ecg,dp_eps16,dcr_p01,0.0436017389257075,0.0009302385210785,0.0430975075304081,0.0441981125869491,10
ecg,dp_eps16,dcr_p05,0.0499864406231757,0.0008206945630822,0.0495207299067794,0.05047600965789,10
ecg,dp_eps16,nndr_mean,0.9582077069233388,0.0013874503751228,0.9574059912146478,0.959022350150064,10
ecg,dp_eps16,nndr_median,0.974826716664934,0.0009706250940641,0.9742729494023944,0.9754129607379144,10
ecg,dp_eps16,train_to_holdout_dcr_ratio_median,0.4790629577959702,0.0128867495464418,0.4712652884438859,0.4862199751109923,10
ecg,dp_eps2,exact_match_rate,0.0,0.0,0.0,0.0,10
ecg,dp_eps2,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
ecg,dp_eps2,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
ecg,dp_eps2,dcr_mean,0.0846801469972053,0.0006880740306431,0.0842994842524413,0.085106713801791,10
ecg,dp_eps2,dcr_median,0.0834679612780551,0.0007376215203347,0.0830513451656084,0.0839061081058285,10
ecg,dp_eps2,dcr_p01,0.0473498373245308,0.0008682067505039,0.0468376468857996,0.0478770759974613,10
ecg,dp_eps2,dcr_p05,0.0550486245639194,0.0005509308228701,0.0547461943897045,0.0553841919610166,10
ecg,dp_eps2,nndr_mean,0.955814725546322,0.001477621412605,0.9550234088011776,0.9567498906607056,10
ecg,dp_eps2,nndr_median,0.9734857620961546,0.0012743442890382,0.97275364492606,0.9742324527103248,10
ecg,dp_eps2,train_to_holdout_dcr_ratio_median,0.5139895613108643,0.01351999691409,0.5058959936313177,0.5217438086457431,10
ecg,dp_eps4,exact_match_rate,0.0,0.0,0.0,0.0,10
ecg,dp_eps4,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
ecg,dp_eps4,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
ecg,dp_eps4,dcr_mean,0.084413325638702,0.0005650568888374,0.0840829619212977,0.0847433301398575,10
ecg,dp_eps4,dcr_median,0.0822085678825799,0.000559347294481,0.0818729811015673,0.0825267215847086,10
ecg,dp_eps4,dcr_p01,0.0477702320809785,0.0009287292898334,0.0471948792741961,0.0482810075578561,10
ecg,dp_eps4,dcr_p05,0.056208984993896,0.0008086705594787,0.0557410875161056,0.0567076979875531,10
ecg,dp_eps4,nndr_mean,0.9533584343021304,0.0014236311064718,0.9525521232847132,0.9542601492687612,10
ecg,dp_eps4,nndr_median,0.9686210581205744,0.0015722308184171,0.9676339110037974,0.9695181106459564,10
ecg,dp_eps4,train_to_holdout_dcr_ratio_median,0.4937399530856147,0.0127823295396925,0.4863008062168213,0.5016117806518074,10
ecg,dp_eps8,exact_match_rate,0.0,0.0,0.0,0.0,10
ecg,dp_eps8,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
ecg,dp_eps8,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
ecg,dp_eps8,dcr_mean,0.0775408071097675,0.0006095233183912,0.0771888572655278,0.0779092459352991,10
ecg,dp_eps8,dcr_median,0.0767518788959795,0.0009138439737377,0.0762251926065794,0.0772764326048197,10
ecg,dp_eps8,dcr_p01,0.0383915931650692,0.000949850975794,0.0378426103334135,0.038959255204392,10
ecg,dp_eps8,dcr_p05,0.0455697763195806,0.0006727450110168,0.0451696420613924,0.0459497262994474,10
ecg,dp_eps8,nndr_mean,0.9560699325268528,0.0022236189120413,0.9547556908600208,0.9573174355415248,10
ecg,dp_eps8,nndr_median,0.9712133591208094,0.0015930253024787,0.9702960093338098,0.9721446146615774,10
ecg,dp_eps8,train_to_holdout_dcr_ratio_median,0.445257119258732,0.0106212229765424,0.4384972984373836,0.4509857585804206,10
