method,method_label,candidate_budget,robust_full_k_success,target_data_support,diversity,robust_completeness_at_k,plausibility_inlier_rate,valid_cfe_yield_at_k,changed_set_dice,plausibility,local_surrogate_fidelity,plausibility_distance,mean_target_logit_margin,coverage_at_1,full_k_success,group_sparsity,proximity,sparsity,fidelity,constraint_validity
countergan_one_shot,CounterGAN one-shot,64,0.62,0.5853138888888889,0.034602210726588964,0.852,0.1555515873015873,0.89,0.9696681951936674,0.44238746605363943,0.8604241307861997,0.44238746605363943,6.476328887343406,1.0,0.7,0.1658371913580247,0.10905654273927212,0.1658371913580247,0.8604241307861997,1.0
countergan_one_shot,CounterGAN one-shot,128,0.6950000000000001,0.583570634920635,0.03517300963401794,0.889,0.15259920634920635,0.926,0.9669570843519018,0.44056611304460686,0.8669164456233421,0.44056611304460686,6.30606789469719,1.0,0.795,0.18816214726631394,0.10700367622077465,0.18816214726631394,0.8669164456233421,1.0
countergan_one_shot,CounterGAN one-shot,256,0.745,0.5822876984126985,0.03423057056032121,0.9165,0.15450595238095238,0.9615,0.9640728381383441,0.4398325474047512,0.867043922871509,0.4398325474047512,6.19767486512661,1.0,0.88,0.2071628086419753,0.10499207163229585,0.2071628086419753,0.867043922871509,1.0
countergan_one_shot,CounterGAN one-shot,512,0.75,0.5804,0.03424022271297872,0.9195,0.15143253968253967,0.972,0.9623696060646716,0.43840492242329365,0.8646645410783342,0.43840492242329365,6.064569098353386,1.0,0.9199999999999999,0.22695293209876544,0.10264540381729603,0.22695293209876544,0.8646645410783342,1.0
proposed_countergan,CounterGAN + iterative black-box search,64,0.62,0.5853138888888889,0.034602210726588964,0.852,0.1555515873015873,0.89,0.9696681951936674,0.44238746605363943,0.8604241307861997,0.44238746605363943,6.476328887343406,1.0,0.7,0.1658371913580247,0.10905654273927212,0.1658371913580247,0.8604241307861997,1.0
proposed_countergan,CounterGAN + iterative black-box search,128,0.81,0.582,0.04513071957044303,0.9575,0.138,1.0,0.9692542854482866,0.4578256589917188,0.8646969696969697,0.4578256589917188,6.639255919456481,1.0,1.0,0.16997222222222225,0.11059064334258437,0.16997222222222225,0.8646969696969697,1.0
proposed_countergan,CounterGAN + iterative black-box search,256,0.8,0.5827,0.04493029711768031,0.96,0.1395,1.0,0.9688204395702207,0.45880469834012383,0.8584848484848484,0.45880469834012383,6.65585067152977,1.0,1.0,0.1712777777777778,0.11067284943535924,0.1712777777777778,0.8584848484848484,1.0
proposed_countergan,CounterGAN + iterative black-box search,512,0.78,0.5811,0.04464924201369286,0.9610000000000001,0.1395,1.0,0.9688576058433889,0.4583411589316345,0.8643939393939395,0.4583411589316345,6.776802322864532,1.0,1.0,0.17125,0.11101841099560261,0.17125,0.8643939393939395,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,64,0.175,0.5577615745097628,0.04652472403091466,0.6565,0.05162004360373926,0.844,0.9583922024543182,0.48150621423823337,0.8315001020402109,0.48150621423823337,4.115076105562307,0.9550000000000001,0.705,0.5824542294349058,0.07906683140616745,0.5824542294349058,0.8315001020402109,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,128,0.195,0.5306,0.0684097417537123,0.776,0.04,0.9984999999999999,0.9499657944439238,0.5474669872293003,0.8387722048066877,0.5474669872293003,5.020320446491242,1.0,0.995,0.643,0.07729018786922097,0.643,0.8387722048066877,1.0
