profile,query_number,direction,group_off,feature_off,base_fraction,proximity_weight,sparsity_weight,diversity_weight,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
balanced,0,disease_to_no_disease,0.1,0.015,0.5,0.16,0.5,0.5,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10145338624715805,0.6777777777777777,0.0816294476389885,0.7603473741221118,0.7603473741221118,0.0,0.0,0.9090909090909091,0.9090909090909091,81,1.0,5.0080766677856445,0.6270928382873535,0.9833333333333334,0.9,0.9,0.0,0.9038657910716734,2.176534977999836,2.176534977999836,2.176534977999836,0.2176534977999836,512,235.23628389859886,8,1.0,1.0,1.0,64.0,64.0,0.3205519279999862,0.3205519279999862,1.0,1.0,1.0,64.0,64.0,0.3205519279999862,0.3205519279999862,1.0,1.0,1.0,64.0,64.0,0.3205519279999862,0.3205519279999862,1.0,1.0,1.0,64.0,64.0,0.3205519279999862,0.3205519279999862,0.6777777777777777
balanced,1,disease_to_no_disease,0.1,0.015,0.5,0.16,0.5,0.5,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.11459854990243912,0.6777777777777777,0.0953652411699295,0.863214179083502,0.863214179083502,0.0,0.12000000000000002,0.9090909090909091,0.9090909090909091,81,1.0,10.25261116027832,0.5343923568725586,0.9833333333333334,0.9,0.9,0.0,0.9359308746808747,2.0790569900000264,2.0790569900000264,2.0790569900000264,0.20790569900000264,512,246.26549558893694,8,1.0,1.0,1.0,64.0,64.0,0.25773282699992706,0.25773282699992706,1.0,1.0,1.0,64.0,64.0,0.25773282699992706,0.25773282699992706,1.0,1.0,1.0,64.0,64.0,0.25773282699992706,0.25773282699992706,1.0,2.0,2.0,128.0,128.0,0.5143628779997016,0.5143628779997016,0.6777777777777777
balanced,2,disease_to_no_disease,0.1,0.015,0.5,0.16,0.5,0.5,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0598938874900341,0.788888888888889,0.03972358629107475,0.6826028528959359,0.6826028528959359,0.0,0.72,0.9090909090909091,0.9090909090909091,81,1.0,2.013699531555176,0.36579084396362305,0.9666666666666666,0.9,0.9,0.0,0.8927654752654753,2.0540189370003645,2.0540189370003645,2.0540189370003645,0.20540189370003645,512,249.26741948529033,8,1.0,1.0,1.0,64.0,64.0,0.24991759100066702,0.24991759100066702,1.0,1.0,1.0,64.0,64.0,0.24991759100066702,0.24991759100066702,1.0,1.0,1.0,64.0,64.0,0.24991759100066702,0.24991759100066702,1.0,2.0,2.0,128.0,128.0,0.5021463020002557,0.5021463020002557,0.788888888888889
balanced,3,disease_to_no_disease,0.1,0.015,0.5,0.16,0.5,0.5,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07776527106761932,0.7444444444444445,0.07807838171720505,0.592436440785325,0.592436440785325,0.1,0.72,0.7575757575757576,0.7575757575757576,81,1.0,10.713459968566895,1.8655543327331543,1.0,1.0,1.0,1.0,0.9467448292448294,2.147568030999537,2.147568030999537,2.147568030999537,0.21475680309995368,512,238.4092110747715,8,1.0,1.0,1.0,64.0,64.0,0.1794766819994038,0.1794766819994038,1.0,1.0,1.0,64.0,64.0,0.1794766819994038,0.1794766819994038,1.0,1.0,1.0,64.0,64.0,0.1794766819994038,0.1794766819994038,1.0,1.0,1.0,64.0,64.0,0.1794766819994038,0.1794766819994038,0.7444444444444445
balanced,4,no_disease_to_disease,0.1,0.015,0.5,0.16,0.5,0.5,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.11677094548940659,0.5277777777777778,0.11401794105768204,0.826166364380122,0.826166364380122,0.0,1.0,0.9696969696969697,0.9696969696969697,81,1.0,3.515770435333252,0.1405324935913086,0.8833333333333334,0.7,0.7,0.0,0.9557197528134062,2.224113832000512,2.224113832000512,2.224113832000512,0.22241138320005122,512,230.2040447001195,8,1.0,1.0,1.0,64.0,64.0,0.27974799500043446,0.27974799500043446,1.0,1.0,1.0,64.0,64.0,0.27974799500043446,0.27974799500043446,1.0,1.0,1.0,64.0,64.0,0.27974799500043446,0.27974799500043446,1.0,1.0,1.0,64.0,64.0,0.27974799500043446,0.27974799500043446,0.5277777777777778
balanced,5,no_disease_to_disease,0.1,0.015,0.5,0.16,0.5,0.5,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10931482166051865,0.7277777777777779,0.10374495387077332,0.7485093441641606,0.7485093441641606,0.0,0.96,0.7272727272727273,0.7272727272727273,81,1.0,3.850247859954834,0.23361921310424805,0.8833333333333334,0.7,0.7,0.0,0.9414986864986865,2.104022931000145,2.104022931000145,2.104022931000145,0.21040229310001451,512,243.34335546268088,8,1.0,1.0,1.0,64.0,64.0,0.2523656920002395,0.2523656920002395,1.0,1.0,1.0,64.0,64.0,0.2523656920002395,0.2523656920002395,1.0,1.0,1.0,64.0,64.0,0.2523656920002395,0.2523656920002395,1.0,2.0,2.0,128.0,128.0,0.5059308140007488,0.5059308140007488,0.7277777777777779
balanced,6,no_disease_to_disease,0.1,0.015,0.5,0.16,0.5,0.5,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.1399172991514206,0.6722222222222222,0.14384549856185913,0.8552087829371345,0.8552087829371345,0.0,0.9400000000000001,0.8787878787878788,0.8787878787878788,81,1.0,8.510289192199707,0.7000555992126465,0.9833333333333334,0.9,0.9,0.0,0.9536412688618571,2.058884844000204,2.058884844000204,2.058884844000204,0.2058884844000204,512,248.6783083046238,8,1.0,1.0,1.0,64.0,64.0,0.25062348099982046,0.25062348099982046,1.0,1.0,1.0,64.0,64.0,0.25062348099982046,0.25062348099982046,1.0,1.0,1.0,64.0,64.0,0.25062348099982046,0.25062348099982046,1.0,1.0,1.0,64.0,64.0,0.25062348099982046,0.25062348099982046,0.6722222222222222
balanced,7,no_disease_to_disease,0.1,0.015,0.5,0.16,0.5,0.5,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07275472581386566,0.7111111111111111,0.047158658504486084,0.7337514951128461,0.7337514951128461,0.0,0.74,0.9090909090909091,0.9090909090909091,81,1.0,2.4814231395721436,0.7415947914123535,0.9833333333333334,0.9,0.9,0.0,0.9262750212750213,2.130001628000173,2.130001628000173,2.130001628000173,0.21300016280001727,512,240.37540313089303,8,1.0,1.0,1.0,64.0,64.0,0.25111262900009024,0.25111262900009024,1.0,1.0,1.0,64.0,64.0,0.25111262900009024,0.25111262900009024,1.0,1.0,1.0,64.0,64.0,0.25111262900009024,0.25111262900009024,1.0,1.0,1.0,64.0,64.0,0.25111262900009024,0.25111262900009024,0.7111111111111111
sparse,0,disease_to_no_disease,0.12,0.025,0.5,0.12,0.72,1.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.09306584298610687,0.7277777777777779,0.08020693063735962,0.776429220668435,0.776429220668435,0.0,0.0,0.7878787878787878,0.7878787878787878,81,1.0,3.564744234085083,0.20134210586547852,0.9,0.8,0.8,0.0,0.9029954304954305,2.0866049340002064,2.0866049340002064,2.0866049340002064,0.20866049340002063,512,245.3746713894952,8,1.0,1.0,1.0,64.0,64.0,0.2520775279999725,0.2520775279999725,1.0,1.0,1.0,64.0,64.0,0.2520775279999725,0.2520775279999725,1.0,1.0,1.0,64.0,64.0,0.2520775279999725,0.2520775279999725,1.0,1.0,1.0,64.0,64.0,0.2520775279999725,0.2520775279999725,0.7277777777777779
sparse,1,disease_to_no_disease,0.12,0.025,0.5,0.12,0.72,1.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.12366175651550293,0.7166666666666667,0.09550664573907852,0.8802471215735345,0.8802471215735345,0.0,0.08,1.0,1.0,81,1.0,13.596437454223633,1.8889517784118652,1.0,1.0,1.0,1.0,0.9367837717837718,2.0915452429999277,2.0915452429999277,2.0915452429999277,0.20915452429999276,512,244.79508713167132,8,1.0,1.0,1.0,64.0,64.0,0.2547571080003763,0.2547571080003763,1.0,1.0,1.0,64.0,64.0,0.2547571080003763,0.2547571080003763,1.0,1.0,1.0,64.0,64.0,0.2547571080003763,0.2547571080003763,1.0,2.0,2.0,128.0,128.0,0.5312868500004697,0.5312868500004697,0.7166666666666667
