method,direction,released_cfes,release_available,one_anonymity_rate,one_diversity_rate,one_map_linkage_rate,small_map_1_to_4_rate,no_auxiliary_match_rate,median_auxiliary_match_count_when_matched
countergan_one_shot,disease_to_no_disease,944,True,0.007415254237288136,0.03389830508474576,0.03072033898305085,0.2786016949152542,0.0211864406779661,11.0
countergan_one_shot,no_disease_to_disease,1000,True,0.003,0.25,0.005,0.037,0.006,81.0
countergan_sparse_diverse_no_dp,disease_to_no_disease,1000,True,0.006,0.035,0.11,0.346,0.096,8.0
countergan_sparse_diverse_no_dp,no_disease_to_disease,1000,True,0.008,0.174,0.043,0.073,0.144,88.0
dice_gradient_style,disease_to_no_disease,104,True,0.08653846153846154,0.36538461538461536,0.028846153846153848,0.21153846153846154,0.10576923076923077,26.0
dice_gradient_style,no_disease_to_disease,100,True,0.13,0.53,0.24,0.26,0.11,28.0
genetic_cfe,disease_to_no_disease,1000,True,0.01,0.031,0.147,0.346,0.071,7.0
genetic_cfe,no_disease_to_disease,1000,True,0.004,0.035,0.079,0.131,0.16,38.0
proposed_countergan,disease_to_no_disease,1000,True,0.011,0.036,0.04,0.288,0.024,11.0
proposed_countergan,no_disease_to_disease,1000,True,0.007,0.287,0.014,0.049,0.012,89.0
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,1000,True,0.007,0.075,0.096,0.315,0.082,8.0
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,1000,True,0.005,0.264,0.05,0.084,0.185,43.0
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,1000,True,0.007,0.066,0.097,0.312,0.087,8.0
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,1000,True,0.01,0.113,0.044,0.074,0.161,63.0
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,1000,True,0.005,0.069,0.086,0.313,0.089,8.0
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,1000,True,0.008,0.186,0.052,0.077,0.141,81.0
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,1000,True,0.003,0.047,0.088,0.335,0.081,8.0
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,1000,True,0.007,0.295,0.048,0.071,0.2,60.5
uniform_random,disease_to_no_disease,1000,True,0.008,0.04,0.133,0.355,0.083,7.0
uniform_random,no_disease_to_disease,1000,True,0.007,0.02,0.083,0.113,0.183,38.0
wachter_style,disease_to_no_disease,103,True,0.10679611650485436,0.3786407766990291,0.02912621359223301,0.20388349514563106,0.10679611650485436,33.0
wachter_style,no_disease_to_disease,100,True,0.14,0.5,0.25,0.26,0.11,28.0
