direction,method_family,candidates,label_agreement,mean_abs_logit_error,max_abs_logit_error,minimum_abs_plaintext_logit
disease_to_no_disease,Baseline,258,1.0,0.0012657523024438304,0.008948736287281545,0.10012604213725965
disease_to_no_disease,DP-CounterGAN eps=16,258,1.0,0.0010544567090303855,0.009724669730962976,0.10141601795250077
disease_to_no_disease,DP-CounterGAN eps=2,258,1.0,0.0009760976245037153,0.007003100156320663,0.1006861886109851
disease_to_no_disease,DP-CounterGAN eps=4,258,1.0,0.001153345539379814,0.011192526568557959,0.10124659324410917
disease_to_no_disease,DP-CounterGAN eps=8,255,1.0,0.0011923735144125994,0.006938296562585933,0.10041903774733726
disease_to_no_disease,Non-DP CounterGAN,255,1.0,0.002303026631527923,0.014910441922845408,0.1001686202789549
no_disease_to_disease,Baseline,255,1.0,0.0015083607632649422,0.006808224082667014,0.1002205678103734
no_disease_to_disease,DP-CounterGAN eps=16,255,1.0,0.0012531957881645776,0.004308265618406137,0.10046609630690279
no_disease_to_disease,DP-CounterGAN eps=2,255,1.0,0.0013577715218148511,0.0046154736043246825,0.1001642574725704
no_disease_to_disease,DP-CounterGAN eps=4,255,1.0,0.0012385233408925484,0.004318453304823944,0.10083330651382183
no_disease_to_disease,DP-CounterGAN eps=8,255,1.0,0.001324919495417904,0.006837278415412262,0.10146369685505846
no_disease_to_disease,Non-DP CounterGAN,255,1.0,0.0016351366047812341,0.005884525715425637,0.10302756816314129
