population,direction,inner_queries,valid_cfe_yield_at_k,robust_validity,sparsity,diversity,mean_rounds_to_k10_or_cap,mean_candidates_to_k10_or_cap,maximum_rounds,candidate_budget,total_latency_seconds_per_round_median,time_per_candidate_seconds_median,throughput_candidates_per_second_median,total_communication_mb_per_round_median,peak_rss_mb_median,max_abs_logit_error_median,plaintext_he_label_agreement_median,all_repetitions_pass_gate,composed_he_time_to_k10_or_cap_seconds,composed_he_time_to_candidate_cap_seconds,composed_communication_to_k10_or_cap_mb,selected_for_v55_outer
32,disease_to_no_disease,4,1.0,1.0,0.6833333333333333,0.0714889876544475,2.75,88.0,32,1024,28.168223059000184,0.8802569705937557,1.136031901372476,10.790952,794.198016,0.005703753263463618,1.0,True,77.4626134122505,901.3831378880059,29.675118,False
32,no_disease_to_disease,4,0.95,0.9739583333333334,0.6611111111111112,0.046852605417370775,17.0,544.0,32,1024,28.168223059000184,0.8802569705937557,1.136031901372476,10.790952,794.198016,0.005703753263463618,1.0,True,478.8597920030031,901.3831378880059,183.44618400000002,False
64,disease_to_no_disease,4,1.0,1.0,0.7083333333333334,0.0798356439918279,1.75,112.0,16,1024,28.401745651000056,0.44377727579687587,2.25338261902738,10.791605,794.198016,0.005971435560581995,1.0,True,49.7030548892501,454.4279304160009,18.88530875,False
64,no_disease_to_disease,4,0.725,0.971604938271605,0.7847736625514404,0.0440414187808831,10.75,688.0,16,1024,28.401745651000056,0.44377727579687587,2.25338261902738,10.791605,794.198016,0.005971435560581995,1.0,True,305.3187657482506,454.4279304160009,116.00975375,False
128,disease_to_no_disease,4,1.0,0.9958333333333333,0.7388888888888889,0.08072399534285066,1.5,192.0,8,1024,28.060213731999966,0.21922041978124973,4.5616188537448075,10.791014,794.198016,0.006973713052387698,1.0,True,42.09032059799995,224.48170985599972,16.186521,True
128,no_disease_to_disease,4,0.875,1.0,0.6444444444444445,0.050859949551522676,5.75,736.0,8,1024,28.060213731999966,0.21922041978124973,4.5616188537448075,10.791014,794.198016,0.006973713052387698,1.0,True,161.3462289589998,224.48170985599972,62.048330500000006,True
256,disease_to_no_disease,4,1.0,0.9958333333333333,0.7472222222222222,0.08070558682084078,1.5,384.0,4,1024,28.067458213999885,0.10963850864843705,9.120882911738288,10.791105,794.198016,0.008925615148769328,1.0,True,42.10118732099983,112.26983285599954,16.1866575,False
256,no_disease_to_disease,4,0.575,1.0,0.6135802469135804,0.054753581682840925,3.25,832.0,4,1024,28.067458213999885,0.10963850864843705,9.120882911738288,10.791105,794.198016,0.008925615148769328,1.0,True,91.21923919549963,112.26983285599954,35.07109125,False
512,disease_to_no_disease,4,1.0,0.9958333333333333,0.6944444444444445,0.0817714631557464,1.25,640.0,2,1024,28.066349732000276,0.05481708932031304,18.242486283003714,10.791259,794.198016,0.009099138503049886,1.0,True,35.082937165000345,56.13269946400055,13.48907375,False
512,no_disease_to_disease,4,0.4,1.0,0.6925925925925926,0.058113802224397645,1.75,896.0,2,1024,28.066349732000276,0.05481708932031304,18.242486283003714,10.791259,794.198016,0.009099138503049886,1.0,True,49.11611203100048,56.13269946400055,18.88470325,False
1024,disease_to_no_disease,4,0.875,1.0,0.6000000000000001,0.0751095954328775,1.0,1024.0,1,1024,28.133560053999872,0.02747417974023425,36.397810943034685,10.791354,794.198016,0.011993627580237476,1.0,True,28.133560053999872,28.133560053999872,10.791354,False
1024,no_disease_to_disease,4,0.25,1.0,0.6333333333333334,0.0692801550030708,1.0,1024.0,1,1024,28.133560053999872,0.02747417974023425,36.397810943034685,10.791354,794.198016,0.011993627580237476,1.0,True,28.133560053999872,28.133560053999872,10.791354,False
